id,CARMA,GEO,OPSD,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File,Scaled Capacity
316,,,Dornachbrugg,Dornachbrugg,Switzerland,Hydro,Run-Of-River,1.54,47.4890184953,7.60740615434,"BFE, Switzerland Power Plant.csv",1.04879116603
317,,,Neuewelt,Neuewelt,Switzerland,Hydro,Run-Of-River,1.07,47.5257818674,7.62173011689,"BFE, Switzerland Power Plant.csv",0.728705550421
318,,,Kembs,Kembs centrale dotation,Switzerland,Hydro,Run-Of-River,166.25,47.3043934765,8.54257895312,"BFE, Switzerland Power Plant.csv",113.221773605
319,,,Meiringen,Meiringen,Switzerland,Hydro,Run-Of-River,2.65,46.7302677519,8.19434851644,"BFE, Switzerland Power Plant.csv",1.80473804543
320,,,Schattenhalb,Schattenhalb,Switzerland,Hydro,Run-Of-River,16.1,46.7194470022,8.18458296836,"BFE, Switzerland Power Plant.csv",10.9646349175
321,,,Giessbach,Giessbach,Switzerland,Hydro,Run-Of-River,0.9,46.7344427309,8.01888764388,"BFE, Switzerland Power Plant.csv",0.612929902223
322,,,Saxettal geissbrunnen,Geissbrunnen,Switzerland,Hydro,Run-Of-River,0.48,46.6283781404,7.82997757095,"BFE, Switzerland Power Plant.csv",0.326895947852
323,,,Saxettal kammri,Kammri,Switzerland,Hydro,Run-Of-River,0.8,46.65762105,7.853444546,"BFE, Switzerland Power Plant.csv",0.544826579754
324,,,Interlaken,Interlaken,Switzerland,Hydro,Run-Of-River,1.12,46.6823320103,7.8484710991,"BFE, Switzerland Power Plant.csv",0.762757211655
325,,,Kandersteg eggeschwand,Kandersteg eggeschwand,Switzerland,Hydro,Run-Of-River,2.1,46.4750989753,7.66012339529,"BFE, Switzerland Power Plant.csv",1.43016977185
326,,,Kandersteg zilfuri,Kandersteg zilfuri,Switzerland,Hydro,Run-Of-River,1.5,46.4956334904,7.69159893354,"BFE, Switzerland Power Plant.csv",1.02154983704
327,,,Kandersteg dorf,Kandersteg dorf,Switzerland,Hydro,Run-Of-River,1.03,46.4959386063,7.67518789714,"BFE, Switzerland Power Plant.csv",0.701464221433
328,,,Engstligenalp,Engstligenalp,Switzerland,Hydro,Run-Of-River,0.6,46.4491601982,7.56175847554,"BFE, Switzerland Power Plant.csv",0.408619934815
329,,,Moosweid,Moosweid,Switzerland,Hydro,Run-Of-River,0.35,46.4961001155,7.57684401786,"BFE, Switzerland Power Plant.csv",0.238361628642
330,,,Engstlige,Engstlige,Switzerland,Hydro,Run-Of-River,0.5,46.5068875836,7.58273413036,"BFE, Switzerland Power Plant.csv",0.340516612346
331,,,Klusi,Klusi,Switzerland,Hydro,Reservoir,1.3,46.6638985262,7.54826368379,"BFE, Switzerland Power Plant.csv",0.8853431921
332,,,Thun eidg.,Thun eidg.,Switzerland,Hydro,Run-Of-River,0.44,46.761596737,7.61469587515,"BFE, Switzerland Power Plant.csv",0.299654618865
333,,,Blumenstein,Blumenstein,Switzerland,Hydro,Run-Of-River,0.64,46.727704518,7.51333335379,"BFE, Switzerland Power Plant.csv",0.435861263803
334,,,Matte,Matte,Switzerland,Hydro,Run-Of-River,1.16,46.9464934587,7.45675932783,"BFE, Switzerland Power Plant.csv",0.789998540643
335,,,Lauenen louibach,Lauenen louibach,Switzerland,Hydro,Run-Of-River,0.9,46.4241533318,7.31831395313,"BFE, Switzerland Power Plant.csv",0.612929902223
336,,,Gsteig,Gsteig,Switzerland,Hydro,Run-Of-River,0.72,46.3852280895,7.26861425605,"BFE, Switzerland Power Plant.csv",0.490343921778
337,,,Gérignoz pontia,Gérignoz pontia,Switzerland,Hydro,Run-Of-River,0.45,46.4732724541,7.165215604,"BFE, Switzerland Power Plant.csv",0.306464951112
338,,,Sainte anne,Sainte anne,Switzerland,Hydro,Run-Of-River,2.9,46.5351297566,7.08799404019,"BFE, Switzerland Power Plant.csv",1.97499635161
339,,,Jaun,Jaun,Switzerland,Hydro,Run-Of-River,0.38,46.6085004996,7.26934360331,"BFE, Switzerland Power Plant.csv",0.258792625383
340,,,Charmey tzintre,Charmey tzintre,Switzerland,Hydro,Run-Of-River,0.86,46.6118329212,7.17691300027,"BFE, Switzerland Power Plant.csv",0.585688573235
341,,,Hagneck,"Hagneck ,m u.",Switzerland,Hydro,Run-Of-River,33.66,47.0596245726,7.17800844643,"BFE, Switzerland Power Plant.csv",22.9235783431
342,,,Jougnenaz,Jougnenaz,Switzerland,Hydro,Run-Of-River,2.35,46.7232276398,6.39660508601,"BFE, Switzerland Power Plant.csv",1.60042807803
