id,CARMA,GEO,OPSD,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File,Scaled Capacity
715,Saurdal,,,Saurdal,Norway,Hydro,Pumped Storage,674.0,59.22259945,6.1034199,Norway Power Plants (ENTSOE) .csv,615.01780826
716,Harrsele,,,Harrsele,Sweden,Hydro,Run-Of-River,223.0,64.000171,19.56666685,Sweden Power Plant.csv,230.881319103
717,Skallbole,,,Skallbole,Sweden,Hydro,Reservoir,46.0,62.3775927,17.0869099667,Sweden Power Plant.csv,47.6257429539
718,Svelgen,,,Svelgen,Norway,Hydro,Run-Of-River,140.0,61.76864,5.301535,Norway Power Plants (ENTSOE) .csv,127.748506167
719,Jukla,,,Jukla,Norway,Hydro,Pumped Storage,44.0,60.08622165,6.19986335,Norway Power Plants (ENTSOE) .csv,40.1495305095
720,Vinje,,,Vinje,Norway,Hydro,Reservoir,375.0,59.59167835,7.928265,Norway Power Plants (ENTSOE) .csv,342.183498661
721,Bassalt,,,Bassalt,Sweden,Hydro,Reservoir,8.0,56.75,13.2833333,Sweden Power Plant.csv,8.28273790503
722,Kvilldal,,,Kvilldal,Norway,Hydro,Reservoir,2480.0,59.52272335,6.64376665,Norway Power Plants (ENTSOE) .csv,2262.97353781
723,Bjurfors ovre,,,Bjurfors ovre,Sweden,Hydro,Reservoir,45.99,60.0650492615,15.9236633778,Sweden Power Plant.csv,47.6153895315
724,Nissastroms,,,Nissastrom,Sweden,Hydro,Reservoir,11.2,56.83759365,13.004313,Sweden Power Plant.csv,11.595833067
725,Bjurfors nedre,,,Bjurfors nedre,Sweden,Hydro,Reservoir,78.0,60.0650492615,15.9236633778,Sweden Power Plant.csv,80.756694574
726,Skjomen,,,Skjomen,Norway,Hydro,Reservoir,500.0,68.30188,17.31368835,Norway Power Plants (ENTSOE) .csv,456.244664881
727,Maar,,,Mar,Norway,Hydro,Reservoir,360.0,59.88177,8.637425,Norway Power Plants (ENTSOE) .csv,328.496158714
728,Grytten,,,Grytten kraftver,Norway,Hydro,Run-Of-River,166.0,62.5262,7.72758665,Norway Power Plants (ENTSOE) .csv,151.47322874
729,Nore,,,Nore,Norway,Hydro,Reservoir,314.0,60.2624916666,8.95967166665,Norway Power Plants (ENTSOE) .csv,286.521649545
730,Hylen,,,Hylen,Norway,Hydro,Reservoir,320.0,58.982535,6.52213,Norway Power Plants (ENTSOE) .csv,291.996585524
731,Stolsdal,,,Stolsdal,Norway,Hydro,Pumped Storage,26.0,59.22836615,6.18493615,Norway Power Plants (ENTSOE) .csv,23.7247225738
732,Mauranger,,,Mauranger,Norway,Hydro,Reservoir,500.0,60.05747665,6.17408335,Norway Power Plants (ENTSOE) .csv,456.244664881
733,Viforsen,,,Viforsen,Sweden,Hydro,Reservoir,10.0,62.3377021333,17.2238386333,Sweden Power Plant.csv,10.3534223813
734,Nea,,,Nea,Norway,Hydro,Reservoir,260.0,63.124178425,11.356746575,Norway Power Plants (ENTSOE) .csv,237.247225738
735,Bratsberg,,,Bratsberg,Norway,Hydro,Reservoir,244.0,63.361475,10.453785,Norway Power Plants (ENTSOE) .csv,222.647396462
736,Tinfos,,,Tinfos telemark,Norway,Hydro,Run-Of-River,70.0,59.56762335,9.27391665,Norway Power Plants (ENTSOE) .csv,63.8742530833
737,Skibotn,,,Skibotn,Norway,Hydro,Run-Of-River,83.0,69.357665,20.31242835,Norway Power Plants (ENTSOE) .csv,75.7366143702
738,Driva,,,Driva,Norway,Hydro,Run-Of-River,160.0,63.39485835,9.70307835,Norway Power Plants (ENTSOE) .csv,145.998292762
739,Ritsem,,,Ritsem,Sweden,Hydro,Run-Of-River,320.0,67.3425164801,18.6478501143,Sweden Power Plant.csv,331.309516201
740,Grundfors,,,Grundfors,Sweden,Hydro,Reservoir,110.0,65.0323024805,17.3307603812,Sweden Power Plant.csv,113.887646194
741,Torpshammar,,,Torpshammar,Sweden,Hydro,Reservoir,172.0,62.48762665,16.3401809,Sweden Power Plant.csv,178.078864958
742,Holleforsen,,,Holleforsen,Sweden,Hydro,Reservoir,151.0,62.99208315,16.64222235,Sweden Power Plant.csv,156.336677957
743,Stenkullafors,,,Stenkullafors,Sweden,Hydro,Reservoir,58.0,64.0551528667,17.1992630667,Sweden Power Plant.csv,60.0498498115
744,Naverede,,,Naverede,Sweden,Hydro,Reservoir,70.0,63.2389050333,15.1673379333,Sweden Power Plant.csv,72.473956669
745,Midskog,,,Midskog,Sweden,Hydro,Reservoir,155.0,63.2453257,15.1372542667,Sweden Power Plant.csv,160.47804691
746,Gardikfors,,,Gardikfors,Sweden,Hydro,Reservoir,60.0,65.2864369805,16.4869148812,Sweden Power Plant.csv,62.1205342877
747,Vargon,,,Vargon,Sweden,Hydro,Reservoir,35.3,60.5227387667,15.4183764667,Sweden Power Plant.csv,36.5475810059
748,Jarkvissle,,,Jarkvissle,Sweden,Hydro,Reservoir,96.0,62.5965596429,16.9720031048,Sweden Power Plant.csv,99.3928548604
749,Tuggen,,,Tuggen,Sweden,Hydro,Reservoir,118.0,64.5373959276,18.7757899876,Sweden Power Plant.csv,122.170384099
750,Parki,,,Parki,Sweden,Hydro,Reservoir,20.0,66.79878985,18.25402665,Sweden Power Plant.csv,20.7068447626
751,Langbjorn,,,Langbjorn,Sweden,Hydro,Reservoir,100.0,62.2351964039,17.2297713713,Sweden Power Plant.csv,103.534223813
752,Geesthacht,,,Geesthacht,Germany,Hydro,Pumped Storage,120.0,53.4370005333,10.3653623333,Germany Power Plants (conventional).csv,141.230567112
753,Fagerli,,,Fagerli,Norway,Hydro,Run-Of-River,72.0,67.11798335,16.08856,Norway Power Plants (ENTSOE) .csv,65.6992317429
754,Sjonsta,,,Sjonsta,Norway,Hydro,Run-Of-River,88.0,67.197275,15.71260835,Norway Power Plants (ENTSOE) .csv,80.299061019
755,Hammarforsen,,,Hammarforsen,Sweden,Hydro,Reservoir,85.0,61.56478785,17.44395315,Sweden Power Plant.csv,88.0040902409
756,Vietas,,,Vietas,Sweden,Hydro,Reservoir,640.0,67.2245684801,19.0765213643,Sweden Power Plant.csv,662.619032402
757,Witznau,,,Witznau,Germany,Hydro,Pumped Storage,220.0,47.6837934333,8.25213076667,Germany Power Plants (conventional).csv,258.922706372
758,Duge,,,Duge,Norway,Hydro,Pumped Storage,200.0,58.69291335,6.95500835,Norway Power Plants (ENTSOE) .csv,182.497865952
759,Tonstad,,,Tonstad,Norway,Hydro,Reservoir,1600.0,58.660935,6.716895,Norway Power Plants (ENTSOE) .csv,1459.98292762
760,Ana sira,,,Ana sira,Norway,Hydro,Run-Of-River,183.0,58.2969,6.44185165,Norway Power Plants (ENTSOE) .csv,166.985547346
761,Abjora,,,Abjora,Norway,Hydro,Run-Of-River,103.0,60.92529165,9.3896735,Norway Power Plants (ENTSOE) .csv,93.9864009655
762,Selsfors,,,Selsfors,Sweden,Hydro,Reservoir,61.0,64.21894085,20.29392185,Sweden Power Plant.csv,63.1558765259
763,Batfors,,,Batfors,Sweden,Hydro,Reservoir,42.0,64.97461985,20.661866,Sweden Power Plant.csv,43.4843740014
764,Mel,,,Mel,Norway,Hydro,Run-Of-River,60.0,61.21502165,6.69492665,Norway Power Plants (ENTSOE) .csv,54.7493597857
765,Tjodan,,,Tjodan,Norway,Hydro,Reservoir,220.0,59.05214,6.6524,Norway Power Plants (ENTSOE) .csv,200.747652548
766,Florli,,,Florli,Norway,Hydro,Reservoir,89.0,59.01543,6.43283,Norway Power Plants (ENTSOE) .csv,81.2115503488
767,Lomi,,,Lomi,Norway,Hydro,Run-Of-River,140.0,67.12103,16.10224,Norway Power Plants (ENTSOE) .csv,127.748506167
768,Valdecanas,,,Valdecanas,Spain,Hydro,Pumped Storage,247.17,40.2268415,-2.3337187,Spain Power Plants Over 10 MW.csv,276.760674027
769,Siso,,,Siso,Norway,Hydro,Run-Of-River,229.0,67.32504,15.70731,Norway Power Plants (ENTSOE) .csv,208.960056515
770,Tunnsjodal,,,Tunnsjodal,Norway,Hydro,Reservoir,203.0,64.70334,12.83542,Norway Power Plants (ENTSOE) .csv,185.235333942
771,Herva,,,Herva,Norway,Hydro,Pumped Storage,45.0,61.56622,7.86239,Norway Power Plants (ENTSOE) .csv,41.0620198393
772,Byrte,,,Byrte,Norway,Hydro,Reservoir,40.0,59.49612,7.83322,Norway Power Plants (ENTSOE) .csv,36.4995731905
773,Daja,,,Daja,Norway,Hydro,Run-Of-River,31.0,67.08824,16.05687,Norway Power Plants (ENTSOE) .csv,28.2871692226
774,Sundsbarm,,,Sundsbarm,Norway,Hydro,Run-Of-River,200.0,59.49762,8.63427,Norway Power Plants (ENTSOE) .csv,182.497865952
775,Aroy,,,Aroy,Norway,Hydro,Run-Of-River,108.0,61.27676,7.15457,Norway Power Plants (ENTSOE) .csv,98.5488476143
776,Dabbsjo,,,Dabbsjo,Sweden,Hydro,Reservoir,26.0,64.607742,15.465791,Sweden Power Plant.csv,26.9188981913
777,Traryd,,,Tratyd,Sweden,Hydro,Reservoir,14.4,56.584337,13.756098,Sweden Power Plant.csv,14.9089282291
778,Aurland,,,Aurland,Norway,Hydro,Reservoir,1398.0,60.855,7.30485,Norway Power Plants (ENTSOE) .csv,1275.66008301
779,Kobbelv,,,Kobbelv,Norway,Hydro,Reservoir,600.0,67.62319,15.59023,Norway Power Plants (ENTSOE) .csv,547.493597857
780,Tajo encantada,,,Tajo encantada,Spain,Hydro,Pumped Storage,376.88,36.90817,-4.763344,Spain Power Plants Over 10 MW.csv,421.999283196
781,Pintado,,,Pintado,Spain,Hydro,Pumped Storage,34.8,37.93753,-5.780025,Spain Power Plants Over 10 MW.csv,38.9661830164
782,Brattingfoss,,,Brattingfoss,Norway,Hydro,Reservoir,21.4,64.04331,11.08354,Norway Power Plants (ENTSOE) .csv,19.5272716569
783,Ylja,,,Ylja,Norway,Hydro,Run-Of-River,66.0,61.19751,8.38084,Norway Power Plants (ENTSOE) .csv,60.2242957643
784,Randi,,,Randi,Sweden,Hydro,Reservoir,90.0,66.706406,19.516481,Sweden Power Plant.csv,93.1808014316
785,Bleiloch,,,Bleiloch,Germany,Hydro,Pumped Storage,80.0,50.54705205,11.76278835,Germany Power Plants (conventional).csv,94.1537114079
786,Estany gento sallente,,,Estany gento sallente,Spain,Hydro,Pumped Storage,468.0,42.5104171,1.0029834,Spain Power Plants Over 10 MW.csv,524.027978496
787,Veytaux hongrin,,,Veytaux,Switzerland,Hydro,Pumped Storage,255.0,46.44332955,8.42583965,Switzerland Power Plant.csv,173.663472297
788,Fjaremsfossen,,,Fjaremsfossen,Norway,Hydro,Run-Of-River,27.0,63.32211,10.43658,Norway Power Plants (ENTSOE) .csv,24.6372119036
789,Oljusjoen,,,Oljusjoen,Norway,Hydro,Pumped Storage,56.0,61.00381,8.08482,Norway Power Plants (ENTSOE) .csv,51.0994024667
790,Hjartdola,,,Hjartdola,Norway,Hydro,Reservoir,208.0,59.60456,8.71143,Norway Power Plants (ENTSOE) .csv,189.79778059
791,,,,Abelvattnet,Sweden,Hydro,Reservoir,5.0,65.545168,14.981899,Sweden Power Plant.csv,5.17671119064
792,,,,Motala,Sweden,Hydro,Reservoir,3.7,58.559736275,15.0813014648,Sweden Power Plant.csv,3.83076628108
793,,,,Alta krv,Norway,Hydro,Reservoir,250.0,69.72507,23.78191,Norway Power Plants (ENTSOE) .csv,228.12233244
794,,,,Bjorkasen,Norway,Hydro,Run-Of-River,5.0,68.331945,16.790221,Norway Power Plants (ENTSOE) .csv,4.56244664881
795,,,,Borgund,Norway,Hydro,Run-Of-River,240.0,61.05868,7.8192,Norway Power Plants (ENTSOE) .csv,218.997439143
796,,,,Glomfjord,Norway,Hydro,Run-Of-River,32.0,66.79696,14.00106,Norway Power Plants (ENTSOE) .csv,29.1996585524
797,,,,Oksenelvane,Norway,Hydro,Run-Of-River,30.0,61.84183,5.80134,Norway Power Plants (ENTSOE) .csv,27.3746798929
798,,,,Svartisen,Norway,Hydro,Reservoir,1300.0,66.7282,13.91351,Norway Power Plants (ENTSOE) .csv,1186.23612869
799,,,,Breive,Norway,Hydro,Pumped Storage,24.0,59.34647,7.24939,Norway Power Plants (ENTSOE) .csv,21.8997439143
800,,,,Skarje,Norway,Hydro,Pumped Storage,8.0,59.34647,7.24939,Norway Power Plants (ENTSOE) .csv,7.29991463809
801,,,,Skjeggedal,Norway,Hydro,Pumped Storage,4.0,60.1289,6.63673,Norway Power Plants (ENTSOE) .csv,3.64995731905
802,,,,Kjosnesfjorden,Norway,Hydro,Reservoir,168.0,61.51765,6.61536,Norway Power Plants (ENTSOE) .csv,153.2982074
803,,,,Häusern,Germany,Hydro,Pumped Storage,100.0,47.7546372,8.17759775,Germany Power Plants (conventional).csv,117.69213926
804,,,,Leitzach,Germany,Hydro,Pumped Storage,136.0,47.8613322,11.8696227,Germany Power Plants (conventional).csv,160.061309393
805,,,,Energy riedl,Germany,Hydro,Pumped Storage,300.0,48.5750459,13.6694984,Verbund Power Plant.csv,353.07641778
806,,,,Limmern,Switzerland,Hydro,Pumped Storage,1000.0,47.1841816,8.56987405,Switzerland Power Plant.csv,681.033224692
807,Bolarque,,,Bolarque,Spain,Hydro,Reservoir,242.94,40.419023,-2.922556,Spain Power Plants Over 10 MW.csv,272.024267299
808,Belesar,,,Belesar,Spain,Hydro,Reservoir,331.01,42.608758658,-7.77115345001,Spain Power Plants Over 10 MW.csv,370.637822996
809,Tambre,,,Tambre,Spain,Hydro,Reservoir,73.04,42.7858267671,-8.88733863831,Spain Power Plants Over 10 MW.csv,81.7841956182
810,Las picadas,,,Picadas,Spain,Hydro,Reservoir,24.32,40.3235958272,-4.20319318771,Spain Power Plants Over 10 MW.csv,27.2315393953
811,Camporriondi,,,Camporriondi,Spain,Hydro,Run-Of-River,15.2,43.3513965522,-5.12915611267,Spain Power Plants Over 10 MW.csv,17.0197121221
812,Regueiro mao,,,Regueiro,Spain,Hydro,Run-Of-River,28.64,42.3825770118,-7.56842136383,Spain Power Plants Over 10 MW.csv,32.0687207353
813,Portodemouros,,,Portodemouros,Spain,Hydro,Reservoir,88.12,42.309432,-8.204886,Spain Power Plants Over 10 MW.csv,98.669541592
814,Frieira ecologico,,,Frieira,Spain,Hydro,Reservoir,178.15,42.1396684973,-8.10125827789,Spain Power Plants Over 10 MW.csv,199.477744378
815,Burguillo,,,Burguillo,Spain,Hydro,Run-Of-River,61.95,40.4153258319,-4.50156211853,Spain Power Plants Over 10 MW.csv,69.3665240765
816,Buendia,,,Buendia,Spain,Hydro,Reservoir,55.29,40.3664274192,-2.75645256042,Spain Power Plants Over 10 MW.csv,61.9092028441
817,Castrejon,,,Castrejon,Spain,Hydro,Reservoir,80.73,39.887964,-4.453876,Spain Power Plants Over 10 MW.csv,90.3948262905
818,Avise,,,Avise,Italy,Hydro,Run-Of-River,146.7,45.70872365,7.1398219,Italy Power Plant.csv,270.614049865
819,Valpelline,,,Valpelline,Italy,Hydro,Run-Of-River,130.0,45.8246612,7.3248263,Italy Power Plant.csv,239.807951482
820,Vikesa,,,Vikesa,Norway,Hydro,Reservoir,5.0,58.63759,6.09133,Norway Power Plants (ENTSOE) .csv,4.56244664881
821,Arnoia,,,C.h. arnoya modificada,Spain,Hydro,Run-Of-River,11.4,42.2505671113,-8.13112735748,Spain Power Plants Over 10 MW.csv,12.7647840916
822,Hol,,,Hol,Norway,Hydro,Reservoir,348.0,60.6333333,8.1666667,Norway Power Plants (ENTSOE) .csv,317.546286757
823,Lya,,,Lya,Norway,Hydro,Reservoir,6.0,60.6666667,8.75,Norway Power Plants (ENTSOE) .csv,5.47493597857
824,Hammeren,,,Hammeren,Norway,Hydro,Reservoir,6.0,69.6,20.55,Norway Power Plants (ENTSOE) .csv,5.47493597857
825,Hemsil,,,Hemsil,Norway,Hydro,Reservoir,188.0,60.7,8.95,Norway Power Plants (ENTSOE) .csv,171.547993995
826,Usta,,,Usta,Norway,Hydro,Reservoir,206.0,60.62821,8.56279,Norway Power Plants (ENTSOE) .csv,187.972801931
827,Gjuva,,,Gjuva,Norway,Hydro,Reservoir,11.0,62.4833333,6.0,Norway Power Plants (ENTSOE) .csv,10.0373826274
828,Pfrombach,,,Pfrombach,Germany,Hydro,Run-Of-River,22.7,48.44071245,11.994894,Germany Power Plants (conventional).csv,26.716115612
829,Walchensee,,,Walchensee,Germany,Hydro,Run-Of-River,124.0,47.61822155,11.3399281,Germany Power Plants (conventional).csv,145.938252682
830,Rain,,,Rain,Germany,Hydro,Run-Of-River,11.2,48.6864918,10.9082667,Germany Power Plants (conventional).csv,13.1815195971
831,Egglfing obernberg,,,Egglfing,Germany,Hydro,Reservoir,124.4,48.3508374547,13.31077028,Verbund Power Plant.csv,146.409021239
832,Malgomaj,,,Malgomaj,Sweden,Hydro,Run-Of-River,11.0,64.8,16.016667,Sweden Power Plant.csv,11.3887646194
833,Ingolstadt rmd,,,Ingolstadt,Germany,Hydro,Run-Of-River,19.8,48.7648416,11.4291864,Germany Power Plants (conventional).csv,23.3030435735
834,Schwabstadl,,,Schwabstadl,Germany,Hydro,Run-Of-River,12.96,48.1601696,10.8729744,Germany Power Plants (conventional).csv,15.2529012481
835,Ettling,,,Ettling,Germany,Hydro,Run-Of-River,13.5,48.8166667,11.6666667,Germany Power Plants (conventional).csv,15.8884388001
836,Pielweichs,,,Pielweichs,Germany,Hydro,Run-Of-River,13.5,48.77196145,12.8708666,Germany Power Plants (conventional).csv,15.8884388001
837,Remolina,,,Remolina,Spain,Hydro,Reservoir,100.0,42.90357,-5.143736,Spain Power Plants Over 10 MW.csv,111.971790277
838,Bergheim,,,Bergheim,Germany,Hydro,Run-Of-River,23.7,50.9549114377,6.64031383027,Germany Power Plants (conventional).csv,27.8930370046
839,Vohburg,,,Vohburg,Germany,Hydro,Run-Of-River,23.31,48.54974435,11.96338815,Germany Power Plants (conventional).csv,27.4340376615
840,Merching,,,Merching,Germany,Hydro,Run-Of-River,13.536,48.2454201519,10.9858369784,Germany Power Plants (conventional).csv,15.9308079702
841,Dingolfing,,,Dingolfing,Germany,Hydro,Run-Of-River,17.76,48.6317067,12.4988717,Germany Power Plants (conventional).csv,20.9021239326
842,Altheim,,,Altheim,Germany,Hydro,Run-Of-River,18.68,48.89008665,9.76830095,Germany Power Plants (conventional).csv,21.9848916138
843,Faimingen,,,Faimingen,Germany,Hydro,Run-Of-River,10.1,48.5663550008,10.4205618413,Germany Power Plants (conventional).csv,11.8869060653
844,Kaufering wkw,,,Kaufering,Germany,Hydro,Run-Of-River,17.82,48.0891708324,10.8698286475,Germany Power Plants (conventional).csv,20.9727392161
845,Bertoldsheim,,,Bertoldsheim,Germany,Hydro,Run-Of-River,18.9,48.7532279,11.03306595,Germany Power Plants (conventional).csv,22.2438143201
846,Unterbergen,,,Unterbergen,Germany,Hydro,Run-Of-River,12.96,48.23268115,10.9465993,Germany Power Plants (conventional).csv,15.2529012481
847,Obernach,,,Obernach,Germany,Hydro,Run-Of-River,12.8,47.5798645796,11.3204528578,Germany Power Plants (conventional).csv,15.0645938253
848,Hochstadt,,,Höchstädt,Germany,Hydro,Run-Of-River,10.0,49.7023795553,11.1118290285,Germany Power Plants (conventional).csv,11.769213926
849,Gummering,,,Gummering,Germany,Hydro,Run-Of-River,19.2,48.61498075,12.39122295,Germany Power Plants (conventional).csv,22.5968907379
850,Oberpeiching,,,Oberpeiching,Germany,Hydro,Run-Of-River,12.3,49.1882837,9.35458525,Germany Power Plants (conventional).csv,14.476133129
851,Niederaichbach,,,Niederaichbach,Germany,Hydro,Run-Of-River,16.2,48.6034252,12.31671765,Germany Power Plants (conventional).csv,19.0661265601
852,Arbon,,,Arbon,Spain,Hydro,Run-Of-River,56.04,43.448586,-6.705343,Spain Power Plants Over 10 MW.csv,62.7489912712
853,Bittenbrunn,,,Bittenbrunn,Germany,Hydro,Run-Of-River,20.2,49.0567943718,11.4923827619,Germany Power Plants (conventional).csv,23.7738121305
854,Geisling,,,Geisling,Germany,Hydro,Run-Of-River,25.0,48.9658639,12.35875465,Germany Power Plants (conventional).csv,29.423034815
855,Scheuring,,,Scheuring,Germany,Hydro,Run-Of-River,12.96,48.16850295,10.8979744,Germany Power Plants (conventional).csv,15.2529012481
856,Straubing,,,Straubing,Germany,Hydro,Run-Of-River,21.5,48.8826567,12.56819135,Germany Power Plants (conventional).csv,25.3038099409
857,Silvon,,,Silvon,Spain,Hydro,Reservoir,81.54,43.432004,-6.815132,Spain Power Plants Over 10 MW.csv,91.3017977918
858,Hemfurth,,,Hemfurth,Germany,Hydro,Run-Of-River,40.0,51.172341775,9.04850925305,Germany Power Plants (conventional).csv,47.076855704
859,Prittriching,,,Prittriching,Germany,Hydro,Run-Of-River,12.96,48.20073155,10.92275755,Germany Power Plants (conventional).csv,15.2529012481
860,Doiras,,,Doiras,Spain,Hydro,Run-Of-River,61.94,43.432004,-6.815132,Spain Power Plants Over 10 MW.csv,69.3553268975
861,Ering frauenstein,,,Ering,Germany,Hydro,Reservoir,73.33,48.2996057071,13.1501457214,Germany Power Plants (conventional).csv,86.3036457193
862,Ellgau,,,Ellgau,Germany,Hydro,Run-Of-River,10.0,48.6,10.86668335,Germany Power Plants (conventional).csv,11.769213926
863,Dornau,,,Dornau,Germany,Hydro,Run-Of-River,17.5,48.854651,10.0425347,Germany Power Plants (conventional).csv,20.5961243705
864,Passau ingling,,,Passau ingling,Germany,Hydro,Reservoir,86.4,48.5725844365,13.4548133694,Germany Power Plants (conventional).csv,101.686008321
865,Ivoz ramet,,,Hu ivoz ramet,Belgium,Hydro,Run-Of-River,10.2,50.6022256026,5.44355392456,Belgium Power Plant.csv,10.3962936565
866,Taio,,,Taio,Italy,Hydro,Reservoir,161.0,46.334602623,11.0642623901,Italy Power Plant.csv,296.992924528
867,Tannheim,,,Tannheim,Germany,Hydro,Run-Of-River,14.5,47.9998147,10.0841327,Germany Power Plants (conventional).csv,17.0653601927
868,Grosio,,,Grosio,Italy,Hydro,Reservoir,655.0,46.489007,10.294052,Italy Power Plant.csv,1208.26314016
869,Tryland,,,Tryland,Norway,Hydro,Reservoir,5.0,58.25,7.9666667,Norway Power Plants (ENTSOE) .csv,4.56244664881
870,Berlifoss,,,Berlifoss,Norway,Hydro,Reservoir,13.0,59.1666667,8.5,Norway Power Plants (ENTSOE) .csv,11.8623612869
871,Smeland,,,Smeland,Norway,Hydro,Reservoir,28.0,58.6166667,7.4166667,Norway Power Plants (ENTSOE) .csv,25.5497012333
872,Evenstad,,,Evenstad,Norway,Hydro,Reservoir,27.0,58.5666667,8.6833333,Norway Power Plants (ENTSOE) .csv,24.6372119036
873,Hoylandsfoss,,,Hoylandsfoss,Norway,Hydro,Reservoir,9.0,58.2666667,6.8333333,Norway Power Plants (ENTSOE) .csv,8.21240396786
874,Hunsfoss,,,Hunsfos,Norway,Hydro,Reservoir,18.0,58.26936,7.97413,Norway Power Plants (ENTSOE) .csv,16.4248079357
875,Ulvund,,,Ulvund,Norway,Hydro,Reservoir,22.0,62.8666667,8.45,Norway Power Plants (ENTSOE) .csv,20.0747652548
876,Finsa,,,Finsa,Norway,Hydro,Reservoir,37.0,58.66263,6.71694,Norway Power Plants (ENTSOE) .csv,33.7621052012
877,Iveland,,,Iveland,Norway,Hydro,Reservoir,53.0,58.3833333,7.8333333,Norway Power Plants (ENTSOE) .csv,48.3619344774
878,Haverstad,,,Haverstad,Norway,Hydro,Reservoir,62.0,58.1,7.0666667,Norway Power Plants (ENTSOE) .csv,56.5743384452
879,Logna,,,Logna,Norway,Hydro,Reservoir,22.0,58.3166667,6.6666667,Norway Power Plants (ENTSOE) .csv,20.0747652548
880,Tjonnesfoss,,,Tjonnefoss,Norway,Hydro,Reservoir,8.0,59.1666667,8.5,Norway Power Plants (ENTSOE) .csv,7.29991463809
881,Rygene,,,Rygene,Norway,Hydro,Reservoir,65.0,58.4,8.6333333,Norway Power Plants (ENTSOE) .csv,59.3118064345
882,Laudal,,,Laudal,Norway,Hydro,Reservoir,38.0,58.25,7.5,Norway Power Plants (ENTSOE) .csv,34.674594531
883,Nomeland,,,Nomeland,Norway,Hydro,Reservoir,56.0,58.3833333,7.8333333,Norway Power Plants (ENTSOE) .csv,51.0994024667
884,Uleberg,,,Uleberg,Norway,Hydro,Reservoir,11.0,58.55,7.7833333,Norway Power Plants (ENTSOE) .csv,10.0373826274
885,Steinsfoss,,,Steinsfoss,Norway,Hydro,Reservoir,125.0,58.26936,7.97413,Norway Power Plants (ENTSOE) .csv,114.06116622
886,Bjelland,,,Bjelland,Norway,Hydro,Reservoir,70.0,58.3833333,7.5166667,Norway Power Plants (ENTSOE) .csv,63.8742530833
887,Hogefoss,,,Hogefoss,Norway,Hydro,Reservoir,27.0,59.1666667,8.5,Norway Power Plants (ENTSOE) .csv,24.6372119036
888,Amli gjov,,,Amli,Norway,Hydro,Reservoir,28.0,58.45,8.3333333,Norway Power Plants (ENTSOE) .csv,25.5497012333
889,Klosterfoss,,,Klosterfoss,Norway,Hydro,Reservoir,12.0,59.20962,9.60897,Norway Power Plants (ENTSOE) .csv,10.9498719571
890,Fully,,,Fully,Switzerland,Hydro,Run-Of-River,6.0,46.1385117882,7.1146774292,Switzerland Power Plant.csv,4.08619934815
891,Mieville,,,Miéville,Switzerland,Hydro,Run-Of-River,60.0,46.7125028146,8.27253180105,Switzerland Power Plant.csv,40.8619934815
892,Chandoline,,,Chandoline,Switzerland,Hydro,Run-Of-River,150.0,46.251268,7.593183,Switzerland Power Plant.csv,102.154983704
893,Rheinfelden,,,Rheinfelden,Germany,Hydro,Run-Of-River,46.7,47.5782649,7.8050325761,Germany Power Plants (conventional).csv,54.9622290344
894,Oberems,,,Oberems argessa,Switzerland,Hydro,Run-Of-River,8.2,46.281545,7.695311,Switzerland Power Plant.csv,5.58447244248
895,Rialb,,,C.h. rialb .,Spain,Hydro,Reservoir,30.7,41.9752689311,1.25607848167,Spain Power Plants Over 10 MW.csv,34.375339615
896,Sassello roveredo,,,Sassello,Switzerland,Hydro,Run-Of-River,20.8,46.235122,9.126217,Switzerland Power Plant.csv,14.1654910736
897,Beznau hydro,,,Beznau,Switzerland,Hydro,Run-Of-River,25.7,47.5709089378,8.25845718384,Switzerland Power Plant.csv,17.5025538746
898,Russein,,,Russein,Switzerland,Hydro,Run-Of-River,10.52,46.7034088063,8.85090351105,Switzerland Power Plant.csv,7.16446952376
899,Stampa,,,Stampa,Switzerland,Hydro,Run-Of-River,5.0,46.015621,8.945343,Switzerland Power Plant.csv,3.40516612346
900,Naturno,,,Centrale naturno,Italy,Hydro,Run-Of-River,220.58,46.6493013,11.0046307,Italy Power Plant.csv,406.898753369
901,Eriste,,,Eriste,Spain,Hydro,Run-Of-River,87.6,42.5898677138,0.492668151855,Spain Power Plants Over 10 MW.csv,98.0872882826
902,Toran,,,Toran,Spain,Hydro,Run-Of-River,13.2,42.231195,-7.830264,Spain Power Plants Over 10 MW.csv,14.7802763166
903,Pampaneira,,,Pampaneira,Spain,Hydro,Run-Of-River,12.8,36.9401510172,-3.36095809937,Spain Power Plants Over 10 MW.csv,14.3323891554
904,Las ondinas,,,Ondinas,Spain,Hydro,Reservoir,82.46,42.820561,-6.487473,Spain Power Plants Over 10 MW.csv,92.3319382623
905,Mucone,,,Mucone,Italy,Hydro,Run-Of-River,101.44,39.4929515,16.3843719,Italy Power Plant.csv,187.123989218
906,Oliana,,,Oliana,Spain,Hydro,Run-Of-River,38.38,42.068952,1.313526,Spain Power Plants Over 10 MW.csv,42.9747731083
907,Sondrio,,,Sondrio,Italy,Hydro,Run-Of-River,144.1,46.16996985,9.87292985,Italy Power Plant.csv,265.817890836
908,Brandariz,,,C. h. salto central brandariz,Spain,Hydro,Run-Of-River,17.5,42.8166667,-8.2833333,Spain Power Plants Over 10 MW.csv,19.5950632985
