id,Carma,Geo,WRI,Country,Fueltype,Classification,Capacity,lat,lon
145,Angleur,Angleur,Angleur Tg,Belgium,Natural Gas,Combined Cycle Gas Turbine,238.0,50.6144975563,5.59156122742
146,Bussi,Edison Bussi Sul Tirino,Bussi,Italy,Natural Gas,Power and Heat Combined Cycle Gas Turbine,133.0,42.2044116667,13.8352413333
147,Malgovert,Brevieres Malgovert,Malgovert,France,Hydro,Dam on a lake,396.0,45.6462613098,6.5903048706
148,Civaux,Civaux,Civaux,France,Nuclear,,3122.0,46.4565023485,0.653792867337
149,Tricastin,Tricastin,Tricastin,France,Nuclear,,3820.0,44.3304294022,4.73167127119
150,Bort,Bort Les Orgues,Bort,France,Hydro,Dam on river with reservoir,240.0,45.4065,2.4995
151,Saint Esteve,Saint Esteve Janson,Saint Esteve,France,Hydro,Dam with run-of-river generation,156.0,43.93766665,5.77583335
152,Gravelines,Gravelines,Gravelines,France,Nuclear,,5706.0,51.0146941662,2.13466022353
153,Torviscosa,Edison Torviscosa,Torviscosa,Italy,Natural Gas,Combined Cycle Gas Turbine,785.0,45.816972,13.289411
154,Cattenom,Cattenom,Cattenom,France,Nuclear,,5448.0,49.415939338,6.21749893003
155,Jesi,Edison Jesi,Jesi,Italy,Natural Gas,Power and Heat Combined Cycle Gas Turbine,125.0,43.5419860333,13.2716441333
156,Flamanville,Flamanville,Flamanville,France,Nuclear,,2764.0,49.5364813945,-1.88200338637
157,Fessenheim,Fessenheim,Fessenheim,France,Nuclear,,1840.0,47.9102962882,7.55005238201
158,Grand Maison,Grand Maison,Grand Maison,France,Hydro,Pumped Storage Power Plant,1800.0,45.152617,6.065418
159,Paluel,Paluel,Paluel,France,Nuclear,,5528.0,49.8581379976,0.635462992121
160,Fessenheim Hydro,Fessenheim,Fessenheim,France,Hydro,Dam with run-of-river generation,166.0,47.9162205,7.5539925
161,Chastang,Chastang,Chastang,France,Hydro,Dam on river with reservoir,300.0,45.1413555,2.01667
162,Sarmato,Edison Sarmato,Sarmato,Italy,Natural Gas,Power and Heat Combined Cycle Gas Turbine,180.0,45.055376,9.49730733333
163,Sarrans,Sarrans,Sarrans,France,Hydro,Dam on river with reservoir,180.0,44.8368285,2.7005945
164,Rhinau,Rhinau,Rhinau,France,Hydro,Dam with run-of-river generation,152.0,48.2872516086,7.67125440979
165,Blayais,Blayais,Blayais,France,Nuclear,,3640.0,45.2559166666,-7.22222e-05
166,Penly,Penly,Penly,France,Nuclear,,2764.0,49.9765537642,1.21134121319
167,Marckolsheim,Marckolsheim,Marckolsheim,France,Hydro,Dam with run-of-river generation,156.0,48.1593557386,7.56650126648
168,Coche,Coche,Coche,France,Hydro,Pumped Storage Power Plant,300.0,45.48266665,6.53416665
169,Candela,Edison Candela,Candela,Italy,Natural Gas,Power and Heat Combined Cycle Gas Turbine,360.0,41.1803306667,15.4888956667
170,Dampierre,Dampierre,Dampierre,France,Nuclear,,3864.0,47.7325840344,2.51759121007
171,Andenne,Andenne Seilles,Hu Andenne,Belgium,Hydro,Barrage with run-of-river Generation,9.0,50.491104,5.0825635
172,Villarodin (Mont Cenis),Villarodin,Villarodin,France,Hydro,Dam on a lake,360.0,45.2065,6.69383335
173,Vouglans,Vouglans,Vouglans,France,Hydro,Dam on river with reservoir,262.0,46.4002401169,5.6574304657
174,Curbans,Curbans,Curbans,France,Hydro,Dam on river with reservoir,165.0,44.4379995,6.0500895
175,Filippo  Mela,Edipower San Filippo Del Mela,Filippo Mela,Italy,Oil,Sub-critical Steam Turbine,1280.0,38.1862134333,15.2775675
176,Chivasso,Edipower Chivasso,Chivasso,Italy,Natural Gas,Combined Cycle Gas Turbine,1179.0,45.186095,7.890719
177,Sermide,Edipower Sermide,Sermide,Italy,Natural Gas,Combined Cycle Gas Turbine,1140.0,45.0053531667,11.2732275
178,Marina,Marina Ocgt,Marina No St,Ireland,Natural Gas,Open Cycle Gas Turbine,96.0,51.8989846459,-8.45820459404
179,Ardnacrusha,Ardnacrusha,Ardnacrusha,Ireland,Hydro,Weir on a Canal,86.0,52.31599445,-8.81098335
180,Turlough Hill,Turlough Hill Tomaneena,Turlough,Ireland,Hydro,Pumped Storage Power Plant,292.0,53.0607111,-6.29500555
181,Poolbeg,Poolbeg,Poolbeg Combined Cycle,Ireland,Natural Gas,Combined Cycle Gas Turbine,470.0,53.33935,-6.1866
182,West Offaly,West Offaly,West Offaly Power,Ireland,Coal,Sub-critical Thermal,150.0,53.275639,-8.038761
183,Aghada,Aghada,Aghada,Ireland,Natural Gas,OCGT and CCGT,963.0,51.8348931124,-8.23453115212
184,Great Island,Great Island,Great Island,Ireland,Oil,Sub-critical Steam Turbine,240.0,52.2842335,-6.9674445
185,Tarbert,Tarbert,Tarbert,Ireland,Oil,Sub-critical Steam Turbine,620.0,52.5810389,-9.3692389
186,Vandellos ,Vandellos,Vandellos,Spain,Nuclear,,1087.0,40.9510944444,0.86613333335
187,Asco,Asco,Asco,Spain,Nuclear,,2060.0,41.2004,0.5686722222
188,L Einaudi (Chiotas),Entracque Chiotas Piastra,Entracque_Chro,Italy,Hydro,Pumped Storage Power Plant,1184.0,44.23615,7.39427733333
189,Compostilla,Compostilla,Compostilla,Spain,Coal,Sub-critical Thermal,1199.6,42.61998,-6.564015
190,Casella,Enel Casella,Casella C.Le,Italy,Natural Gas,Combined Cycle Gas Turbine,1504.0,45.0799017,9.46550686667
191,Entracque Rovina,Entracque Rovina Piastra,Entracque Rovina,Italy,Hydro,Pumped Storage Power Plant,134.0,44.23615,7.393454
192,Teruel,Teruel Andorra,Teruel,Spain,Coal,Sub-critical Thermal,1050.0,40.9971535,-0.380591
193,Porto Tolle,Enel Porto Tolle,Porto Tolle,Italy,Oil,Sub-critical Steam Turbine,2640.0,44.9525724333,12.3814863
194,Roncovalgrande (Delio),Roncovalgrande,Roncovalgrande,Italy,Hydro,Pumped Storage Power Plant,1016.0,46.0624848249,8.74814644281
195,Sulcis,Enel Sulcis Grazia Deledda,Sulcis Centr,Italy,Coal,Both Sub and Super Critical Thermal,585.0,39.4942197667,8.6102591
196,Litoral  Almeria,Litoral Almeira Carboneras,Litoral Almeria,Spain,Coal,Sub-critical Thermal,1158.0,36.9792435,-1.904541
197,Santa Barbara Enel,Santa Barbara,Santa Barbara,Italy,Natural Gas,Combined Cycle Gas Turbine,390.0,43.5499765667,11.4815760667
198,Torrevaldaliga Nord,Enel Torrevaldaliga Nord,Torrevaldaliga Nord,Italy,Coal,Ultra-Super-Critical Thermal,1980.0,42.1240055,11.7633165
