id,Carma,Geo,WRI,Country,Fueltype,Classification,Capacity,lat,lon
458,Ettling,,Ettling,Germany,Hydro,,13.5,48.8166667,11.6666667
459,Pielweichs,,Pielweichs,Germany,Hydro,,13.5,48.77196145,12.8708666
460,Itzehoe Peak,,Itzehoe,Germany,Oil,,88.0,53.0090517,8.9012342
461,Remolina,,Remolina,Spain,Hydro,,100.0,42.90357,-5.143736
462,Askam,,Askam,United Kingdom,Wind,,5.0,53.209685175,-1.84175215372
463,Prem,,Prem,Germany,Hydro,,21.375,47.6910495,10.7984468
464,Huntorf Caes,,Huntorf,Germany,Natural Gas,,321.0,53.2365926076,8.45687197177
465,Kvistforsen,,Kvistforsen,Sweden,Hydro,,140.0,64.7506673478,20.9527945518
466,Bergheim,,Bergheim,Germany,Hydro,,23.7,50.9549114377,6.64031383027
467,Trapani,,Trapani C.Le,Italy,Natural Gas,,213.4,38.0158430004,12.510766983
468,Velsen,,Ava Velsen,Germany,Waste,,20.8,49.2359489676,6.85236580862
469,Emile Huchet,,Emile Huchet,France,Coal,,1134.0,49.1580778465,7.02412605286
470,Vohburg,,Vohburg,Germany,Hydro,,23.31,48.7666667,11.6166667
471,Grossrachen,,Eew GroßRäSchen,Germany,Waste,,23.3,51.5858299,14.0061568
472,Genk Langerlo,,Langerlo,Belgium,Coal,,940.0,50.934049,5.478404
473,Deucheran Hill,,Deucheran,United Kingdom,Wind,,16.0,56.1876877967,-4.793011659
474,Ratcliffe,,Ratcliffe,United Kingdom,Coal,,2000.0,52.8309264639,-0.963411103417
475,Stags Holt,,Stags Holt,United Kingdom,Wind,,20.0,52.3929746338,-0.1872128873
476,Rhyd Y Groes,,Rhyd Groes,United Kingdom,Wind,,7.2,52.7995113027,-4.18552024785
477,Grenzach Roche,,Grenzach Wyhlen,Germany,Natural Gas,,40.12,47.5500313,7.68334245
478,Merching,,Merching,Germany,Hydro,,13.536,48.245420152,10.9858369784
479,Siddick,,Siddick,United Kingdom,Wind,,4.2,53.4392688275,-2.00548312511
480,Bkb Hannover,,Eew Energy From Waste Hannover Gmbh,Germany,Waste,,27.4,52.3724970825,9.73588736545
481,Dingolfing,,Dingolfing,Germany,Hydro,,17.76,48.6317067,12.4988717
482,Scroby Sands,,Scroby Sands,United Kingdom,Wind,,60.0,52.4413659948,0.631890830506
483,Mhkw Goppingen,,Eew GöPpingen,Germany,Waste,,11.0,48.7040471199,9.657837735
484,Altheim,,Altheim,Germany,Hydro,,18.68,48.89008665,9.76830095
485,Thornhill,,Thornhill,United Kingdom,Natural Gas,,50.0,53.690760481,-1.62906646729
486,Faimingen,,Faimingen,Germany,Hydro,,10.1,48.5663550008,10.4205618413
487,Kaufering Wkw,,Kaufering,Germany,Hydro,,17.82,48.0891708323,10.8698286475
488,Buer,,Fwk Buer,Germany,Coal,,82.0,51.5138229,7.07296315
489,Bertoldsheim,,Bertoldsheim,Germany,Hydro,,18.9,48.7532279,11.03306595
490,Unterbergen,,Unterbergen,Germany,Hydro,,12.96,48.2333333,10.95
491,Obernach,,Obernach,Germany,Hydro,,12.8,47.5798645796,11.3204528578
492,Hochstadt,,HöChstäDt,Germany,Hydro,,10.0,49.7023795553,11.1118290285
493,Gummering,,Gummering,Germany,Hydro,,19.2,48.61498075,12.39122295
494,Oberpeiching,,Oberpeiching,Germany,Hydro,,12.3,49.1882837,9.35458525
495,Niederaichbach,,Niederaichbach,Germany,Hydro,,16.2,48.6034252,12.31671765
496,Pengfors,,Pengfors,Sweden,Hydro,,69.0,63.9333333,19.6666667
497,Arenas,,Presa Arenoso,Spain,Hydro,,12.194,43.3173722581,-4.84608650208
498,Arbon,,Arbon,Spain,Hydro,,56.04,43.448586,-6.705343
499,Sandbach Hays,,Sandbach,United Kingdom,Natural Gas,,57.0,52.699156525,-1.43524430372
500,Bittenbrunn,,Bittenbrunn,Germany,Hydro,,20.2,49.0567943718,11.4923827619
501,Urspring,,Urspring,Germany,Hydro,,12.0,49.75,11.2333333
502,Neunkirchen,,Ahkw Neunkirchen,Germany,Waste,,12.0,51.28990425,7.84216047441
503,Geisling,,Geisling,Germany,Hydro,,25.0,48.9658639,12.35875465
504,Scheuring,,Scheuring,Germany,Hydro,,12.96,48.16850295,10.8979744
505,Lucy ,,Lucy,France,Coal,,270.0,46.67,4.35
506,Straubing,,Straubing,Germany,Hydro,,21.5,48.8826567,12.56819135
507,Silvon,,Silvon,Spain,Hydro,,81.54,43.432004,-6.815132
508,Volgsjofors,,Volgsjofors,Sweden,Hydro,,20.0,64.55,16.75
509,Jena Sud Cc,,Jena,Germany,Natural Gas,,194.9,50.91534688,11.584315045
510,Provence,,Provence,France,Coal,,888.0,43.49,5.5
511,Hemfurth,,Hemfurth,Germany,Hydro,,40.0,51.172341775,9.04850925306
512,Lowca,,Lowca,United Kingdom,Wind,,5.0,53.4392688275,-2.00548312511
513,Oldside,,Oldside,United Kingdom,Wind,,5.4,53.4392688275,-2.00548312511
514,Isar,,Isar,Germany,Nuclear,,2400.0,48.6055555556,12.2930555556
515,Kirchmoser,,KirchmöSer,Germany,Natural Gas,,165.0,52.63110795,12.8980648
516,Prittriching,,Prittriching,Germany,Hydro,,12.96,48.20073155,10.92275755
517,Doiras,,Doiras,Spain,Hydro,,61.94,43.432004,-6.815132
518,Ering Frauenstein,,Ering,Germany,Hydro,,73.33,48.299605707,13.1501457215
519,Ellgau,,Ellgau,Germany,Hydro,,10.0,48.6,10.86668335
520,Kirchlengern,,Kirchlengern,Germany,Natural Gas,,201.5,52.1991726,8.63866835
521,Dornau,,Dornau,Germany,Hydro,,17.5,48.854651,10.0425347
522,Enfield Energy,,Enfield,United Kingdom,Natural Gas,,408.0,51.58438545,-0.07560515
523,Bad Salzungen,,Bad Salzungen,Germany,Natural Gas,,10.0,50.815194,10.23399865
524,Castleford C,,Castleford,United Kingdom,Natural Gas,,57.0,53.8283487281,-1.26462331559
525,Corby Abr,,Corby,United Kingdom,Natural Gas,,401.0,52.6499914626,-0.678564625878
526,Kiel,,Gemeinschaftskraftwerk Kiel,Germany,Coal,,354.0,54.330154175,10.15705315
527,Passau Ingling,,Passau Ingling,Germany,Hydro,,86.4,48.5725844366,13.4548133694
528,Cartagena Ecocarburantes,,Ecocarburantes,Spain,Natural Gas,,21.666,37.605121,-0.986232
529,Philippsburg,,Philippsburg,Germany,Nuclear,,2384.0,49.2525,8.4363888889
530,Ivoz Ramet,,Hu Ivoz Ramet,Belgium,Hydro,,10.2,50.6022256026,5.44355392456
531,Heysham ,,Heysham,United Kingdom,Nuclear,,2750.0,54.0288888889,-2.9161111111
532,Munster Neubau,,RestmüLl Stuttgart MüNster,Germany,Coal,,159.9,48.7803863966,9.17851520596
533,Porto Viro,,Porto Viro,Italy,Natural Gas,,125.0,45.0242507,12.23138015
534,Sesto  Giovanni,,Sesto Giovanni,Italy,Natural Gas,,113.6,45.53776025,9.2450853
535,Vogelgrun,,Vogelgrun,France,Hydro,,140.5,48.0178314922,7.52795219421
536,Sizewell B,,Sizewell B,United Kingdom,Nuclear,,1320.0,52.2133333333,1.6186111111
537,Taio,,Taio,Italy,Hydro,,161.0,46.334602623,11.0642623901
538,Tannheim,,Tannheim,Germany,Hydro,,14.5,47.9998147,10.0841327
539,Randens,,Randens,France,Hydro,,124.2,45.543586,6.302149
540,Lamarmora,,Lamarmora,Italy,Oil,,144.6,45.5323606,10.22387935
541,Grosio,,Grosio,Italy,Hydro,,655.0,46.489007,10.294052
542,Solnova,,Solar Termica Solnova,Spain,Solar,,150.0,37.38714,-6.201059
543,Las Cabrillas,,Cabrillas,Spain,Wind,,28.5,40.532667,-0.262492
544,Aibar,,Aibar,Spain,Wind,,33.84,42.5920161365,-1.36041641235
545,Pena Blanca,,Muela Penas Blancas,Spain,Wind,,50.14,42.6448187623,-1.51971817017
546,Serra  Tallat,,Serra Tallat,Spain,Wind,,49.5,42.3833333,2.2666667
547,Folch,,Folch,Spain,Wind,,64.5,40.502082,-0.191328
548,Serra  Vilobi,,Serra Vilobi,Spain,Wind,,40.5,42.1555139803,2.28275299072
549,Aritz,,Ariz Ariz,Spain,Wind,,19.2,43.0833333,-1.9166667
550,Cerro   Nevera,,Nevera,Spain,Wind,,31.5,39.8833333,-0.95
551,Echague,,Echague,Spain,Wind,,23.1,42.6525206646,-1.6259765625
552,Xistral Cudramon,,Cuadron,Spain,Wind,,22.0,43.678981,-7.894124
553,Campalbo,,Campalbo,Spain,Wind,,49.3,39.9,-1.2666667
554,Rubio,,Serra Rubio,Spain,Wind,,75.0,41.492256,2.033047
555,Hermillion,,Hermillon,France,Hydro,,115.6,45.2833333,6.35
556,Sierra Bicuerca,,Sierro,Spain,Wind,,69.05,39.65,-1.4
557,Losilla,,Losilla,Spain,Wind,,35.9,38.9666667,-1.0833333
558,Pinilla,,Pinilla,Spain,Wind,,22.95,38.731851,-1.58674
559,Cerro Pelado,,Pela,Spain,Wind,,51.1,39.65,-1.4
560,Alaiz,,Alaiz,Spain,Wind,,34.98,42.736950122,-1.63313269615
561,Xistral Soan,,Solanazo,Spain,Wind,,19.6,43.678981,-7.894124
562,Manzanera,,Manzanera,Spain,Wind,,25.5,40.637747,-0.340412
563,Salajones,,Salajones,Spain,Wind,,21.78,42.5920161365,-1.36041641235
564,Muela  Todolella,,Muela Todolella,Spain,Wind,,40.5,40.637747,-0.340412
565,Torre Miro,,Torre Miro,Spain,Wind,,99.0,40.619665,-0.098917
566,Sierra Selva,,Selva,Spain,Wind,,33.0,42.45,-1.1166667
567,Terral,,Alabe Terral,Spain,Wind,,27.75,43.3666667,-7.4833333
568,Sos Rey Catolico,,Sos Rey Catolico,Spain,Wind,,48.75,42.496864,-1.215138
569,Aizikibel,,Aizkibel Corregida Potencia,Spain,Wind,,12.52,42.761469,-1.698808
570,Arriello,,Arrielo,Spain,Wind,,49.5,40.428847,-0.257745
571,Pla D'Embalague,,Pla Embalague,Spain,Wind,,37.5,40.532667,-0.262492
572,Montemayor Sur,,Alabe Montemayor Sur,Spain,Wind,,12.75,43.3666667,-7.4833333
573,Penas  Dios,,Penas Dios,Spain,Wind,,67.5,39.7493017101,-0.996837615967
574,Sanguesa,,Sanguesa,Spain,Waste,,30.2,42.5748266812,-1.28282546997
575,Gamoneda,,Gamoneda Ampl. Re,Spain,Wind,,49.55,42.035687,-6.905408
576,Cinseiro,,Cinseiro,Spain,Wind,,12.0,42.035687,-6.905408
577,Vedadillo,,Vedadillo,Spain,Wind,,49.5,42.389664,-1.793211
578,Izco,,Izco,Spain,Wind,,33.0,42.65683,-1.428727
579,Perdon,,Perdon,Spain,Wind,,20.3,42.748481,-1.722623
580,Moncayuelo,,Moncayuelo,Spain,Wind,,48.0,42.4333333,-1.75
581,Ibargoiti,,Ibargoiti,Spain,Wind,,22.44,42.6530256741,-1.30668640137
582,Tor Di Valle,,Tor Di Valle,Italy,Natural Gas,,223.0,41.811667,12.422778
583,Voghera,,Voghera,Italy,Natural Gas,,400.0,45.028611,8.973333
584,Cabrera Aicole,,Cabrera,Spain,Wind,,20.49,39.4166667,-0.7833333
585,Gennevilliers,,Gennevilliers,France,Natural Gas,,215.0,48.9333333,2.3
586,Torness,,Torness,United Kingdom,Nuclear,,1364.0,55.9680555556,-2.4091666667
587,North Rhins,,North Rhins,United Kingdom,Wind,,22.0,55.8442276315,-4.57068245777
588,Campollano Gramal,,Gramal,Spain,Wind,,37.4,38.9497,-2.35419
589,Mallen,,Mallen,Spain,Wind,,30.0,41.900642,-1.41994
590,Tryland,,Tryland,Norway,Hydro,,5.0,58.25,7.9666667
591,Berlifoss,,Berlifoss,Norway,Hydro,,13.0,59.1666667,8.5
592,Finndola,,Finndola,Norway,Hydro,,130.0,59.1865,8.0895
593,Smeland,,Smeland,Norway,Hydro,,28.0,58.6166667,7.4166667
594,Evenstad,,Evenstad,Norway,Hydro,,27.0,58.5666667,8.6833333
595,Hoylandsfoss,,Hoylandsfoss,Norway,Hydro,,9.0,58.2666667,6.8333333
596,Hunsfoss,,Hunsfos,Norway,Hydro,,18.0,58.26936,7.97413
597,Ulvund,,Ulvund,Norway,Hydro,,22.0,62.8666667,8.45
598,Finsa,,Finsa,Norway,Hydro,,37.0,58.66263,6.71694
599,Iveland,,Iveland,Norway,Hydro,,53.0,58.3833333,7.8333333
600,Haverstad,,Haverstad,Norway,Hydro,,62.0,58.1,7.0666667
601,Logna,,Logna,Norway,Hydro,,22.0,58.3166667,6.6666667
602,Tjonnesfoss,,Tjonnefoss,Norway,Hydro,,8.0,59.1666667,8.5
603,Holen,,Holen,Norway,Hydro,,460.0,59.35,7.3333333
604,Brokke,,Brokke,Norway,Hydro,,443.0,58.65,8.9666667
605,Rygene,,Rygene,Norway,Hydro,,65.0,58.4,8.6333333
606,Dynjanfoss,,Dynjanfoss,Norway,Hydro,,39.0,59.1666667,8.5
607,Laudal,,Laudal,Norway,Hydro,,38.0,58.25,7.5
608,Nomeland,,Nomeland,Norway,Hydro,,56.0,58.3833333,7.8333333
609,Uleberg,,Uleberg,Norway,Hydro,,11.0,58.55,7.7833333
610,Hovatn,,Hovatn,Norway,Hydro,,55.0,58.9833333,7.6833333
611,Hekni,,Hekni,Norway,Hydro,,60.0,58.65,8.9666667
612,Steinsfoss,,Steinsfoss,Norway,Hydro,,125.0,58.26936,7.97413
613,Bjelland,,Bjelland,Norway,Hydro,,70.0,58.3833333,7.5166667
614,Hogefoss,,Hogefoss,Norway,Hydro,,27.0,59.1666667,8.5
615,Jorundland,,Jorundland,Norway,Hydro,,65.0,58.9,8.2666667
616,Amli Gjov,,Amli,Norway,Hydro,,28.0,58.45,8.3333333
617,Klosterfoss,,Klosterfoss,Norway,Hydro,,12.0,59.20962,9.60897
618,Akzo Obernburg,,Obernburg,Germany,Natural Gas,,112.5,49.562327,10.5258373
619,Sierra Lacera,,Alconera,Spain,Wind,,38.82,38.6136513835,-1.11468315125
620,Chantada,,Pedra Chantada,Spain,Wind,,69.78,42.608758658,-7.77115345001
621,Serralta,,Serralta,Spain,Wind,,16.5,42.032494,-1.525907
622,Fieschertal,,Fieschertal,Switzerland,Hydro,,65.0,46.9944606198,8.62758603356
623,Vissoie,,"Vissoie ""Groupe Auxiliaire""",Switzerland,Hydro,,50.68,46.216326,7.585437
624,Giumaglio,,Giumaglio,Switzerland,Hydro,,8.94,46.274317,8.682139
625,Bitsch,,Bitsch Biel,Switzerland,Hydro,,356.0,46.537072,7.2492305
626,Fully,,Fully,Switzerland,Hydro,,6.0,46.1385117882,7.1146774292
627,Mieville,,MiéVille,Switzerland,Hydro,,60.0,46.7125028147,8.27253180105
628,Chandoline,,Chandoline,Switzerland,Hydro,,150.0,46.251268,7.593183
629,Martigny Bourg,,Martigny Bourg,Switzerland,Hydro,,22.0,46.0906147477,7.06369400024
630,Oberems,,Oberems Argessa,Switzerland,Hydro,,8.2,46.281545,7.695311
631,Turtmann,,Turtmann,Switzerland,Hydro,,24.0,46.301478,7.701951
632,Litziruti Arosa,,LitzirüTi,Switzerland,Hydro,,5.0,46.7993783672,9.70462489449
633,Luen,,LüEn Plessur Clasaurer,Switzerland,Hydro,,7.2,46.8498606899,9.53287124634
634,Son Reus,,Son Reus Turbina Cc,Spain,Oil,,451.0,39.5693907934,2.65023708344
635,Cedeira  Capelada,,Capelada,Spain,Wind,,31.35,43.660443,-8.057186
636,Rialb,,C.H. Rialb .,Spain,Hydro,,30.7,41.9752689311,1.25607848167
637,Mahon,,Mahon Turbina,Spain,Oil,,154.4,39.896436,4.259713
638,Muela Ecyr,,Muel,Spain,Wind,,16.86,41.580138,-1.117193
639,Sassello (Roveredo),,Sassello,Switzerland,Hydro,,20.8,46.235122,9.126217
640,Filisur,,Filisur,Switzerland,Hydro,,65.0,46.672147,9.688013
641,Pintrun,,Pintrun,Switzerland,Hydro,,6.48,46.7395037348,8.8286818132
642,Soazza,,Soazza,Switzerland,Hydro,,83.0,46.3932498,8.52042375
643,Reichenau,,Reichenau,Switzerland,Hydro,,19.06,46.5333333,9.2
644,Sedrun,,Sedrun,Switzerland,Hydro,,150.75,46.681556,8.778587
645,Siebnen,,Siebnen,Switzerland,Hydro,,51.52,46.7598904577,7.96979484115
646,Beznau Hydro,,Beznau,Switzerland,Hydro,,25.7,47.5709089378,8.25845718384
647,Champsec,,Champsec,Switzerland,Hydro,,16.45,46.05806,7.242957
648,Riddes,,Riddes,Switzerland,Hydro,,278.5,46.4862733801,7.19128440446
649,Goschenen,,GöSchenen Andermatt,Switzerland,Hydro,,33.26,46.49055525,8.1844448
650,Russein,,Russein,Switzerland,Hydro,,10.52,46.7034088063,8.85090351105
651,Fionnay Mauvoisin,,Fionnay Mauvoisin,Switzerland,Hydro,,140.0,46.36089865,7.4590894
652,Goschenernalp,,GöSchenen GöScheneralp,Switzerland,Hydro,,164.8,46.65,8.4833333
653,Rempen,,Rempen,Switzerland,Hydro,,66.24,47.41750405,8.67764365
654,Reckingen,,Reckingen,Switzerland,Hydro,,39.5,46.7994718,7.9004477
655,Klingnau,,Klingnau,Switzerland,Hydro,,42.6,47.609723,8.237497
656,Bremgarten Zufikon,,Bremgarten Zufikon,Switzerland,Hydro,,20.0,47.3510939057,8.3421421051
657,Butarque,,Secado Termico Lodos R..R. Butarque,Spain,Natural Gas,,21.0,40.3393480621,-3.76848220825
658,Stalvedro Aet,,Stalvedro Aet,Switzerland,Hydro,,14.0,46.513609,8.678302
659,Nuova Biaschina,,Biaschina,Switzerland,Hydro,,141.0,46.6636061099,7.87668160947
660,Stampa,,Stampa,Switzerland,Hydro,,5.0,46.015621,8.945343
661,Naturno,,Naturno,Italy,Hydro,,220.58,46.6493013,11.0046307
662,Lough Hill,,Lough,United Kingdom,Wind,,8.0,54.636774775,-7.03171760484
663,Schwarzheide,,Gud Schwarzheide,Germany,Natural Gas,,122.0,51.4847784,13.84871315
664,Moralets,,Moralets,Spain,Hydro,,221.4,42.4654490846,0.694198608398
665,Pietrafitta Nuova,,Pietrafitta,Italy,Natural Gas,,400.0,42.9996555,12.0928493
666,Hausham,,Hausham,Germany,Oil,,92.8,47.7484030839,11.840034749
667,Eriste,,Eriste,Spain,Hydro,,87.6,42.5898677138,0.492668151855
668,Ceuta,,Ceuta,Spain,Oil,,89.4,35.89,-5.35
669,Toran,,Toran,Spain,Hydro,,13.2,42.231195,-7.830264
670,Pampaneira,,Pampaneira,Spain,Hydro,,12.8,36.9401510172,-3.36095809937
671,Las Ondinas,,Ondinas,Spain,Hydro,,82.46,42.820561,-6.487473
672,Mucone ,,Mucone S,Italy,Hydro,,101.44,39.4929515,16.3843719
673,Oliana,,Oliana,Spain,Hydro,,38.38,42.068952,1.313526
674,Sondrio,,Sondrio,Italy,Hydro,,144.1,46.16996985,9.87292985
675,Brandariz,,C. H. Salto Central Brandariz,Spain,Hydro,,17.5,42.8166667,-8.2833333
676,Sierra Quemada,,Quemada,Spain,Wind,,44.25,38.914665,-3.536884
677,Bmhkw Recklinghausen,,Bmhkw Re Recklinghausen,Germany,Waste,,16.56,51.6155241,7.1989273
678,Cerro Blanco,,Blanco,Spain,Wind,,42.0,42.527291,-3.43827
679,Gronnsdal,,Gronsdal,Norway,Hydro,,36.0,60.4333333,5.85
680,Hodnaberg,,Hodnaberg,Norway,Hydro,,43.0,60.62296,6.42286
681,Evanger,,Evanger,Norway,Hydro,,446.0,60.62296,6.42286
682,Froland,,Froland,Norway,Hydro,,29.0,60.3833333,5.8
683,Kvittingen,,Kvittingen,Norway,Hydro,,56.0,60.4666667,5.8833333
684,Dale,,Dale Tue,Norway,Hydro,,178.0,60.4833333,5.7333333
685,Ulvik,,Ulvik,Norway,Hydro,,24.0,60.57117,6.91701
686,Steinsland,,Steinsland,Norway,Hydro,,198.0,60.9166667,5.9833333
687,Vemundsbotn,,Vemundsbotn,Norway,Hydro,,55.0,60.79887,5.30418
688,Asebotn,,Asebotn,Norway,Hydro,,17.0,60.1,6.6333333
689,Fosse,,Fosse,Norway,Hydro,,25.0,60.4833333,5.7333333
690,Kaldestad,,Kaldestad,Norway,Hydro,,30.0,60.4833333,5.7333333
691,Hellandsfoss,,Hellandsfoss,Norway,Hydro,,35.0,60.1,6.6333333
692,Herlandsfoss,,Herlandsfoss,Norway,Hydro,,15.0,60.55,5.5833333
693,Matre,,Matre,Norway,Hydro,,275.0,60.79887,5.30418
694,Nygard Bkk,,Nygard,Norway,Hydro,,93.0,60.1,6.6333333
695,Stordal,,Stordal,Norway,Hydro,,37.0,60.25,5.1333333
696,Fossmark,,Fossmark,Norway,Hydro,,11.0,60.4833333,5.7333333
697,Myster,,Myster,Norway,Hydro,,125.0,60.4833333,5.7333333
698,Oksebotn,,Oksebotn,Norway,Hydro,,16.0,60.62296,6.42286
699,Kandergrund,,Kandergrund,Switzerland,Hydro,,19.0,46.54955,7.660363
700,Wynau,,Wynau,Switzerland,Hydro,,12.0,47.2556989436,7.81625747681
701,Kallnach,,Kallnach,Switzerland,Hydro,,8.3,47.020319,7.235453
702,Hagneck,,Hagneck Mm U. M,Switzerland,Hydro,,12.7,47.1324032425,7.24411010742
703,Goule,,Goule,Switzerland,Hydro,,5.87,47.1528362264,6.99691772461
704,Spiez,,Spiez,Switzerland,Hydro,,18.66,46.684733,7.691108
705,Laufenburg,,Laufenburg,Switzerland,Hydro,,110.0,47.3704539198,7.81242841499
706,Heggmoen,,Heggmoen,Norway,Hydro,,12.0,67.28,14.40501
707,Boinersa,,Boinersa,Spain,Oil,,26.775,42.65,-8.9
708,Viulfoss,,Viulfoss,Norway,Hydro,,13.0,60.1166667,10.2666667
709,Gamlebrofoss,,Gamlebrofoss,Norway,Hydro,,18.0,59.66858,9.65017
710,Pikerfoss,,Pikerfoss,Norway,Hydro,,18.0,59.85,9.45
711,Hofsfoss,,Hofsfoss,Norway,Hydro,,32.0,60.16804,10.25647
712,Martina ,,Martina,Switzerland,Hydro,,84.0,46.5103528,8.75101465
713,Stendal Bvt,,Stendal,Germany,Natural Gas,,23.814,52.60256705,11.85466085
714,Monzon,,Sales Monzon,Spain,Natural Gas,,14.365,41.9108367214,0.194063186646
715,Alijar,,Alijar,Spain,Wind,,24.0,36.686454,-6.136063
716,Collet Dels Feixos,,Colinete,Spain,Wind,,11.05,41.15,0.9333333
717,Erlangen,,Erlangen Coal,Germany,Coal,,48.6,49.5939215,11.00377105
718,Etzelwerk Altendorf,,Etzelwerk Altendorf,Switzerland,Hydro,,142.44,46.8700754127,9.07981602958
719,Herbrechtingen,,Bio Herbrechtingen,Germany,Waste,,15.7,48.6222129735,10.1760850976
720,Hiltrop,,Hiltrop,Germany,Natural Gas,,44.0,51.48282715,7.2177066
721,Vicedo,,Vicedo,Spain,Wind,,24.6,42.8666667,-8.75
722,Tea,,Tea,Spain,Wind,,48.1,42.2166667,-8.3666667
723,Rioboo,,Rioboo,Spain,Wind,,20.8,42.6333333,-7.95
724,Buio,,Buio,Spain,Wind,,40.3,43.267392,-8.783311
725,Bmhkw Lunen,,Bmk LüNen,Germany,Waste,,20.0,51.61537575,7.52033225
726,Mhkw Offenbach,,MüLlheizkraftwerk Offenbach,Germany,Waste,,11.8,50.0943831,8.7664764
727,Hinterthal Huribach,,Hinterthal HüRibach,Switzerland,Hydro,,4.7,46.976761,8.76499
728,Sahli Glattalp,,Sahli Glattalp,Switzerland,Hydro,,9.3,46.9156824717,8.88424873352
729,Wernisberg,,Wernisberg,Switzerland,Hydro,,20.4,47.011045002,8.64538192749
730,Hinterthal Muota,,Hinterthal Muota,Switzerland,Hydro,,8.8,46.976761,8.76499
731,Stechelberg,,Stechelberg,Switzerland,Hydro,,4.3,46.5431297381,7.90148735046
732,Dallenwil,,Dallenwil,Switzerland,Hydro,,18.24,46.924197,8.387852
733,Obermatt,,Zwingen Obermatt,Switzerland,Hydro,,32.33,46.99738785,8.12304175
734,Isenthal,,Isenthal Bolzbach,Switzerland,Hydro,,12.0,46.881992,8.616111
735,Burglen,,BüRglen UnterschäChen,Switzerland,Hydro,,23.0,47.03977015,8.69879105
736,Arniberg,,Arniberg,Switzerland,Hydro,,13.0,46.771317,8.669632
737,Gurtnellen,,Gurtnellen,Switzerland,Hydro,,6.6,46.740074,8.624676
738,Ganterbrucke,,GanterbrüCke,Switzerland,Hydro,,6.1,46.2964768369,8.05066108704
739,Wolfenschiessen,,Wolfenschiessen,Switzerland,Hydro,,6.7,46.903217,8.394228
740,Oberrickenbach,,Oberrickenbach,Switzerland,Hydro,,8.7,46.88773,8.417277
741,Kaiserstuhl,,Kaiserstuhl,Switzerland,Hydro,,10.3,46.813809,8.17205
742,Lungererseewerk (Unteraa),,Unteraa Lungerersee,Switzerland,Hydro,,54.5,46.833327,8.180646
743,Potsdam Sud,,Potsdam SüD,Germany,Natural Gas,,81.8,52.3998943606,13.062401042
744,Letten,,Letten,Switzerland,Hydro,,5.0,47.3666667,8.55
745,Wettingen,,Wettingen Dotierzentrale,Switzerland,Hydro,,27.45,47.470495,8.31636
746,Tinizong,,Tinizong,Switzerland,Hydro,,76.5,46.582406,9.61732
747,Castasegna,,Castasegna,Switzerland,Hydro,,100.0,46.2556335562,7.75692778793
748,Miro,,Miro,Germany,Oil,,70.0,49.00939505,8.39513495
749,Fertimolina,,Fertimolina,Spain,Natural Gas,,10.749,40.843575,-1.887616
750,Smola Island,,Smola,Norway,Wind,,160.0,63.4,8.0
751,Sublin ,,Sublin,Switzerland,Hydro,,10.61,46.252137,7.011408
752,Las Conchas,,Conchas,Spain,Hydro,,49.38,42.407456473,-7.53164291382
753,Velle,,Velle,Spain,Hydro,,86.48,42.3333333,-7.85
754,Monte Carrio,,Cabrito,Spain,Wind,,31.45,42.660853,-8.112852
755,Muras,,Muras,Spain,Wind,,48.84,43.466846,-7.723832
756,Navazo,,Navazo,Spain,Wind,,49.95,42.249178,-4.198491
757,Monte Treito,,Monte Treito,Spain,Wind,,30.39,42.772994,-8.8444
758,Forgosello,,Forgoselo,Spain,Wind,,24.42,43.426973,-8.067068
759,Plana Gamesa,,Plana,Spain,Wind,,61.5,41.580138,-1.117193
760,Valmediano,,Valdivia,Spain,Wind,,34.0,41.834689,-5.888829
761,Viveiro,,Viveiro,Spain,Wind,,36.55,43.6622836092,-7.59344100952
762,Pedregal Tremuzo ,,Pedregal Tremuzo,Spain,Wind,,44.6,42.776173,-9.060316
763,Conjuro,,Conjuro,Spain,Wind,,34.0,36.750665,-3.517902
764,Carrasquillo,,Carrasquillo,Spain,Wind,,49.3,42.1932980312,-4.29393768311
765,Montejo,,Montejo Bricia,Spain,Wind,,13.6,40.632459,-5.622869
766,Montija,,Montija,Spain,Wind,,30.8,38.9503,-0.652004
767,Malagon Eufer,,Malagon,Spain,Wind,,86.0,39.194082,-3.932529
768,Silvarredonda,,Silvarredonda,Spain,Wind,,16.9,43.200444,-8.872763
769,Pilar,,Pilar,Spain,Wind,,15.0,41.580138,-1.117193
770,Valdepero,,Valdepero,Spain,Wind,,30.0,42.075324,-4.500501
771,Esteban Navarra,,Esteban,Spain,Wind,,66.47,42.6574,-1.702626
772,Monte Redondo Easa,,Monte Redondo,Spain,Wind,,49.5,43.1098812736,-9.03350830078
773,Salas,,Salas,Spain,Hydro,,53.1,41.956095,-7.973959
774,Juan (Es),,Juan,Spain,Hydro,,38.81,40.3618495478,-4.39830780029
775,Castrelo Fenosa,,Castrelo,Spain,Hydro,,135.59,42.2979765602,-8.06696891785
776,Entrepenas,,Entrepenas,Spain,Hydro,,40.8,40.517524,-2.792505
777,Gatun Cidacos,,Gatun,Spain,Wind,,66.0,42.216613,-2.005246
778,Los Peares,,Peares,Spain,Hydro,,199.17,42.4536237092,-7.73336648941
779,Albarellos,,Albarellos,Spain,Hydro,,67.6,42.433318,-8.144306
