id,Name,Fueltype,Technology,Set,Country,Capacity,YearCommissioned,lat,lon,File,projectID
1198,Nuova Lago,Geothermal,,PP,Italy,11.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S09NLVGU
1199,Ordona Valle Scodella,Wind,,PP,Italy,34.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S16ORDNF
1200,Cte Nuce Nord,Other,,PP,Italy,410.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S19APGPP
1201,Pitagora,Wind,,PP,Italy,45.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S18PEPR6
1202,San Marco In Lamis,Wind,,PP,Italy,44.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-0157423E
1203,Fiume Santo 2,Solar,,PP,Italy,29.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-0412771J
1204,Impianto Eolico Di Marineo,Wind,,PP,Italy,22.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S19IEDP1
1205,Dister Cogenerazione,Other,,PP,Italy,34.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S08DCSTV
1206,Parco Eolico Castelnuovo Della Daunia,Wind,,PP,Italy,12.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S16CDDT8
1207,Telessio,Hydro,Pumped Storage,PP,Italy,35.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S01TLSSX
1208,Parco Eolico Di Mazara Del Vallo,Wind,,PP,Italy,48.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S19IEDM7
1209,Pe Le Cannella,Wind,,PP,Italy,96.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S18PELCB
1210,Rea Dalmine,Waste,,PP,Italy,15.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S03RDLMM
1211,Lappago,Hydro,Reservoir,PP,Italy,25.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S04LPPGZ
1212,Pizzone,Hydro,Reservoir,PP,Italy,19.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S14PZZNZ
1213,Gravedona,Hydro,Run-Of-River,PP,Italy,14.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S03GCRV8
1214,Parco Eolico Di Palermo,Wind,,PP,Italy,29.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S19IEDN5
1215,Pai - Polo Ambientale Integrato ,Other,,PP,Italy,15.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-0601951E
1216,Coscile 1S,Hydro,Run-Of-River,PP,Italy,10.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S18C1SCX
1217,Girifalco,Solar,,PP,Italy,14.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-0693963H
1218,Creva,Hydro,Run-Of-River,PP,Italy,11.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S03CRVER
1219,Parco La Rocca,Wind,,PP,Italy,10.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-0608677A
1220,Flumendosa 2,Hydro,Reservoir,PP,Italy,28.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S20F2LMJ
1221,Vado Term.,Other,,PP,Italy,1353.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S07VTDR2
1222,Fattoria Eolica Di Santa Luce,Wind,,PP,Italy,23.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-0117801W
1223,Nurri,Wind,,PP,Italy,22.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S20NMGRF
1224,Venina,Hydro,Run-Of-River,PP,Italy,327.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPITOADDA-1T
1225,Cimena,Hydro,Run-Of-River,PP,Italy,21.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S01CMNI1
1226,Paisco,Hydro,Run-Of-River,PP,Italy,7.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S03PSCI7
1227,Sclafani Bagni 2,Wind,,PP,Italy,12.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S19SBCLB
1228,Vizzini ,Wind,,PP,Italy,25.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-V19MCNLH
1229,Tanagro,Hydro,Run-Of-River,PP,Italy,18.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S15TNGRW
1230,Crotone 2,Bioenergy,,PP,Italy,12.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S18CRTNF
1231,Porto Empedocle C.Le,Other,,PP,Italy,140.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S19PERTR
1232,Nuova Larderello,Geothermal,,PP,Italy,17.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S09NLVR8
1233,Chievo,Hydro,Run-Of-River,PP,Italy,29.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S05CHVIA
1234,Fusina T.,Other,,PP,Italy,871.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S05FTSNK
1235,Montefalcone,Wind,,PP,Italy,16.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S15EMDNH
1236,St. Clair,Hydro,Run-Of-River,PP,Italy,31.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S02SCLRH
1237,Calore,Hydro,Run-Of-River,PP,Italy,9.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S15CLRAF
1238,Ambiente,Bioenergy,,PP,Italy,14.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S09AMBNQ
1239,Impianto Di Generazione Elettrica Da Lignina,Bioenergy,,PP,Italy,14.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-0430053A
1240,Masseria Bizzarro,Wind,,PP,Italy,18.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-0678391N
1241,Quincinetto 2,Hydro,Run-Of-River,PP,Italy,21.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S01QNCNO
1242,Piancastagnaio 3,Geothermal,,PP,Italy,20.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S09PNCNI
1243,Nebrodi Nord,Wind,,PP,Italy,23.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-0303396R
1244,Caneva,Hydro,Run-Of-River,PP,Italy,36.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S06CNVAX
1245,Ricigliano,Wind,,PP,Italy,36.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S15RCGLO
1246,Venaus,Hydro,Reservoir,PP,Italy,230.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S01VNSE6
1247,Parco Eolico Regalbuto,Wind,,PP,Italy,49.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S19PERRV
1248,Grottole 18Mw,Wind,,PP,Italy,18.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S17G1RTP
1249,Greci-Montaguto,Wind,,PP,Italy,14.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S16ICSC8
1250,Volturara,Wind,,PP,Italy,15.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S16IVVP8
1251,Pietragalla Eolico,Wind,,PP,Italy,18.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-0600053E
1252,Cogenerazione Elyo Presso Michelin Cuneo,Natural Gas,,PP,Italy,48.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S01CEGN7
1253,Portotorre,Hydro,Run-Of-River,PP,Italy,11.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S03PRTTC
1254,Ponte Morasco,Hydro,Reservoir,PP,Italy,92.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-PONTE-10
1255,Torviscosa,Other,,PP,Italy,809.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S06TRVC2
1256,Fontana Bianca,Hydro,Reservoir,PP,Italy,10.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S04FBNTR
1257,Ise Piombino Cet3,Other,,PP,Italy,181.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S09IPYPC
1258,San Floro - Caraffa 2,Wind,,PP,Italy,18.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S18SFC22
1259,Guardia,Wind,,PP,Italy,24.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-0561577K
1260,Cordenons,Hydro,Run-Of-River,PP,Italy,11.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S06CRDN8
1261,Furlo,Hydro,Run-Of-River,PP,Italy,13.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S11FRLUF
1262,Montjovet,Hydro,Run-Of-River,PP,Italy,50.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S02MNTJW
1263,Gerosa,Hydro,Run-Of-River,PP,Italy,14.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S11GRSEL
1264,Portoferraio,Other,,PP,Italy,16.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S09PRTF4
1265,Taloro1,Hydro,Pumped Storage,PP,Italy,240.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-T20TLRAJ
1266,Gravina Ne,Wind,,PP,Italy,72.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-0606151L
1267,Orsara,Wind,,PP,Italy,48.0,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",26WIMPI-S16EODN3
