"id","Name","Fueltype","Classification","Country","Capacity","lat","lon","Geoposition","File"
61,"Boden","Hydro","Reservoir","Sweden",78,65.826949,21.694374,"65.826949,21.694374",
62,"Borgadammen","Hydro","Reservoir","Sweden",,64.820893,15.023253,"64.820893,15.023253",
63,"Bullerforsen","Hydro","Reservoir","Sweden",,60.508889,15.436944,"60.508889,15.436944",
64,"Dabbsjö","Hydro","Reservoir","Sweden",26,64.607742,15.465791,"64.607742,15.465791",
65,"Degerforsens","Hydro","Reservoir","Sweden",63,63.684481,17.007345,"63.684481,17.007345",
66,"Edsele","Hydro","Reservoir","Sweden",60,63.356465,16.597823,"63.356465,16.597823",
67,"Eggsjön","Hydro","Reservoir","Sweden",500,,,,
68,"Fagerassjön","Hydro","Reservoir","Sweden",,60.871975,12.884959,"60.871975,12.884959",
69,"Flasjön","Hydro","Reservoir","Sweden",,,,,
70,"Forshuvudforsen","Hydro","Reservoir","Sweden",44,60.535278,15.421944,"60.535278,15.421944",
71,"Frykfors fryken","Hydro","Reservoir","Sweden",,59.363889,13.186111,"59.363889,13.186111",
72,"Gallejaur","Hydro","Reservoir","Sweden",428,65.126453,19.469478,"65.126453,19.469478",
73,"Gammelänge","Hydro","Reservoir","Sweden",78,63.141944,16.161111,"63.141944,16.161111",
74,"Gardiken gardikfors","Hydro","Reservoir","Sweden",60,65.476969,15.856519,"65.476969,15.856519",
75,"Gideabacka","Hydro","Reservoir","Sweden",,63.331136,19.126693,"63.331136,19.126693",
76,"Granfors","Hydro","Reservoir","Sweden",40,,,,
77,"Graninge","Hydro","Reservoir","Sweden",1.2,,,,
78,"Grundfors","Hydro","Reservoir","Sweden",100,64.9687,17.54421,"64.9687,17.54421",
79,"Grundsjöarna","Hydro","Reservoir","Sweden",,,,,
80,"Grytfors","Hydro","Reservoir","Sweden",37,65.295466,19.11352,"65.295466,19.11352",
81,"Hackren","Hydro","Reservoir","Sweden",,63.184389,13.584363,"63.184389,13.584363",
82,"Hällby","Hydro","Reservoir","Sweden",168,63.879154,17.21992,"63.879154,17.21992",
83,"Hällforsens","Hydro","Reservoir","Sweden",22,64.58337,18.69227,"64.58337,18.69227",
84,"Halvfari","Hydro","Reservoir","Sweden",24,62.41656,13.531137,"62.41656,13.531137",
85,"Hammarforsens","Hydro","Reservoir","Sweden",85,63.112909,16.354573,"63.112909,16.354573",
86,"Harrsele","Hydro","Reservoir","Sweden",223,63.822835,20.266337,"63.822835,20.266337",
87,"Hermansboda","Hydro","Reservoir","Sweden",12,62.5418,15.8434,"62.5418,15.8434",
88,"Höljes","Hydro","Reservoir","Sweden",130,60.950833,12.547222,"60.950833,12.547222",
89,"Hölleforsen","Hydro","Reservoir","Sweden",140,62.950833,16.667778,"62.950833,16.667778",
90,"Horkoneryd","Hydro","Reservoir","Sweden",2.1,56.507879,15.141241,"56.507879,15.141241",
91,"Järkvissle","Hydro","Reservoir","Sweden",88,62.80183,16.637707,"62.80183,16.637707",
92,"Järpströmmens","Hydro","Reservoir","Sweden",120,63.344498,13.460305,"63.344498,13.460305",
93,"Juktans","Hydro","Reservoir","Sweden",78,65.292975,17.2233,"65.292975,17.2233",
94,"Karsefors","Hydro","Reservoir","Sweden",31.4,56.501729,13.11362,"56.501729,13.11362",
95,"Kattstrupeforsen","Hydro","Reservoir","Sweden",56,63.326439,14.579856,"63.326439,14.579856",
96,"Kinna","Hydro","Reservoir","Sweden",,57.509323,12.683843,"57.509323,12.683843",
97,"Klavbens","Hydro","Reservoir","Sweden",,56.266873,14.550539,"56.266873,14.550539",
98,"Klinte","Hydro","Reservoir","Sweden",,,,,
99,"Knäred nedre","Hydro","Reservoir","Sweden",,,,,
100,"Knäred Övre","Hydro","Reservoir","Sweden",,,,,
101,"Krangfors","Hydro","Reservoir","Sweden",,,,,
102,"Krokströmmen","Hydro","Reservoir","Sweden",50,65.0233,19.6888,"65.0233,19.6888",
103,"Kvarnsveden","Hydro","Reservoir","Sweden",,,,,
104,"Kvistforsens","Hydro","Reservoir","Sweden",130,64.744883,20.863433,"64.744883,20.863433",
105,"Landafors","Hydro","Reservoir","Sweden",,,,,
106,"Lanforsens","Hydro","Reservoir","Sweden",,60.537344,17.426014,"60.537344,17.426014",
107,"Langbjörn","Hydro","Reservoir","Sweden",100,63.636707,16.797662,"63.636707,16.797662",
108,"Langed","Hydro","Reservoir","Sweden",5.45,58.924253,12.307601,"58.924253,12.307601",
109,"Langhag","Hydro","Reservoir","Sweden",,60.617876,17.431799,"60.617876,17.431799",
110,"Langströmmen","Hydro","Reservoir","Sweden",40,62.106128,14.995905,"62.106128,14.995905",
111,"Laxede","Hydro","Reservoir","Sweden",200,66.312241,20.791905,"66.312241,20.791905",
112,"Leringsforsen","Hydro","Reservoir","Sweden",9,62.590859,16.40657,"62.590859,16.40657",
113,"Letsi","Hydro","Reservoir","Sweden",456,66.501626,20.378115,"66.501626,20.378115",
114,"Lima","Hydro","Reservoir","Sweden",,60.839612,13.409094,"60.839612,13.409094",
115,"Ljusne strömmar","Hydro","Reservoir","Sweden",14.5,,,,
116,"Lofssjön","Hydro","Reservoir","Sweden",,,,,
117,"Lottefors","Hydro","Reservoir","Sweden",13.76,,,,
118,"Lövöns","Hydro","Reservoir","Sweden",,63.747271,15.695559,"63.747271,15.695559",
119,"Matfors","Hydro","Reservoir","Sweden",21,62.291942,17.381985,"62.291942,17.381985",
120,"Midskog","Hydro","Reservoir","Sweden",150,63.242817,15.230605,"63.242817,15.230605",
121,"Oldens krv Övre lilla mjölkvattnet","Hydro","Reservoir","Sweden",,,,,
122,"Mockfjärd","Hydro","Reservoir","Sweden",12,60.501506,14.964287,"60.501506,14.964287",
123,"Moforsens","Hydro","Reservoir","Sweden",139,63.368333,16.988333,"63.368333,16.988333",
124,"Mörsils","Hydro","Reservoir","Sweden",40,63.349754,13.452623,"63.349754,13.452623",
125,"Motala","Hydro","Reservoir","Sweden",3.7,58.560479,15.082435,"58.560479,15.082435",
126,"Näs","Hydro","Reservoir","Sweden",19,60.175947,16.476576,"60.175947,16.476576",
127,"Näverede","Hydro","Reservoir","Sweden",64,63.223555,15.320856,"63.223555,15.320856",
128,"Nissaström","Hydro","Reservoir","Sweden",11.2,56.841854,13.008626,"56.841854,13.008626",
129,"Noppikoski","Hydro","Reservoir","Sweden",10,61.489883,14.709516,"61.489883,14.709516",
130,"Öjeforsen","Hydro","Reservoir","Sweden",27,62.486721,16.067976,"62.486721,16.067976",
131,"Oldens krv Övre oldsjön","Hydro","Reservoir","Sweden",,,,,
132,"Olidan","Hydro","Reservoir","Sweden",220,58.275,12.2725,"58.275,12.2725",
133,"Parki","Hydro","Reservoir","Sweden",20,66.830913,18.97472,"66.830913,18.97472",
134,"Pengfors krv","Hydro","Reservoir","Sweden",51,63.921437,19.667553,"63.921437,19.667553",
135,"Porsi","Hydro","Reservoir","Sweden",280,66.428522,20.648053,"66.428522,20.648053",
136,"Prästforsens krv","Hydro","Reservoir","Sweden",3,60.668611,17.076944,"60.668611,17.076944",
137,"Randi","Hydro","Reservoir","Sweden",86,66.706406,19.516481,"66.706406,19.516481",
138,"Ransaren","Hydro","Reservoir","Sweden",,65.232791,14.975094,"65.232791,14.975094",
139,"Rätans krv","Hydro","Reservoir","Sweden",60,62.480646,14.504099,"62.480646,14.504099",
140,"Rebnisjaure rebnis krv","Hydro","Reservoir","Sweden",64,66.499046,17.107241,"66.499046,17.107241",
141,"Rengard","Hydro","Reservoir","Sweden",36,64.933513,20.046481,"64.933513,20.046481",
142,"Rusfors","Hydro","Reservoir","Sweden",45,64.717559,18.242239,"64.717559,18.242239",
143,"Sädvajaur sädva","Hydro","Reservoir","Sweden",31,66.467003,16.549485,"66.467003,16.549485",
144,"Selsfors","Hydro","Reservoir","Sweden",61,64.221215,20.271177,"64.221215,20.271177",
145,"Sikfors","Hydro","Reservoir","Sweden",40,65.525764,21.183168,"65.525764,21.183168",
146,"Sils","Hydro","Reservoir","Sweden",12,,,,
147,"Skagern – gullspang","Hydro","Reservoir","Sweden",40,58.986325,14.106716,"58.986325,14.106716",
148,"Skallbergssjön","Hydro","Reservoir","Sweden",,,,,
149,"Skallböle","Hydro","Reservoir","Sweden",46,62.364099,16.962161,"62.364099,16.962161",
150,"Skedvi","Hydro","Reservoir","Sweden",38,60.398171,15.808669,"60.398171,15.808669",
151,"Skogaby","Hydro","Reservoir","Sweden",,56.530556,13.183333,"56.530556,13.183333",
152,"Skymnäs","Hydro","Reservoir","Sweden",15.6,,,,
153,"Smedjemorasjön","Hydro","Reservoir","Sweden",,,,,
154,"Solleftea","Hydro","Reservoir","Sweden",62,63.167911,17.277051,"63.167911,17.277051",
155,"Spjutmo","Hydro","Reservoir","Sweden",35,61.083948,14.318083,"61.083948,14.318083",
156,"Stadsforsen","Hydro","Reservoir","Sweden",139,62.990118,16.65472,"62.990118,16.65472",
157,"Stenkullafors","Hydro","Reservoir","Sweden",58,64.29432,17.246873,"64.29432,17.246873",
158,"Stennäs","Hydro","Reservoir","Sweden",7,,,,
