id,CARMA,ESE_and_FIAS,GEO,OPSD,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File
1632,Camarasa,,,,Camarasa,Spain,Hydro,,60.0,41.874859,0.878136,Spain Power Plants Over 10 MW.csv
1633,Terradets,,,,Terradets,Spain,Hydro,,32.5,42.074764,0.916209,Spain Power Plants Over 10 MW.csv
1634,Tabescan superior,,,,Tavascan superior,Spain,Hydro,,120.44,42.621379,1.248929,Spain Power Plants Over 10 MW.csv
1635,Floriano egna,,,,S.floriano,Italy,Hydro,,180.0,46.31691355,11.2725739,Italy Power Plant.csv
1636,Cardano,,,,Cardano,Italy,Hydro,,121.0,46.49128515,11.3708242,Italy Power Plant.csv
1637,Canelles,,,,Canelles,Spain,Hydro,,108.0,41.873141,0.720168,Spain Power Plants Over 10 MW.csv
1638,Virgen belen,,,,Virgen belen,Spain,Wind,,59.04,38.871357,-1.348506,Spain Power Plants Over 10 MW.csv
1639,Cuerda,,,,Cuerda humero,Spain,Wind,,55.44,38.834619,-1.460342,Spain Power Plants Over 10 MW.csv
1640,Isabela eee,,,,Isabela,Spain,Wind,,49.5,38.770561,-2.240443,Spain Power Plants Over 10 MW.csv
1641,Muela tortosilla,,,,E.muela tortosilla,Spain,Wind,,36.96,38.9666667,-1.2166667,Spain Power Plants Over 10 MW.csv
1642,Cerro vicente,,,,Vicente,Spain,Wind,,73.1,38.920876,-1.720184,Spain Power Plants Over 10 MW.csv
1643,Muela eee,,,,Eee,Spain,Wind,,48.86,38.920876,-1.720184,Spain Power Plants Over 10 MW.csv
1644,Villalbesa,,,,Monte vilalbesa,Spain,Wind,,22.2,43.5333333,-7.9333333,Spain Power Plants Over 10 MW.csv
1645,Marban,,,,Monte marban,Spain,Wind,,11.4,43.5333333,-7.9333333,Spain Power Plants Over 10 MW.csv
1646,Da,,,,Monte da serra,Spain,Wind,,14.4,43.5333333,-7.9333333,Spain Power Plants Over 10 MW.csv
1647,Penuca,,,,Penuca,Spain,Wind,,36.3,41.174802,-6.519375,Spain Power Plants Over 10 MW.csv
1648,Bigge,,,,Bigge,Germany,Hydro,,15.4,51.1257512099,7.90221595513,Germany Power Plants (conventional).csv
1649,Schwarza,,,,Schwarza,Germany,Natural Gas,,26.5,50.7186365,11.3367659,Germany Power Plants (conventional).csv
1650,Askerudfoss,,,,Askerudfoss,Norway,Hydro,,15.96,60.1166667,10.2666667,Norway Power Plants (ENTSOE) .csv
1651,Kaggefoss,,,,Kaggefoss,Norway,Hydro,,101.0,59.9333333,10.0,Norway Power Plants (ENTSOE) .csv
1652,Gravfoss,,,,Gravfos,Norway,Hydro,,50.0,59.9333333,10.0,Norway Power Plants (ENTSOE) .csv
1653,Dovikfoss,,,,Dovikfoss,Norway,Hydro,,17.0,59.9333333,10.0,Norway Power Plants (ENTSOE) .csv
1654,Mykstufoss,,,,Mykstufoss,Norway,Hydro,,72.0,59.98431,9.29644,Norway Power Plants (ENTSOE) .csv
1655,Geithusfoss,,,,Geithusfoss,Norway,Hydro,,15.0,59.9333333,10.0,Norway Power Plants (ENTSOE) .csv
1656,Djupdal,,,,Djupdal,Norway,Hydro,,17.0,59.98431,9.29644,Norway Power Plants (ENTSOE) .csv
1657,Kistefoss,,,,Kistefoss,Norway,Hydro,,7.0,60.24143,10.38503,Norway Power Plants (ENTSOE) .csv
1658,Toverud,,,,Toverud,Norway,Hydro,,8.0,60.3666667,10.5666667,Norway Power Plants (ENTSOE) .csv
1659,Hensfoss,,,,Hensfoss,Norway,Hydro,,20.0,60.1166667,10.2666667,Norway Power Plants (ENTSOE) .csv
1660,Klaus,,,,Klaus,Austria,Hydro,,20.0,47.8313654498,14.1571712494,Verbund Power Plant.csv
1661,Rosenau,,,,Rosenau,Austria,Hydro,,34.0,48.4890224103,14.6288108826,Verbund Power Plant.csv
1662,Staning,,,,Staning,Austria,Hydro,,43.2,48.1007252188,14.4568061829,Verbund Power Plant.csv
1663,Pantaleon,,,,St. pantaleon,Austria,Hydro,,52.1,48.0076111279,12.8941726685,Verbund Power Plant.csv
1664,Schonau,,,,Schonau,Austria,Hydro,,30.0,48.394561622,14.7301769257,Verbund Power Plant.csv
1665,Ternberg,,,,Ternberg,Austria,Hydro,,40.4,47.9333333,14.35,Verbund Power Plant.csv
1666,Weyer,,,,Weyer,Austria,Hydro,,37.0,48.1465032749,14.117603302,Verbund Power Plant.csv
1667,Losenstein,,,,Losenstein,Austria,Hydro,,39.4,47.9242798828,14.4367218018,Verbund Power Plant.csv
1668,Garsten ulrich,,,,Garsten st. ulrich,Austria,Hydro,,38.0,47.7222349808,14.327545166,Verbund Power Plant.csv
1669,Grossraming,,,,Großraming,Austria,Hydro,,72.0,47.8833333,14.55,Verbund Power Plant.csv
1670,West,,,,West,Germany,Coal,,236.0,50.10459196,8.667682378,Germany Power Plants (conventional).csv
1671,Augsburg,,,,Upm augsburg,Germany,Natural Gas,,90.0,48.3667354,10.8910152,Germany Power Plants (conventional).csv
1672,Mhkw mainz,,,,Mhkw mainz,Germany,Waste,,15.6,49.9999976,8.2710674,Germany Power Plants (conventional).csv
1673,Malchin envia,,,,Biomasse malchin,Germany,Waste,,10.0,53.7357982,12.77387655,Germany Power Plants (conventional).csv
1674,Robres,,,,Robres,Spain,Wind,,24.0,41.86746,-0.460942,Spain Power Plants Over 10 MW.csv
1675,Tablado,,,,Tablado,Spain,Wind,,19.8,41.71749,-1.810919,Spain Power Plants Over 10 MW.csv
1676,Tardienta,,,,Tardienta,Spain,Wind,,93.7,41.977809,-0.537315,Spain Power Plants Over 10 MW.csv
1677,Urkilla,,,,Elgea urkilla,Spain,Wind,,59.27,43.1,-2.6333333,Spain Power Plants Over 10 MW.csv
1678,Oiz bizkaia,,,,Oiz,Spain,Wind,,25.5,43.1666667,-2.5666667,Spain Power Plants Over 10 MW.csv
1679,Ampliacion yerga,,,,Yerga,Spain,Wind,,73.72,42.180324,-1.750164,Spain Power Plants Over 10 MW.csv
1680,Nuce,,,,Cte nuce nord,Italy,Natural Gas,,514.0,37.11093045,15.2354568,Italy Power Plant.csv
1681,Stendal,,,,Zellstoff stendal gmbh,Germany,Waste,,138.9,52.6750537536,12.0043202986,Germany Power Plants (conventional).csv
1682,Gottingen,,,,Göttingen,Germany,Natural Gas,,18.8,51.53304685,9.9342692,Germany Power Plants (conventional).csv
1683,Ramfoss,,,,Ramfoss,Norway,Hydro,,39.0,59.9333333,10.0,Norway Power Plants (ENTSOE) .csv
1684,Humboldtstrasse,,,,Humboldtstr.,Germany,Natural Gas,,31.0,54.3215022805,10.1360367477,Germany Power Plants (conventional).csv
1685,Hafen munster,,,,Hafen,Germany,Natural Gas,,100.2,51.95017697,7.62691589215,Germany Power Plants (conventional).csv
1686,Schwerin,,,,Schwerin süd,Germany,Natural Gas,,69.6,53.6291004241,11.4139839694,Germany Power Plants (conventional).csv
1687,Lankow,,,,Schwerin lankow,Germany,Natural Gas,,23.9,53.6291004241,11.4139839694,Germany Power Plants (conventional).csv
1688,Bhkw obere viehweide,,,,Bhkw obere viehweide,Germany,Natural Gas,,13.4,48.5231376958,9.05288624543,Germany Power Plants (conventional).csv
1689,Bjolvo,,,,Bjolvo,Norway,Hydro,,153.2,60.39299,5.32415,Norway Power Plants (ENTSOE) .csv
1690,Gresslifoss,,,,Gresslifoss,Norway,Hydro,,26.0,63.0833333,11.5,Norway Power Plants (ENTSOE) .csv
1691,Nyhamna,,,,Rka nyhamna,Norway,Natural Gas,,253.0,62.85,6.9666667,Norway Power Plants (ENTSOE) .csv
1692,Maxau,,,,Stora enso maxau,Germany,Waste,,89.1,49.00939505,8.39513495,Germany Power Plants (conventional).csv
1693,Bjorndalselva,,,,Bjorndalselva,Norway,Hydro,,6.0,61.5166667,6.25,Norway Power Plants (ENTSOE) .csv
1694,Ovre svultingen,,,,Ovre svultingen,Norway,Hydro,,5.0,61.22036,6.07494,Norway Power Plants (ENTSOE) .csv
1695,Hamm mva,,,,Mva hamm,Germany,Waste,,18.04,51.6709764582,7.82128772944,Germany Power Plants (conventional).csv
1696,Paks,,,,Paks,Hungary,Nuclear,,2000.0,46.5725,18.8541666667,EU Nuclear Power.csv
1697,Rugenberger damm,,,,Mvr müllverwertung rugenberger damm gmbh & co. kg,Germany,Waste,,29.0,53.5501707,10.000327,Germany Power Plants (conventional).csv
1698,Trea leuna,,,,Trea leuna,Germany,Waste,,33.55,51.32001525,12.0180874,Germany Power Plants (conventional).csv
1699,Konigs wusterhausen mvv,,,,Bmkw königs wusterhausen,Germany,Waste,,20.0,52.3004310787,13.6287210674,Germany Power Plants (conventional).csv
1700,Bmkw mannheim,,,,Bmkw mannheim,Germany,Waste,,20.0,49.48896215,8.4659791,Germany Power Plants (conventional).csv
1701,Mhkw mannheim,,,,Mannheim,Germany,Waste,,103.9,49.48896215,8.4659791,Germany Power Plants (conventional).csv
1702,Sandreuth,,,,Sandreuth,Germany,Natural Gas,,150.0,49.45082515,11.0728154,Germany Power Plants (conventional).csv
1703,Bremen hafen,,,,Hafen,Germany,Waste,,33.0,53.0754876397,8.80746909504,Germany Power Plants (conventional).csv
1704,Erfurt ost,,,,Erfurt ost,Germany,Natural Gas,,109.1,50.99751221,11.03444396,Germany Power Plants (conventional).csv
1705,Tafjord,,,,Tafjord,Norway,Hydro,,319.0,62.0833333,5.8333333,Norway Power Plants (ENTSOE) .csv
1706,Alburejos,,,,Alburejos,Spain,Wind,,10.0,36.456948,-5.927173,Spain Power Plants Over 10 MW.csv
1707,Pico collalbas,,,,Pico collalbas,Spain,Wind,,30.0,39.8666667,-1.6333333,Spain Power Plants Over 10 MW.csv
1708,Klarsee,,,,Bioenergie park klarsee,Germany,Waste,,20.0,53.32149365,14.25708565,Germany Power Plants (conventional).csv
1709,Neubrandenburg gud,,,,Gud neubrandenburg,Germany,Natural Gas,,75.0,53.559469325,13.278078235,Germany Power Plants (conventional).csv
1710,Mynydd clogau,,,,Mynydd clogau,United Kingdom,Wind,,14.45,52.40473915,-3.51946495,UK Power Plant.csv
1711,Ardrossan,,,,Ardrossan extension,United Kingdom,Wind,,30.0,56.2181465375,-4.46032129771,UK Power Plant.csv
1712,Dalswinton,,,,Dalswinton,United Kingdom,Wind,,30.0,55.9686188511,-3.89174836291,UK Power Plant.csv
1713,Lauta,,,,Thermische abfallbehandlung lauta gmbh & co. ohg,Germany,Waste,,22.0,51.46085365,14.0808517,Germany Power Plants (conventional).csv
1714,Smavatna,,,,Smavatna,Norway,Hydro,,23.0,69.9333333,21.7166667,Norway Power Plants (ENTSOE) .csv
