name,lat,lon
Tunnsjofoss Power Plant,60.47202399999999,8.468945999999999
S.valburga Power Plant,45.0715127,9.8701325
Telessio Power Plant,41.87194,12.56738
Vedeld Power Plant,60.47202399999999,8.468945999999999
Vessingfoss Power Plant,60.47202399999999,8.468945999999999
Vizzini Power Plant,37.1613188,14.7488678
Volturara Power Plant,40.8802445,14.9180629
Diesel generator solar replacement Power Plant,46.227638,2.213749
A.i.e. fabricantes quesos Power Plant,40.46366700000001,-3.74922
A.padilla Power Plant,37.2300993,-3.0679614
Abajo Power Plant,37.2300993,-3.0679614
Abaloz Power Plant,37.2300993,-3.0679614
Abaran Power Plant,38.2040853,-1.4012039
Abengoa servicios urbanos Power Plant,40.46366700000001,-3.74922
Ablaneda Power Plant,43.375502,-6.2598328
Abocador pedret marza Power Plant,42.3085262,3.0726468
Acabados baneres Power Plant,38.7153272,-0.6595184
Accura gava alpha Power Plant,41.267816,2.022635
Aceca Power Plant,39.9429825,-3.8547105
Aceites marpoles Power Plant,37.2300993,-3.0679614
Acequia cinco villas Power Plant,42.1516737,-1.135302
Acera vega Power Plant,37.2300993,-3.0679614
Aceria Power Plant,37.2300993,-3.0679614
Acuario espai salut Power Plant,40.46366700000001,-3.74922
Aeropuerto sondika Power Plant,43.302494,-2.911116
Aglomerados ecar Power Plant,37.2300993,-3.0679614
Agozpe Power Plant,37.2300993,-3.0679614
Agralco s. coop. Power Plant,42.66351299999999,-2.021108
Agro sevilla Power Plant,37.4065429,-5.9304792
Agroaldea s.l Power Plant,37.2300993,-3.0679614
Agropor Power Plant,37.2300993,-3.0679614
Agueras Power Plant,43.1984501,-6.0017425
Aigues lleida Power Plant,38.5159556,-0.3654204
Aittaluoto Power Plant,61.4885829,21.8106681
Aitzetarte Power Plant,37.2300993,-3.0679614
Aizpurutxo Power Plant,37.2300993,-3.0679614
Akular argi Power Plant,40.46366700000001,-3.74922
Alabe cartobox Power Plant,40.46366700000001,-3.74922
Alabe foret Power Plant,37.2300993,-3.0679614
Alavesa Power Plant,42.5420793,-2.5594214
Albaida recursos naturales medio ambiente Power Plant,40.46366700000001,-3.74922
Albares Power Plant,40.3477596,-2.886661
Albarizas Power Plant,37.2300993,-3.0679614
Alberdikoa Power Plant,37.2300993,-3.0679614
Albertia etxea Power Plant,61.23592949999999,21.4347339
Alcala henares Power Plant,40.4819791,-3.3635421
Alcala villalta Power Plant,37.2300993,-3.0679614
Alcalaina Power Plant,37.2300993,-3.0679614
Alcarras Power Plant,41.1925362,0.5693414
Alcazar juan Power Plant,40.46366700000001,-3.74922
Alcoholera puebla Power Plant,37.2300993,-3.0679614
Alcozar Power Plant,41.6184046,-3.3247266
Aldebaran guadalquivir Power Plant,37.4691473,-4.572951499999999
Alfages Power Plant,37.2300993,-3.0679614
Algar mesa Power Plant,37.2300993,-3.0679614
Algodonales Power Plant,37.561078,-5.331544
Alguaire Power Plant,41.7284702,0.5434913
Alier Power Plant,37.2300993,-3.0679614
Aliguer Power Plant,37.2300993,-3.0679614
Alitrasa Power Plant,37.2300993,-3.0679614
Alkiza Power Plant,43.1725926,-2.1091283
Allarluz Power Plant,37.2300993,-3.0679614
Almacellas Power Plant,41.1925362,0.5693414
Almacelles Power Plant,41.1925362,0.5693414
Almandoz Power Plant,43.0910944,-1.6053686
Almazan Power Plant,41.4859291,-2.5331845
Almenar Power Plant,41.1925362,0.5693414
Almenara Power Plant,39.753449,-0.2232937
Almiberia Power Plant,37.2300993,-3.0679614
Almofrei Power Plant,42.4601702,-8.5007694
Almudever rosello hermanos Power Plant,37.2300993,-3.0679614
Alonso Power Plant,37.2300993,-3.0679614
Altzola Power Plant,43.4332346,-2.8727045
Alvaro espuny Power Plant,37.2300993,-3.0679614
Am. dotation du kembs Power Plant,46.818188,8.227511999999999
Ameraun Power Plant,37.2300993,-3.0679614
Ametlla merola Power Plant,37.2300993,-3.0679614
Andia lacteos Power Plant,43.486083,-6.8320851
Andion Power Plant,43.1512479,-7.364654499999999
Andres sanchez plaza Power Plant,40.46366700000001,-3.74922
Androndegui Power Plant,37.2300993,-3.0679614
Angeles Power Plant,37.2300993,-3.0679614
Angles Power Plant,37.2300993,-3.0679614
Angulo general quesera Power Plant,40.46366700000001,-3.74922
Anllones Power Plant,37.2300993,-3.0679614
Anoia Power Plant,41.6305499,1.5596117
Antella escalona Power Plant,39.0806086,-0.5919029
Antonana Power Plant,42.6933158,-2.3964827
Aprovechamiento hidroelectrico rio barra Power Plant,40.46366700000001,-3.74922
Aprovechamiento hidroelectrico rio nela Power Plant,42.8978508,-3.5676688
Aracena Power Plant,37.4178642,-6.2770557
Aragosa Power Plant,40.3477596,-2.886661
Aranaz Power Plant,43.1962491,-1.7252937
Aranda Power Plant,37.2300993,-3.0679614
Arboleda Power Plant,37.2300993,-3.0679614
Archena Power Plant,38.11677350000001,-1.3011431
Arcilla blanc Power Plant,37.2300993,-3.0679614
Arcillas atomizadas Power Plant,39.9732944,-0.2339869
Aremusa Power Plant,37.2300993,-3.0679614
Arenas gravas Power Plant,37.2300993,-3.0679614
Arenas munorredondo Power Plant,37.2300993,-3.0679614
Arenillas Power Plant,41.3467154,-2.8458672
Arenys emporda Power Plant,42.168991,2.9559989
Arenzana Power Plant,42.3849819,-2.7220024
Argal Power Plant,37.2300993,-3.0679614
Arlanzon Power Plant,42.3227938,-3.4580391
Arlas Power Plant,37.2300993,-3.0679614
Arlucea Power Plant,42.7273988,-2.543628
Armaurri Power Plant,37.2300993,-3.0679614
Armonio ingenieros Power Plant,40.46366700000001,-3.74922
Arnau vilanova Power Plant,41.6265651,0.613333
Arquillos Power Plant,38.1810037,-3.428383
Arrambide Power Plant,37.2300993,-3.0679614
Arroces aragon Power Plant,41.5976275,-0.9056623
Arrollandieta Power Plant,37.2300993,-3.0679614
Arroyo pozos Power Plant,37.2300993,-3.0679614
Artabra ampliada potencia Power Plant,40.46366700000001,-3.74922
Artesiaga Power Plant,40.46366700000001,-3.74922
Artigas Power Plant,37.2300993,-3.0679614
Asfaltos chova Power Plant,37.2300993,-3.0679614
Astigarraga kit line Power Plant,43.280929,-1.9484098
Athenea Power Plant,37.2300993,-3.0679614
Atlantic copper. s.l.u. Power Plant,37.2277657,-6.9496893
Atomix Power Plant,40.9510612,0.8662462999999999
Atomizadas alcora amizalsa Power Plant,37.2300993,-3.0679614
Atomizadora Power Plant,37.2300993,-3.0679614
Atreneste Power Plant,37.2300993,-3.0679614
Augusto Power Plant,37.2300993,-3.0679614
Aurecan Power Plant,37.2300993,-3.0679614
Aurtiz Power Plant,37.2300993,-3.0679614
Ausin Power Plant,37.2300993,-3.0679614
Autopromocion Power Plant,37.2300993,-3.0679614
Auxiliar textil riba Power Plant,40.46366700000001,-3.74922
Avicosan cornella alpha Power Plant,41.3476149,2.0881172
Ayuntamiento guardo Power Plant,42.7888358,-4.8418721
Ayuntamiento sada Power Plant,37.2300993,-3.0679614
Azanon Power Plant,40.46366700000001,-3.74922
Azcue cia Power Plant,37.2300993,-3.0679614
Azucarera duero Power Plant,37.2300993,-3.0679614
Azucarera guadalete Power Plant,36.76736,-5.7745863
Azucarera jedula Power Plant,36.7251199,-5.9286025
Azucarera leopoldo Power Plant,37.2300993,-3.0679614
Azucarera montero Power Plant,37.2300993,-3.0679614
Azulejera tecnica Power Plant,37.2300993,-3.0679614
Azulejos pavimentos Power Plant,37.2300993,-3.0679614
Azulejos vives Power Plant,40.0679169,-0.1973369
Azulindus marti Power Plant,39.9699844,-0.2458741
Bachwinkl Power Plant,47.516231,14.550072
Badaran Power Plant,42.3681405,-2.8091095
Badenes Power Plant,41.419238,2.2268169
Badia Power Plant,37.2300993,-3.0679614
Badiolegui Power Plant,37.2300993,-3.0679614
Baga Power Plant,42.25262,1.861711
Baides Power Plant,40.3477596,-2.886661
Bajo bidasoa Power Plant,43.3344662,-1.8123324
Balet vendrel Power Plant,40.46366700000001,-3.74922
Balmaseda Power Plant,43.2643288,-2.9342607
Balneario archena Power Plant,38.11677350000001,-1.3011431
Balsareny Power Plant,41.86345619999999,1.8745219
Baltanas Power Plant,41.9380045,-4.2461531
Bamipal Power Plant,37.2300993,-3.0679614
Barbellido Power Plant,40.3284781,-5.2292825
Barbens Power Plant,40.9510612,0.8662462999999999
Barcena besaya Power Plant,43.1197796,-4.0470712
Barco Power Plant,37.2300993,-3.0679614
Barranc berasti Power Plant,42.4982561,1.0586179
Barrasa Power Plant,43.1018511,-3.3206352
Barreiro Power Plant,37.2300993,-3.0679614
Barrena berri Power Plant,37.2300993,-3.0679614
Barri fluvia Power Plant,40.46366700000001,-3.74922
Barrosa Power Plant,37.2300993,-3.0679614
Bartolome Power Plant,37.2300993,-3.0679614
Batanes Power Plant,37.2300993,-3.0679614
Batanes ib Power Plant,37.2300993,-3.0679614
Becosa bujalance Power Plant,37.8932938,-4.3783555
Becosa cabra Power Plant,37.2300993,-3.0679614
Becosa carmona Power Plant,37.471274,-5.6418214
Becosa fuente piedra Power Plant,37.1341608,-4.7309865
Becosa genil Power Plant,37.41775700000001,-4.329799299999999
Becosa villa rio Power Plant,40.46366700000001,-3.74922
Befesa valorizacion azufre s.l.u. Power Plant,43.358012,-3.0512809
Beko errota Power Plant,43.3538082,-1.8117525
