id,CARMA,GEO,OPSD,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File
1966,Teverola set,,,Centrale di teverola,Italy,Natural Gas,,400.0,41.00264725,14.21771445,Italy Power Plant.csv
1967,Elberfeld,,,Elberfeld,Germany,Coal,,142.0,51.256075255,7.1490994645,Germany Power Plants (conventional).csv
1968,Barmen,,,Barmen,Germany,Natural Gas,,198.5,51.26534235,7.18068535,Germany Power Plants (conventional).csv
1969,Friedensbrucke,,,Heizkraftwerke an der friedensbrücke,Germany,Natural Gas,,122.0,49.7901139,9.93453855,Germany Power Plants (conventional).csv
1970,Lynemouth,,,Lynemouth,United Kingdom,Coal,,420.0,50.7640502845,-1.17138422766,UK Power Plant.csv
1971,Carracha,,,Carracha,Spain,Wind,,99.0,41.580138,-1.117193,Spain Power Plants Over 10 MW.csv
1972,Camporedondo,,,Camporredondo,Spain,Hydro,,11.25,42.826109,-4.846262,Spain Power Plants Over 10 MW.csv
1973,Xerta,,,Xerta,Spain,Hydro,,18.0,40.9,0.5,Spain Power Plants Over 10 MW.csv
1974,Windy standard,,,Windy standard,United Kingdom,Wind,,22.0,55.9995112409,-4.18863346533,UK Power Plant.csv
1975,Beinn ghlas,,,Beinn ghlas,United Kingdom,Wind,,8.5,56.6074592866,-4.676664293,UK Power Plant.csv
1976,Little cheyne court,,,Little cheyne court,United Kingdom,Wind,,60.0,51.1928723276,-0.09750392541,UK Power Plant.csv
1977,Lindhurst mansfield,,,Lindhurst,United Kingdom,Wind,,10.0,52.9577014999,-0.895173278935,UK Power Plant.csv
1978,Inesco,,,Inesco wkk,Belgium,Natural Gas,,138.0,51.2197872987,4.32663917542,Belgium Power Plant.csv
1979,Enkirch,,,Enkirch,Germany,Hydro,,18.4,49.983203,7.12147015,Germany Power Plants (conventional).csv
1980,Detzem,,,Detzem,Germany,Hydro,,24.0,49.8146868,6.8452726,Germany Power Plants (conventional).csv
1981,Muel,,,Muel,Spain,Wind,,16.2,41.466328,-1.085029,Spain Power Plants Over 10 MW.csv
1982,Plana balsa,,,Plana balsa,Spain,Wind,,24.0,41.555754,-0.960134,Spain Power Plants Over 10 MW.csv
1983,Klinikum hedeilberg,,,Kwkk heidelberg,Germany,Natural Gas,,14.481,49.408518249,8.69275518085,Germany Power Plants (conventional).csv
1984,Schwammenauel,,,Schwammenauel,Germany,Hydro,,14.35,50.64221115,6.4632873,Germany Power Plants (conventional).csv
1985,Bancal,,,Bancal,Spain,Wind,,22.0,36.01393,-5.606949,Spain Power Plants Over 10 MW.csv
1986,Taff ely,,,Taff ely,United Kingdom,Wind,,10.0,51.9474571268,-3.54051746333,UK Power Plant.csv
1987,Labrados,,,Labrados,Spain,Wind,,24.0,41.555754,-0.960134,Spain Power Plants Over 10 MW.csv
1988,Mhkw karnap,,,Karnap,Germany,Waste,,43.48,51.4535437,7.0140481,Germany Power Plants (conventional).csv
1989,Wintrich,,,Wintrich,Germany,Hydro,,20.0,49.8831465,6.9509332,Germany Power Plants (conventional).csv
1990,Plana maria,,,Plana maria,Spain,Wind,,24.0,41.538796,-0.996151,Spain Power Plants Over 10 MW.csv
1991,Cwm dyli,,,Cwm dyli,United Kingdom,Hydro,,10.0,52.6524068438,-3.92061334575,UK Power Plant.csv
1992,Great yarmouth,,,Great yarmouth,United Kingdom,Natural Gas,,420.0,52.4098017,0.63438420815,UK Power Plant.csv
1993,Lambrigg,,,Lambrigg,United Kingdom,Wind,,7.0,53.5185524008,-1.8852862364,UK Power Plant.csv
1994,Little barford,,,Little barford,United Kingdom,Natural Gas,,737.0,52.2196887,-0.36500454185,UK Power Plant.csv
1995,Carno,,,Carno,United Kingdom,Wind,,34.0,52.4263565243,-3.63718912318,UK Power Plant.csv
1996,Serrig,,,Serrig,Germany,Hydro,,12.1,49.5611006285,6.55310260331,Germany Power Plants (conventional).csv
1997,Rio gallego,,,Rio gallego unificado,Spain,Wind,,87.06,41.654445072,-0.849380493164,Spain Power Plants Over 10 MW.csv
1998,Llyn alaw,,,Llyn alaw,United Kingdom,Wind,,20.4,52.8231141703,-4.08839514075,UK Power Plant.csv
1999,Lehmen,,,Lehmen,Germany,Hydro,,24.0,50.28363595,7.4520115,Germany Power Plants (conventional).csv
2000,Bochum,,,Bochum,Germany,Natural Gas,,21.0,51.48282715,7.2177066,Germany Power Plants (conventional).csv
2001,Grisel,,,Ciesma grisel ampl. mw rd,Spain,Wind,,16.5,41.871093,-1.727942,Spain Power Plants Over 10 MW.csv
2002,Heimbach,,,Heimbach,Germany,Hydro,,16.0,50.6338778,6.47995395,Germany Power Plants (conventional).csv
2003,Trier,,,Trier,Germany,Hydro,,18.8,49.7576366768,6.64176743821,Germany Power Plants (conventional).csv
2004,Sundsfjord,,,Sundsfjord,Norway,Hydro,,128.0,67.1166667,14.3,Norway Power Plants (ENTSOE) .csv
2005,Langvann,,,Langvann,Norway,Hydro,,7.0,68.3333333,16.3666667,Norway Power Plants (ENTSOE) .csv
