id,CARMA,GEO,OPSD,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File
435,,,Hospental,Hospental,Switzerland,Hydro,Run-Of-River,2.0,46.6205638209,8.56904462908,"BFE, Switzerland Power Plant.csv"
436,,,Realp,Realp,Switzerland,Hydro,Run-Of-River,0.9,46.5993455879,8.50229746755,"BFE, Switzerland Power Plant.csv"
437,,,Oberalp,Oberalp,Switzerland,Hydro,Run-Of-River,2.9,46.6329580099,8.60678648212,"BFE, Switzerland Power Plant.csv"
438,,,Göschenen unterdorf,Göschenen unterdorf,Switzerland,Hydro,Run-Of-River,1.62,46.6678191535,8.58467035968,"BFE, Switzerland Power Plant.csv"
439,,,Amsteg,Amsteg dotierzentrale,Switzerland,Hydro,Run-Of-River,0.72,46.7151423238,8.61105066077,"BFE, Switzerland Power Plant.csv"
440,,,Stäubenwald,Stäubenwald,Switzerland,Hydro,Run-Of-River,0.31,46.7281811232,8.62036146626,"BFE, Switzerland Power Plant.csv"
441,,,Äsch,Äsch,Switzerland,Hydro,Run-Of-River,0.52,46.8652358009,8.81028683203,"BFE, Switzerland Power Plant.csv"
442,,,Bürglen loreto,Bürglen loreto,Switzerland,Hydro,Run-Of-River,1.5,46.8765292426,8.6633716678,"BFE, Switzerland Power Plant.csv"
443,,,Kleintal isenthal,Kleintal isenthal,Switzerland,Hydro,Run-Of-River,1.18,46.9100429809,8.56226516908,"BFE, Switzerland Power Plant.csv"
444,,,Ruosalp,Sahli ruosalp,Switzerland,Hydro,Run-Of-River,4.7,46.9176188126,8.84549886362,"BFE, Switzerland Power Plant.csv"
445,,,Ibach,Ibach,Switzerland,Hydro,Run-Of-River,0.32,47.0071473786,8.64715120305,"BFE, Switzerland Power Plant.csv"
446,,,Ingenbohl,Ingenbohl,Switzerland,Hydro,Run-Of-River,0.6,47.0046337809,8.6119820992,"BFE, Switzerland Power Plant.csv"
447,,,Sustli,Sustli,Switzerland,Hydro,Run-Of-River,1.63,46.963776447,8.48336356408,"BFE, Switzerland Power Plant.csv"
448,,,Unteraa melchaa,Unteraa melchaa,Switzerland,Hydro,Reservoir,12.0,46.8214351941,8.1744623486,"BFE, Switzerland Power Plant.csv"
449,,,Wisserlen,Wisserlen,Switzerland,Hydro,Run-Of-River,1.15,46.9102736664,8.29644423422,"BFE, Switzerland Power Plant.csv"
450,,,Eichi,"Eichi, alpnach",Switzerland,Hydro,Run-Of-River,2.4,46.9407431769,8.28786773153,"BFE, Switzerland Power Plant.csv"
451,,,Rotzloch,Rotzloch,Switzerland,Hydro,Run-Of-River,0.3,46.9648831886,8.33108666537,"BFE, Switzerland Power Plant.csv"
452,,,Mühlenplatz,Mühlenplatz,Switzerland,Hydro,Run-Of-River,0.93,47.0517337725,8.30199665485,"BFE, Switzerland Power Plant.csv"
453,,,Wolhusen geistlich,Wolhusen geistlich,Switzerland,Hydro,Run-Of-River,0.33,47.0550001861,8.07763365713,"BFE, Switzerland Power Plant.csv"
454,,,Malters ettisbühl,Ettisbühl,Switzerland,Hydro,Run-Of-River,0.87,47.0382855313,8.16559322075,"BFE, Switzerland Power Plant.csv"
455,,,Stollen,Stollen,Switzerland,Hydro,Run-Of-River,0.71,47.0337616233,8.23723761716,"BFE, Switzerland Power Plant.csv"
456,,,Thorenberg,Thorenberg,Switzerland,Hydro,Run-Of-River,0.79,47.0525764602,8.24804704827,"BFE, Switzerland Power Plant.csv"
457,,,Emmenweid,Emmenweid,Switzerland,Hydro,Run-Of-River,1.08,47.0670379793,8.26366866258,"BFE, Switzerland Power Plant.csv"
458,,,Rathausen,Rathausen,Switzerland,Hydro,Run-Of-River,2.1,47.0817753951,8.3143325152,"BFE, Switzerland Power Plant.csv"
459,,,Innere spinnerei,Innere spinnerei,Switzerland,Hydro,Run-Of-River,0.45,47.1403291209,8.57250348397,"BFE, Switzerland Power Plant.csv"
460,,,"Wkw neuägeri, gmde menzingen",Neuägeri,Switzerland,Hydro,Run-Of-River,0.34,47.1528364463,8.56301002572,"BFE, Switzerland Power Plant.csv"
461,,,Lorzentobel,Lorzentobel,Switzerland,Hydro,Run-Of-River,5.74,47.1826928598,8.55158504441,"BFE, Switzerland Power Plant.csv"
462,,,Untermühle,"Untermühle, cham",Switzerland,Hydro,Run-Of-River,0.6,47.1964928952,8.44330123323,"BFE, Switzerland Power Plant.csv"
463,,,Hagendorn,Hagendorn,Switzerland,Hydro,Run-Of-River,0.58,47.2016699737,8.43759101386,"BFE, Switzerland Power Plant.csv"
464,,,Bruggmühle,Bruggmühle,Switzerland,Hydro,Run-Of-River,0.54,47.3497309812,8.33924607379,"BFE, Switzerland Power Plant.csv"
465,,,Windisch,Windisch,Switzerland,Hydro,Run-Of-River,1.59,47.4813098091,8.23042079077,"BFE, Switzerland Power Plant.csv"
466,,,Tierfehd umwälzwerk,Tierfehd umwälzwerk,Switzerland,Hydro,Pumped Storage,140.0,47.1599531901,8.28638642113,"BFE, Switzerland Power Plant.csv"
467,,,Linthkraft stiftung,Linthkraft stiftung,Switzerland,Hydro,Run-Of-River,0.5,46.9200748442,8.99630573219,"BFE, Switzerland Power Plant.csv"
468,,,"Brummbach, braunwald","Brummbach, braunwald",Switzerland,Hydro,Run-Of-River,0.93,46.9386081948,8.98305061474,"BFE, Switzerland Power Plant.csv"
469,,,Diesbach linth,Diesbach linth,Switzerland,Hydro,Run-Of-River,0.93,46.9511277567,9.02808233474,"BFE, Switzerland Power Plant.csv"
470,,,Luchsingen,Luchsingen,Switzerland,Hydro,Run-Of-River,3.5,46.9660497748,9.0354895251,"BFE, Switzerland Power Plant.csv"
471,,,Leuggelbach,Leuggelbach,Switzerland,Hydro,Run-Of-River,1.0,46.9774012894,9.04726356888,"BFE, Switzerland Power Plant.csv"
472,,,Haslen,Haslen,Switzerland,Hydro,Run-Of-River,0.92,46.9838748007,9.06034155135,"BFE, Switzerland Power Plant.csv"
473,,,Schwanden f.blumer,Schwanden f.blumer,Switzerland,Hydro,Run-Of-River,0.9,46.9937940839,9.07773551203,"BFE, Switzerland Power Plant.csv"
474,,,Empächli,Empächli,Switzerland,Hydro,Run-Of-River,0.33,46.9223429911,9.15841990058,"BFE, Switzerland Power Plant.csv"
475,,,Krauchbachwerk,Krauchbach,Switzerland,Hydro,Run-Of-River,0.64,46.9561528371,9.15976534811,"BFE, Switzerland Power Plant.csv"
476,,,"Engi, hinterdorf sernf","Engi, hinterdorf sernf",Switzerland,Hydro,Run-Of-River,0.53,46.9744263563,9.159168101,"BFE, Switzerland Power Plant.csv"
477,,,Engi,"Engi, vorderdorf mühlebach",Switzerland,Hydro,Run-Of-River,3.75,46.9850426515,9.15319754055,"BFE, Switzerland Power Plant.csv"
478,,,Schwanden gemeinde,Schwanden gemeinde,Switzerland,Hydro,Run-Of-River,1.8,46.9956406573,9.08699685101,"BFE, Switzerland Power Plant.csv"
479,,,Schwanden sne,Schwanden sne,Switzerland,Hydro,Run-Of-River,0.5,46.994725001,9.08184034492,"BFE, Switzerland Power Plant.csv"
480,,,Mühlefuhr,Mühlefuhr,Switzerland,Hydro,Run-Of-River,0.82,47.0265624558,9.08268411153,"BFE, Switzerland Power Plant.csv"
481,,,Walzmühle,Walzmühle,Switzerland,Hydro,Run-Of-River,0.32,47.0493657979,9.067192771,"BFE, Switzerland Power Plant.csv"
482,,,"Elggiskraft, netstal","Elggiskraft, netstal",Switzerland,Hydro,Run-Of-River,0.8,47.063765377,9.0605203259,"BFE, Switzerland Power Plant.csv"
483,,,"Linthkraft, netstal","Linthkraft, netstal",Switzerland,Hydro,Run-Of-River,1.42,47.0737495147,9.06069079857,"BFE, Switzerland Power Plant.csv"
484,,,Mels tobel,Tobel,Switzerland,Hydro,Run-Of-River,0.99,47.0382556599,9.3927198108,"BFE, Switzerland Power Plant.csv"
485,,,Mels kw stoffel,Mels stoffel,Switzerland,Hydro,Run-Of-River,3.3,47.0432633834,9.41554241732,"BFE, Switzerland Power Plant.csv"
486,,,Mels halde,Mels halde,Switzerland,Hydro,Run-Of-River,0.55,47.0445449435,9.4142733533,"BFE, Switzerland Power Plant.csv"
487,,,Flums pravizin Äuli,Pravizin Äuli,Switzerland,Hydro,Run-Of-River,0.7,47.0862894131,9.33453362605,"BFE, Switzerland Power Plant.csv"
488,,,Flums felsen,Felsen,Switzerland,Hydro,Run-Of-River,1.45,47.0880841876,9.34026178488,"BFE, Switzerland Power Plant.csv"
489,,,Flums neues sägengüetli,Neues sägengüetli,Switzerland,Hydro,Run-Of-River,1.19,47.0886280848,9.34001761784,"BFE, Switzerland Power Plant.csv"
490,,,Töbeli,Töbeli,Switzerland,Hydro,Run-Of-River,0.6,47.1248957041,9.32865044802,"BFE, Switzerland Power Plant.csv"
491,,,Talbach,Talbach,Switzerland,Hydro,Run-Of-River,0.75,47.1105410978,9.27055175592,"BFE, Switzerland Power Plant.csv"
492,,,Oberterzen,Oberterzen büeli,Switzerland,Hydro,Run-Of-River,1.16,47.1005471458,9.25966883654,"BFE, Switzerland Power Plant.csv"
493,,,Murg merlen,Merlen,Switzerland,Hydro,Reservoir,0.41,47.0729029373,9.19762330651,"BFE, Switzerland Power Plant.csv"
494,,,Murg gödis,Gödis,Switzerland,Hydro,Run-Of-River,2.8,47.1084484412,9.21473631193,"BFE, Switzerland Power Plant.csv"
495,,,Muslen,Muslen,Switzerland,Hydro,Run-Of-River,1.61,47.1380756597,9.13555309657,"BFE, Switzerland Power Plant.csv"
496,,,Rütiberg obersee,Rütiberg obersee,Switzerland,Hydro,Run-Of-River,0.89,47.0936004244,9.0373154401,"BFE, Switzerland Power Plant.csv"
497,,,Rütiberg brändbach,Rütiberg brändbach,Switzerland,Hydro,Run-Of-River,0.85,47.0936004244,9.0373154401,"BFE, Switzerland Power Plant.csv"
498,,,Risi,Risi,Switzerland,Hydro,Run-Of-River,4.5,47.0946783225,9.05671355608,"BFE, Switzerland Power Plant.csv"
499,,,Ziegelbrücke,Ziegelbrücke,Switzerland,Hydro,Run-Of-River,0.58,47.1331874754,9.06288735926,"BFE, Switzerland Power Plant.csv"
500,,,"Uznaberg, uznach","Uznaberg, uznach",Switzerland,Hydro,Run-Of-River,0.51,47.2311598929,8.96429863072,"BFE, Switzerland Power Plant.csv"
501,,,Pilgersteg,Pilgersteg,Switzerland,Hydro,Run-Of-River,0.56,47.2688671863,8.87219842017,"BFE, Switzerland Power Plant.csv"
502,,,Bäch,Bäch,Switzerland,Hydro,Run-Of-River,0.3,47.2003433021,8.72530004013,"BFE, Switzerland Power Plant.csv"
503,,,Sihl höfe,Sihl höfe,Switzerland,Hydro,Run-Of-River,1.45,47.1773356908,8.68239576491,"BFE, Switzerland Power Plant.csv"
504,,,Waldhalde,Waldhalde,Switzerland,Hydro,Run-Of-River,2.8,47.1791652701,8.62847586729,"BFE, Switzerland Power Plant.csv"
505,,,Manegg,Manegg,Switzerland,Hydro,Run-Of-River,0.64,47.3387264858,8.52087782283,"BFE, Switzerland Power Plant.csv"
506,,,Höngg,Höngg,Switzerland,Hydro,Run-Of-River,1.4,47.4014693207,8.48651399019,"BFE, Switzerland Power Plant.csv"
507,,,Dietikon,Dietikon,Switzerland,Hydro,Run-Of-River,2.94,47.4103399639,8.40798019435,"BFE, Switzerland Power Plant.csv"
508,,,Aue dotierzentrale,Aue dotierzentrale,Switzerland,Hydro,Run-Of-River,5.7,47.4694528495,8.30963508241,"BFE, Switzerland Power Plant.csv"
509,,,Schiffmühle,Schiffmühle,Switzerland,Hydro,Run-Of-River,3.68,47.4880675329,8.26727797892,"BFE, Switzerland Power Plant.csv"
510,,,Bag turgi,Turgi,Switzerland,Hydro,Run-Of-River,1.9,47.4971134272,8.24724562911,"BFE, Switzerland Power Plant.csv"
511,,,"Stroppel, untersiggenthal","Stroppel, untersiggenthal",Switzerland,Hydro,Run-Of-River,0.8,47.5027384384,8.24029647654,"BFE, Switzerland Power Plant.csv"
512,,,Kw ulrichen,Ulrichen,Switzerland,Hydro,Run-Of-River,2.35,46.5031259385,8.31853164755,"BFE, Switzerland Power Plant.csv"
513,,,Merezenbach,Merezenbach,Switzerland,Hydro,Run-Of-River,1.99,46.4857148879,8.27735361119,"BFE, Switzerland Power Plant.csv"
514,,,Rappental,Rappental,Switzerland,Hydro,Run-Of-River,1.2,46.3945542547,8.17817050918,"BFE, Switzerland Power Plant.csv"
515,,,Fiesch,Fiesch,Switzerland,Hydro,Run-Of-River,3.1,46.39645212,8.13411837029,"BFE, Switzerland Power Plant.csv"
516,,,Saflisch,Saflisch,Switzerland,Hydro,Run-Of-River,1.25,46.342857005,8.17357038389,"BFE, Switzerland Power Plant.csv"
517,,,Aletsch,Aletsch,Switzerland,Hydro,Run-Of-River,35.3,46.8959309421,7.78533061745,"BFE, Switzerland Power Plant.csv"
518,,,Bortel oberstufe,Bortelalp,Switzerland,Hydro,Pumped Storage,2.35,46.2934511663,8.08815887117,"BFE, Switzerland Power Plant.csv"
519,,,Rosswald gärsterna,Gärsterna,Switzerland,Hydro,Run-Of-River,0.45,46.3162383255,8.03403209364,"BFE, Switzerland Power Plant.csv"
520,,,Saas fee,Saas fee,Switzerland,Hydro,Run-Of-River,1.55,46.1162811438,7.93690667216,"BFE, Switzerland Power Plant.csv"
521,,,Mutt,Mutt,Switzerland,Hydro,Run-Of-River,11.3,46.0114638208,7.73855316305,"BFE, Switzerland Power Plant.csv"
522,,,Wiesti,Wiesti,Switzerland,Hydro,Run-Of-River,3.4,46.0243792554,7.75257026538,"BFE, Switzerland Power Plant.csv"
523,,,Täschbach,Täschbach,Switzerland,Hydro,Run-Of-River,1.65,46.0672050805,7.78111832736,"BFE, Switzerland Power Plant.csv"
524,,,"Kw siwibach eisten, vs","Siwibach eisten, vs",Switzerland,Hydro,Run-Of-River,1.0,46.1797220622,7.91106743398,"BFE, Switzerland Power Plant.csv"
525,,,Törbel gappil,Törbel gappil,Switzerland,Hydro,Run-Of-River,0.49,46.2347493762,7.84867201981,"BFE, Switzerland Power Plant.csv"
526,,,Riedji,Riedji,Switzerland,Hydro,Run-Of-River,0.59,46.2393596552,7.89006330756,"BFE, Switzerland Power Plant.csv"
527,,,Baltschieder,Baltschieder,Switzerland,Hydro,Run-Of-River,0.33,46.3075293023,7.87167668529,"BFE, Switzerland Power Plant.csv"
528,,,Kalter brunnen,Kalter brunnen,Switzerland,Hydro,Run-Of-River,0.5,46.3124055348,7.81615308604,"BFE, Switzerland Power Plant.csv"
529,,,Kwkw bachtoli,Bachtoli,Switzerland,Hydro,Run-Of-River,0.98,46.2926424983,7.77903138525,"BFE, Switzerland Power Plant.csv"
530,,,Unterbäch,Unterbäch,Switzerland,Hydro,Run-Of-River,0.85,46.2857490893,7.79741347619,"BFE, Switzerland Power Plant.csv"
531,,,Turtig,Turtig,Switzerland,Hydro,Run-Of-River,1.06,46.3012328337,7.79388128295,"BFE, Switzerland Power Plant.csv"
532,,,Chriz,Chriz,Switzerland,Hydro,Run-Of-River,0.55,46.3017818766,7.79089962744,"BFE, Switzerland Power Plant.csv"
533,,,Niedergesteln,Niedergesteln,Switzerland,Hydro,Run-Of-River,0.91,46.3211352958,7.78680511782,"BFE, Switzerland Power Plant.csv"
534,,,Fafleralp,Fafleralp,Switzerland,Hydro,Run-Of-River,1.25,46.4296977536,7.84571987097,"BFE, Switzerland Power Plant.csv"
535,,,Blatten,Blatten sak,Switzerland,Hydro,Run-Of-River,0.8,46.4229430636,7.82212420241,"BFE, Switzerland Power Plant.csv"
536,,,Wiler,Wiler,Switzerland,Hydro,Run-Of-River,1.4,46.4069461254,7.78950019889,"BFE, Switzerland Power Plant.csv"
537,,,Dala,Dala,Switzerland,Hydro,Run-Of-River,13.0,46.3187294651,7.62378458261,"BFE, Switzerland Power Plant.csv"
538,,,Lona,Lona,Switzerland,Hydro,Run-Of-River,1.05,46.1551994564,7.54582501443,"BFE, Switzerland Power Plant.csv"
539,,,Navisence,Navisence,Switzerland,Hydro,Reservoir,52.0,46.6754376936,8.37240886662,"BFE, Switzerland Power Plant.csv"
540,,,Chamarin,Chamarin,Switzerland,Hydro,Run-Of-River,1.9,46.3148311156,7.43176341997,"BFE, Switzerland Power Plant.csv"
541,,,Turb. lac d'icogne,Icogne,Switzerland,Hydro,Run-Of-River,2.0,46.3059257158,7.43851437386,"BFE, Switzerland Power Plant.csv"
542,,,Beulet,Beulet,Switzerland,Hydro,Run-Of-River,0.72,46.2682325663,7.42100406459,"BFE, Switzerland Power Plant.csv"
543,,,Sauterot hérémence lysa,Sauterot hérémence lysa,Switzerland,Hydro,Run-Of-River,5.1,46.1699973881,7.40653607429,"BFE, Switzerland Power Plant.csv"
544,,,Sauterôt hérémence fmdb,Sauterôt hérémence fmdb,Switzerland,Hydro,Run-Of-River,0.6,46.1707174053,7.40783042964,"BFE, Switzerland Power Plant.csv"
545,,,Zour,Zour,Switzerland,Hydro,Run-Of-River,0.46,46.2744977933,7.35289555834,"BFE, Switzerland Power Plant.csv"
546,,,Arbaz comba energies,Arbaz comba energies,Switzerland,Hydro,Run-Of-River,0.59,46.2682177813,7.37884786057,"BFE, Switzerland Power Plant.csv"
547,,,Arbaz sionne energie,Arbaz sionne energie,Switzerland,Hydro,Run-Of-River,0.58,46.2464389011,7.36318337545,"BFE, Switzerland Power Plant.csv"
548,,,Rochers,"Les rochers, savièse",Switzerland,Hydro,Run-Of-River,0.33,46.2633429435,7.35252424065,"BFE, Switzerland Power Plant.csv"
549,,,"Reserv. péteille, vétroz","Reserv. péteille, vétroz",Switzerland,Hydro,Run-Of-River,0.73,46.2269117894,7.27325930917,"BFE, Switzerland Power Plant.csv"
550,,,Balavaud,Balavaud,Switzerland,Hydro,Run-Of-River,0.48,46.2209490674,7.2566888557,"BFE, Switzerland Power Plant.csv"
551,,,Er palier isérables c. arcay,Palier isérables c. arcay,Switzerland,Hydro,Run-Of-River,0.35,46.1609354297,7.24886403999,"BFE, Switzerland Power Plant.csv"
552,,,Step vallée bagnes,Step vallée bagnes,Switzerland,Hydro,Run-Of-River,0.4,46.0827671918,7.20311685212,"BFE, Switzerland Power Plant.csv"
553,,,Pas du lein,Pas du lein,Switzerland,Hydro,Run-Of-River,0.47,46.1141701715,7.16702258324,"BFE, Switzerland Power Plant.csv"
554,,,Vollèges cries,Vollèges cries,Switzerland,Hydro,Run-Of-River,0.9,46.0935060212,7.17785746662,"BFE, Switzerland Power Plant.csv"
555,,,Hospitalet,Hospitalet,Switzerland,Hydro,Run-Of-River,1.47,45.8860019638,7.18722185045,"BFE, Switzerland Power Plant.csv"
556,,,Niollet,Niollet,Switzerland,Hydro,Run-Of-River,1.52,46.0215599053,7.13191034633,"BFE, Switzerland Power Plant.csv"
557,,,Sembrancher,Sembrancher,Switzerland,Hydro,Run-Of-River,11.0,46.079152002,7.15672724814,"BFE, Switzerland Power Plant.csv"
558,,,Pont neuf,Pont neuf,Switzerland,Hydro,Run-Of-River,0.93,46.073184867,7.05542701654,"BFE, Switzerland Power Plant.csv"
559,,,Trient,Trient,Switzerland,Hydro,Run-Of-River,1.0,46.0583372445,6.96030038614,"BFE, Switzerland Power Plant.csv"
560,,,Aboyeu,Aboyeu,Switzerland,Hydro,Run-Of-River,3.3,46.1819570581,7.03393846048,"BFE, Switzerland Power Plant.csv"
561,,,Rasse,Rasse,Switzerland,Hydro,Run-Of-River,0.72,46.1813257215,7.0092074642,"BFE, Switzerland Power Plant.csv"
562,,,Bevieux,Bevieux,Switzerland,Hydro,Run-Of-River,1.9,46.2603811856,7.02881412738,"BFE, Switzerland Power Plant.csv"
563,,,Champéry etrivouez,Champéry etrivouez,Switzerland,Hydro,Run-Of-River,0.97,46.161762733,6.85918766723,"BFE, Switzerland Power Plant.csv"
564,,,Torrent soi,Torrent soi,Switzerland,Hydro,Run-Of-River,0.92,46.1860308699,6.89104970296,"BFE, Switzerland Power Plant.csv"
565,,,Monthey commune,Monthey commune,Switzerland,Hydro,Run-Of-River,0.4,46.2496081279,6.94448084181,"BFE, Switzerland Power Plant.csv"
566,,,Chable,Chable,Switzerland,Hydro,Run-Of-River,0.42,46.3078615869,6.89669954474,"BFE, Switzerland Power Plant.csv"
567,,,Diablerets,Diablerets,Switzerland,Hydro,Reservoir,5.4,46.3530641075,7.15465044855,"BFE, Switzerland Power Plant.csv"
568,,,Pont tine coussy loudze,Pont tine coussy loudze,Switzerland,Hydro,Run-Of-River,10.99,46.3477850662,7.04432577868,"BFE, Switzerland Power Plant.csv"
569,,,"Douve, aigle",Douve,Switzerland,Hydro,Run-Of-River,0.46,46.3277994563,7.01531866907,"BFE, Switzerland Power Plant.csv"
570,,,Micro fontanney,Fontanney,Switzerland,Hydro,Run-Of-River,0.33,46.3170626321,6.98398364412,"BFE, Switzerland Power Plant.csv"
571,,,Vouvry,Vouvry,Switzerland,Hydro,Reservoir,8.0,46.3361244664,6.88148115355,"BFE, Switzerland Power Plant.csv"
572,,,Sonzier,Sonzier,Switzerland,Hydro,Run-Of-River,1.65,46.4403231332,6.92517165399,"BFE, Switzerland Power Plant.csv"
573,,,Taulan,Taulan,Switzerland,Hydro,Run-Of-River,1.2,46.4339054895,6.91846679903,"BFE, Switzerland Power Plant.csv"
574,,,Rivaz le forestay,Rivaz le forestay,Switzerland,Hydro,Run-Of-River,0.73,46.4746425288,6.77770904753,"BFE, Switzerland Power Plant.csv"
575,,,Petite vaux,Petite vaux,Switzerland,Hydro,Run-Of-River,3.31,46.4888599452,6.40502679993,"BFE, Switzerland Power Plant.csv"
576,,,Vessy,Vessy,Switzerland,Hydro,Run-Of-River,0.42,46.1790567398,6.17027683448,"BFE, Switzerland Power Plant.csv"
577,,,Rançonnière,Rançonnière,Switzerland,Hydro,Run-Of-River,1.6,47.0529629931,6.71594514968,"BFE, Switzerland Power Plant.csv"
578,,,Refrain,Refrain,Switzerland,Hydro,Run-Of-River,12.0,47.1876938239,6.87311737175,"BFE, Switzerland Power Plant.csv"
579,,,Ossasco,Ossasco,Switzerland,Hydro,Run-Of-River,1.27,46.5126365625,8.53838477213,"BFE, Switzerland Power Plant.csv"
580,,,Sella,Sella,Switzerland,Hydro,Reservoir,1.93,46.5524637488,8.58666190321,"BFE, Switzerland Power Plant.csv"
581,,,Calcaccia,Calcaccia,Switzerland,Hydro,Run-Of-River,3.6,46.5194921171,8.6345754932,"BFE, Switzerland Power Plant.csv"
582,,,Ceresa,Ceresa,Switzerland,Hydro,Run-Of-River,2.0,46.4856544595,8.78804420318,"BFE, Switzerland Power Plant.csv"
583,,,"Piumogna, dalpe","Piumogna, dalpe",Switzerland,Hydro,Run-Of-River,1.0,46.4665637849,8.76660589676,"BFE, Switzerland Power Plant.csv"
584,,,Ticinetto,Ticinetto,Switzerland,Hydro,Run-Of-River,2.9,46.4195742834,8.85066701859,"BFE, Switzerland Power Plant.csv"
585,,,Spina valbella,Spina valbella,Switzerland,Hydro,Run-Of-River,4.2,46.431134362,9.20699910427,"BFE, Switzerland Power Plant.csv"
586,,,Mesocco nan ros,Mesocco nan ros,Switzerland,Hydro,Run-Of-River,0.35,46.4196352889,9.23446723925,"BFE, Switzerland Power Plant.csv"
587,,,Corgello peccia,Peccia corgello,Switzerland,Hydro,Run-Of-River,0.98,46.4156418664,8.61147407012,"BFE, Switzerland Power Plant.csv"
588,,,Campo vallemaggia,Campo vallemaggia,Switzerland,Hydro,Run-Of-River,1.28,46.2853101718,8.5086146267,"BFE, Switzerland Power Plant.csv"
589,,,Cerentino,Cerentino,Switzerland,Hydro,Run-Of-River,1.38,46.3065771304,8.5516126454,"BFE, Switzerland Power Plant.csv"
590,,,Ponte brolla,Ponte brolla,Switzerland,Hydro,Run-Of-River,3.1,46.18559009,8.75120889324,"BFE, Switzerland Power Plant.csv"
591,,,Sigirino monteceneri,Sigirino monteceneri,Switzerland,Hydro,Run-Of-River,0.84,46.0774335119,8.91253368696,"BFE, Switzerland Power Plant.csv"
592,,,Valmara,Valmara,Switzerland,Hydro,Run-Of-River,0.95,45.9394453937,8.9776796767,"BFE, Switzerland Power Plant.csv"
593,,,Pedecosta,Pedecosta,Switzerland,Hydro,Run-Of-River,0.51,46.3576454254,10.0757152147,"BFE, Switzerland Power Plant.csv"
594,,,Plancanin,Plancanin,Switzerland,Hydro,Run-Of-River,0.5,46.3638966463,9.71265622238,"BFE, Switzerland Power Plant.csv"
595,,,Silvaplana,Silvaplana,Switzerland,Hydro,Run-Of-River,1.47,46.4596242856,9.79337673204,"BFE, Switzerland Power Plant.csv"
596,,,Morteratsch,Morteratsch,Switzerland,Hydro,Run-Of-River,0.57,46.4525803371,9.94164682347,"BFE, Switzerland Power Plant.csv"
597,,,Champagna,Champagna,Switzerland,Hydro,Run-Of-River,0.36,46.5419232912,9.89347601258,"BFE, Switzerland Power Plant.csv"
598,,,Madulain,Madulain,Switzerland,Hydro,Run-Of-River,1.56,46.5852709512,9.9363025202,"BFE, Switzerland Power Plant.csv"
599,,,Guarda ara,Guarda ara,Switzerland,Hydro,Run-Of-River,0.35,46.7684823294,10.1429807693,"BFE, Switzerland Power Plant.csv"
600,,,Tasnan,Tasnan,Switzerland,Hydro,Run-Of-River,6.6,46.7776529012,10.2257209387,"BFE, Switzerland Power Plant.csv"
601,,,Tarasp ischla,Tarasp ischla,Switzerland,Hydro,Run-Of-River,0.92,46.7899029834,10.2837559953,"BFE, Switzerland Power Plant.csv"
602,,,Clemgia,Clemgia,Switzerland,Hydro,Run-Of-River,1.9,46.7884940361,10.296917759,"BFE, Switzerland Power Plant.csv"
603,,,Chasura,Chasura,Switzerland,Hydro,Run-Of-River,0.3,46.8702702474,10.4358013527,"BFE, Switzerland Power Plant.csv"
604,,,Punt dal gall dotieranlage,Punt dal gall dotierzentrale,Switzerland,Hydro,Run-Of-River,2.8,46.6234441915,10.1932036115,"BFE, Switzerland Power Plant.csv"
605,,,Muranzina,Muranzina,Switzerland,Hydro,Run-Of-River,2.0,46.5965486956,10.4278045452,"BFE, Switzerland Power Plant.csv"
606,,,Chasseras,Chasseras,Switzerland,Hydro,Run-Of-River,1.07,46.614013798,10.4414426528,"BFE, Switzerland Power Plant.csv"
607,Marchwood,Marchwood,,Marchwood,United Kingdom,Natural Gas,CCGT,842.0,50.7995063968,-1.59829355177,UK Power Plant.csv
608,Porcari kartocell,Edison porcari,,Porcari,Italy,Natural Gas,CCGT,100.0,43.8361822,10.6121094667,Italy Power Plant.csv
609,Almaraz,Almaraz,,Almaraz,Spain,Nuclear,,2093.0,39.8075527778,-5.6977722222,EU Nuclear Power.csv
610,Trillo,Trillo,,Trillo,Spain,Nuclear,,1066.0,40.7013555556,-2.6222972222,EU Nuclear Power.csv
611,Langage,Langage,,Langage,United Kingdom,Natural Gas,CCGT,905.0,50.4579094626,-3.34139262809,UK Power Plant.csv
612,South humber bank,South humber bank,,South humber bank,United Kingdom,Natural Gas,CCGT,1310.0,53.7111040063,-0.485422913894,UK Power Plant.csv
613,Barry centrica,Barry,,Barry,United Kingdom,Natural Gas,CCGT,235.0,51.7029156678,-3.39664694654,UK Power Plant.csv
614,Sutton bridge,"Sutton bridge station,",,Sutton bridge,United Kingdom,Natural Gas,CCGT,819.0,52.5832744667,-0.0262263612333,UK Power Plant.csv
615,Roque endesa,San roque endesa,,Roque,Spain,Natural Gas,CCGT,791.68,36.2030835,-5.398625,Spain Power Plants Over 10 MW.csv
616,Palos frontera fenosa,Palos frontera,,Palos frontera,Spain,Natural Gas,CCGT,1200.0,37.185222,-6.8859165,Spain Power Plants Over 10 MW.csv
617,Campo gibraltar,Campo gibraltar,,Campo gibraltar,Spain,Natural Gas,CCGT,800.0,36.1970335,-5.388725,Spain Power Plants Over 10 MW.csv
618,Sagunto,Sagunto,,"Ccc sagunto,",Spain,Natural Gas,CCGT,1232.19,39.6427665,-0.2335775,Spain Power Plants Over 10 MW.csv
