id,CARMA,FIAS,GEO,OPSD,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File
1637,,,Nosice,,,Slovakia,Hydro,Run-Of-River,67.5,49.127459,18.364248,
1638,,,Nove mesto n.v.,,,Slovakia,Hydro,Run-Of-River,25.5,48.7725,17.8516,
1639,,,Oo,,,France,Hydro,Run-Of-River,30.0,42.804,0.56,
1640,,,Orava,,,Slovakia,Hydro,Run-Of-River,21.75,49.3756,19.557,
1641,,,Paradela,,,Portugal,Hydro,Run-Of-River,54.0,41.7686,-7.9504,
1642,,,Peruca,,,Croatia,Hydro,Reservoir,60.0,43.7951,16.5968,
1643,,,Picote,,,Portugal,Hydro,Reservoir,426.0,41.379,-6.3525,
1644,,,Pinet,,,France,Hydro,Run-Of-River,66.5,44.07,2.805,
1645,,,Polyfyto,,,Greece,Hydro,Reservoir,375.0,40.3305,22.1253,
1646,,,Porabka,,,Poland,Hydro,Run-Of-River,12.6,49.8073,19.202,
1647,,,Portillon le,,,France,Hydro,Reservoir,95.0,42.733,0.553,
1648,,,Povazska bystrica,,,Slovakia,Hydro,Run-Of-River,55.2,49.133149,18.45377,
1649,,,Raul mare retezat,,,Romania,Hydro,Reservoir,335.0,45.3391,22.7213,
1650,,,Revin,,,France,Hydro,Reservoir,800.0,49.906,4.625,
1651,,,Riga latvia,,,Latvia,Hydro,Reservoir,402.0,56.852,24.2724,
1652,,,Rönkhausen,,,Germany,Hydro,Run-Of-River,140.0,51.2247,7.9934,
1653,,,Seyssel,,,France,Hydro,Run-Of-River,45.0,45.971,5.834,
1654,,,Stechovice republic,,,Czech Republic,Hydro,Run-Of-River,22.5,49.84625,14.42176,
1655,,,Sucany,,,Slovakia,Hydro,Run-Of-River,38.4,49.1072,18.9916,
1656,,,Sugag tau,,,Romania,Hydro,Reservoir,150.0,45.6892,23.6094,
1657,,,Super bissorte,,,France,Hydro,Reservoir,750.0,45.202,6.576,
1658,,,Teich,,,France,Hydro,Run-Of-River,6.3,42.71,1.864,
1659,,,Tet,,,France,Hydro,Run-Of-River,41.1,42.553,2.267,
1660,,,Trencin,,,Slovakia,Hydro,Run-Of-River,16.5,48.9022,18.056,
1661,,,Triouzoune,,,France,Hydro,Run-Of-River,22.0,45.347,2.349,
1662,,,Truel,,,France,Hydro,Run-Of-River,27.0,44.06,2.769,
1663,,,Trängslet,,,Sweden,Hydro,Reservoir,330.0,61.3811,13.7312,
1664,,,Tuxbach,,,Austria,Hydro,Run-Of-River,1.0,47.1485,11.8225,
1665,,,Villerest,,,France,Hydro,Reservoir,116.0,45.98695,4.04869,
1667,,Blasjön,,,,Sweden,Hydro,Run-Of-River,57.0,59.593787,14.354892,
1670,,Hjälta,,,,Sweden,Hydro,Run-Of-River,180.0,62.983391,17.866538,
