id,Carma,Fias,Geo,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File
917,Fertimolina,,,Fertimolina,Spain,Natural Gas,,10.749,40.843575,-1.887616,Spain Power Plants Over 10 MW.csv
918,Smola Island,,,Smola,Norway,Wind,,160.0,63.4,8.0,Norway Power Plants (ENTSOE) .csv
919,Sublin ,,,Sublin,Switzerland,Hydro,,10.61,46.252137,7.011408,Switzerland Power Plant.csv
920,Las Conchas,,,Conchas,Spain,Hydro,,49.38,42.407456473,-7.53164291382,Spain Power Plants Over 10 MW.csv
921,Velle,,,Velle,Spain,Hydro,,86.48,42.3333333,-7.85,Spain Power Plants Over 10 MW.csv
922,Monte Carrio,,,Cabrito,Spain,Wind,,31.45,42.660853,-8.112852,Spain Power Plants Over 10 MW.csv
923,Muras,,,Muras,Spain,Wind,,48.84,43.466846,-7.723832,Spain Power Plants Over 10 MW.csv
924,Navazo,,,Navazo,Spain,Wind,,49.95,42.249178,-4.198491,Spain Power Plants Over 10 MW.csv
925,Monte Treito,,,Monte Treito,Spain,Wind,,30.39,42.772994,-8.8444,Spain Power Plants Over 10 MW.csv
926,Forgosello,,,Forgoselo,Spain,Wind,,24.42,43.426973,-8.067068,Spain Power Plants Over 10 MW.csv
927,Plana Gamesa,,,Plana,Spain,Wind,,61.5,41.580138,-1.117193,Spain Power Plants Over 10 MW.csv
928,Valmediano,,,Valdivia,Spain,Wind,,34.0,41.834689,-5.888829,Spain Power Plants Over 10 MW.csv
929,Viveiro,,,Viveiro,Spain,Wind,,36.55,43.6622836092,-7.59344100952,Spain Power Plants Over 10 MW.csv
930,Pedregal Tremuzo ,,,Pedregal Tremuzo,Spain,Wind,,44.6,42.776173,-9.060316,Spain Power Plants Over 10 MW.csv
931,Conjuro,,,Conjuro,Spain,Wind,,34.0,36.750665,-3.517902,Spain Power Plants Over 10 MW.csv
932,Carrasquillo,,,Carrasquillo,Spain,Wind,,49.3,42.1932980312,-4.29393768311,Spain Power Plants Over 10 MW.csv
933,Montejo,,,Montejo Bricia,Spain,Wind,,13.6,40.632459,-5.622869,Spain Power Plants Over 10 MW.csv
934,Montija,,,Montija,Spain,Wind,,30.8,38.9503,-0.652004,Spain Power Plants Over 10 MW.csv
935,Malagon Eufer,,,Malagon,Spain,Wind,,86.0,39.194082,-3.932529,Spain Power Plants Over 10 MW.csv
