id,CARMA,ENTSOE,GEO,OPSD,WRI,Fueltype,Technology,Country,Set,Capacity,YearCommissioned,lat,lon,File,projectID
10,,Borssele,Borssele,Borssele,Borssele,Nuclear,Steam Turbine,Netherlands,PP,515.0,,51.43129,3.718105,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Tennet_Q42015, EU Nuclear Power.csv","{u'GEO': u'G1289', u'WRI': u'[539]', u'ENTSOE': u'49W000000000054X', u'CARMA': nan, u'OPSD': u'[OEU6]'}"
11,,Lage weide,Langeweide,Lage weide,Centrale lage wide,Natural Gas,CCGT,Netherlands,PP,266.0,,52.10276,5.071335,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Tennet_Q42015, Netherlands Power Plant.csv","{u'GEO': u'G483', u'WRI': u'[832]', u'ENTSOE': u'49W000000000047U', u'CARMA': nan, u'OPSD': u'[OEU19]'}"
12,,Maasvlakte,Maasvlakte electrabel,Mvl rotterdam,Mvl centrale rotterdam,Hard Coal,Steam Turbine,Netherlands,PP,800.0,,51.94488955,4.0721737,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Tennet_Q22015, Netherlands Power Plant.csv","{u'GEO': u'G126', u'WRI': u'[2908]', u'ENTSOE': u'49W000000000100F', u'CARMA': nan, u'OPSD': u'[OEU54]'}"
13,,Moerdijk,Moerdijk,Moerdijk,Moerdijk,Natural Gas,CCGT,Netherlands,PP,1574.0,,51.6850798,4.58105405,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Tennet_Q42015, Netherlands Power Plant.csv","{u'GEO': u'G475', u'WRI': u'[835, 2773]', u'ENTSOE': u'49W000000000063W', u'CARMA': nan, u'OPSD': u'[OEU62, OEU61]'}"
14,Akzo delesto,,Delesto,Delesto del,Delesto,Natural Gas,CCGT,Netherlands,PP,549.78,,53.3195685,6.95285333333,"Tennet_Q12015, Netherlands Power Plant.csv","{u'GEO': u'G467', u'WRI': u'[1107]', u'ENTSOE': nan, u'CARMA': u'[665]', u'OPSD': u'[OEU34, OEU33]'}"
15,Eems,,Eems,Eemscentrale ec,Eemscentrale,Natural Gas,CCGT,Netherlands,PP,3134.7,,53.4348271333,6.86489713333,"Tennet_Q42015, Netherlands Power Plant.csv","{u'GEO': u'G468', u'WRI': u'[1235]', u'ENTSOE': nan, u'CARMA': u'[11839]', u'OPSD': u'[OEU42, OEU46, OEU41, OEU45, OEU43, OEU44]'}"
16,Merwedekanaal,,Merwedekanaal,Merwedekanaal,Centrale merwedekanaal,Natural Gas,CCGT,Netherlands,PP,428.04,,52.1014106667,5.07921086667,"Tennet_Q42015, Netherlands Power Plant.csv","{u'GEO': u'G484', u'WRI': u'[834]', u'ENTSOE': nan, u'CARMA': u'[28144]', u'OPSD': u'[OEU23]'}"
17,,,Flevo maxima centrale,Maxima fl,Maxima centrale,Natural Gas,CCGT,Netherlands,PP,996.0,,52.577365,5.529795,"Tennet_Q22015, Netherlands Power Plant.csv","{u'GEO': u'G465', u'WRI': u'[2681]', u'ENTSOE': nan, u'CARMA': nan, u'OPSD': u'[OEU58, OEU59, OEU60]'}"
18,,,Hemweg,Hemweg hw,Centrale hemweg,Natural Gas,CCGT,Netherlands,PP,1017.0,,52.405835,4.84331,"Tennet_Q42015, Netherlands Power Plant.csv","{u'GEO': u'G479', u'WRI': u'[830]', u'ENTSOE': nan, u'CARMA': nan, u'OPSD': u'[OEU15, OEU17]'}"
19,,,Ijmond,Ijmond,Centrale ijmond,Other,CCGT,Netherlands,PP,144.0,,52.47143375,4.63138305,"Tennet_Q32015, Netherlands Power Plant.csv","{u'GEO': u'G481', u'WRI': u'[831]', u'ENTSOE': nan, u'CARMA': nan, u'OPSD': u'[OEU18]'}"
20,,,Magnum netherland,Magnum,Magnum centrale,Natural Gas,CCGT,Netherlands,PP,1326.0,,53.449745,6.85269,"Tennet_Q42015, Netherlands Power Plant.csv","{u'GEO': u'G469', u'WRI': u'[2602]', u'ENTSOE': nan, u'CARMA': nan, u'OPSD': u'[OEU55, OEU57, OEU56]'}"
21,Lee hydro,Lee production,,Les clées,Lee,Hydro,Run-Of-River,Ireland,PP,30.0,1955.0,46.7311268769,6.4449925209,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, BFE, Ireland and Northern Ireland.csv","{u'GEO': nan, u'WRI': u'[2410]', u'ENTSOE': u'47W000000000234O', u'CARMA': u'[24830]', u'OPSD': u'[OEU610]'}"
22,Dukovany,,,Dukovany,Dukovany,Nuclear,Steam Turbine,Czech Republic,PP,2010.0,,49.08495,16.15006,"CEPS, EU Nuclear Power.csv","{u'GEO': nan, u'WRI': u'[1192]', u'ENTSOE': nan, u'CARMA': u'[11427]', u'OPSD': u'[OEU360, OEU361, OEU362, OEU359]'}"
23,Scharding neuhaus,,,Schärding neuhaus,Schärding neuhaus,Hydro,Run-Of-River,Austria,PP,100.0,1963.0,48.4356192,13.4415027,Verbund Power Plant.csv,"{u'GEO': nan, u'WRI': u'[3831]', u'ENTSOE': nan, u'CARMA': u'[40070]', u'OPSD': u'[BNA0917]'}"
24,Temelin,,,Temelín,Temelin,Nuclear,Steam Turbine,Czech Republic,PP,2160.0,,49.18109,14.38641,"CEPS, EU Nuclear Power.csv","{u'GEO': nan, u'WRI': u'[4230]', u'ENTSOE': nan, u'CARMA': u'[44944]', u'OPSD': u'[OEU395, OEU394]'}"
25,Velsen,,,Velsen vn,Centrale velsen,Natural Gas,,Netherlands,PP,885.258,,52.47143375,4.6376275,"Tennet_Q22015, Netherlands Power Plant.csv","{u'GEO': nan, u'WRI': u'[839]', u'ENTSOE': nan, u'CARMA': u'[47915, 47916]', u'OPSD': u'[OEU27, OEU26]'}"
26,,,,Clauscentrale,Clauscentrale,Other,,Netherlands,PP,510.0,,51.15184995,5.9080819,"Tennet_Q12015, Netherlands Power Plant.csv","{u'GEO': nan, u'WRI': u'[926]', u'ENTSOE': nan, u'CARMA': nan, u'OPSD': u'[OEU32]'}"
27,,,,Edh,Edh,Natural Gas,,Netherlands,PP,112.0,,52.07661825,4.2906769,"Tennet_Q12015, Netherlands Power Plant.csv","{u'GEO': nan, u'WRI': u'[1227]', u'ENTSOE': nan, u'CARMA': nan, u'OPSD': u'[OEU36]'}"
28,,,,Mk,Mk,Natural Gas,,Netherlands,PP,103.0,,52.101271,5.0791213,"Tennet_Q12015, Netherlands Power Plant.csv","{u'GEO': nan, u'WRI': u'[2765]', u'ENTSOE': nan, u'CARMA': nan, u'OPSD': u'[OEU53]'}"
29,Abono,Aboño,Abono,,Abono,Hard Coal,Steam Turbine,Spain,PP,921.7,,43.5528,-5.7231,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Spain Power Plants Over 10 MW.csv","{u'GEO': u'G203', u'WRI': u'[15]', u'ENTSOE': u'18WABO2-12345-0N', u'CARMA': u'[139]', u'OPSD': nan}"
30,Abwinden asten,Abwinden asten,Abwinden asten,,Abwinden asten,Hydro,Run-Of-River,Austria,PP,173.1,,48.24798,14.4305,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Verbund Power Plant.csv","{u'GEO': u'G737', u'WRI': u'[18]', u'ENTSOE': u'14W-BAA-KW-----D', u'CARMA': u'[170]', u'OPSD': nan}"
31,Aghada,Aghada prod,Aghada,,Aghada,Natural Gas,OCGT,Ireland,PP,963.0,,51.8346862247,-8.23619230423,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Ireland and Northern Ireland.csv","{u'GEO': u'G378', u'WRI': u'[35, 36]', u'ENTSOE': u'47W000000000164J', u'CARMA': u'[395]', u'OPSD': nan}"
32,Almaraz,Almaraz,Almaraz,,Almaraz,Nuclear,,Spain,PP,2093.0,,39.80705,-5.6986,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, EU Nuclear Power.csv","{u'GEO': u'G1297', u'WRI': u'[114]', u'ENTSOE': u'18WALZ1-12345-0E', u'CARMA': u'[1039]', u'OPSD': nan}"
33,Altenworth,Altenwörth,Altenwoerth,,Altenwörth,Hydro,Run-Of-River,Austria,PP,349.5,,48.3745,15.8556,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Verbund Power Plant.csv","{u'GEO': u'G712', u'WRI': u'[140]', u'ENTSOE': u'14W-BAW-KW-----F', u'CARMA': u'[1175]', u'OPSD': nan}"
34,Altomonte,Altomonte,Edison altomonte,,Altomonte,Natural Gas,CCGT,Italy,PP,808.0,,39.7053991501,16.23259645,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Italy Power Plant.csv","{u'GEO': u'G403', u'WRI': u'[142]', u'ENTSOE': u'26WIMPI-S18EADS0', u'CARMA': u'[1214]', u'OPSD': nan}"
35,Alvkarleby,Älvkarleby,Alvkarleby,,Alvkarleby,Hydro,Reservoir,Sweden,PP,125.0,,60.54850665,17.421025,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Sweden Power Plant.csv","{u'GEO': u'G1172', u'WRI': u'[149]', u'ENTSOE': u'46WPU0000000053O', u'CARMA': u'[1246]', u'OPSD': nan}"
36,Amercoeur,Amercoeur tgv,Amercoeur,,Amercoeur tgv,Natural Gas,CCGT,Belgium,PP,553.8,,50.4304,4.3955,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Belgium Power Plant.csv","{u'GEO': u'G302', u'WRI': u'[156]', u'ENTSOE': u'22WAMERCO000010Y', u'CARMA': u'[1340]', u'OPSD': nan}"
37,Anapo,Anapo c.le,Anapo,,Anapo c.le,Hydro,Pumped Storage,Italy,PP,500.0,,37.15584405,15.18396955,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Italy Power Plant.csv","{u'GEO': u'G987', u'WRI': u'[171]', u'ENTSOE': u'26WIMYI-S19ANPAB', u'CARMA': u'[1456]', u'OPSD': nan}"
38,Anllares,Anllares,Anllares,,Anllares,Hard Coal,Steam Turbine,Spain,PP,365.2,,42.8385,-6.5332,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Spain Power Plants Over 10 MW.csv","{u'GEO': u'G207', u'WRI': u'[183]', u'ENTSOE': u'18WALL1-12345-0K', u'CARMA': u'[1622]', u'OPSD': nan}"
39,Arcos iberdrola,Arcos,Arcos frontera,,Arcos frontera,Natural Gas,CCGT,Spain,PP,1600.0,,36.6721,-5.8164,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Spain Power Plants Over 10 MW.csv","{u'GEO': u'G534', u'WRI': u'[199]', u'ENTSOE': u'18WARCOS3-123-0Z', u'CARMA': u'[1942]', u'OPSD': nan}"
40,Ardnacrusha,Ardnacrucha production unit,Ardnacrusha,,Ardnacrusha,Hydro,Run-Of-River,Ireland,PP,86.0,,52.7056,-8.6128,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Ireland and Northern Ireland.csv","{u'GEO': u'G980', u'WRI': u'[202]', u'ENTSOE': u'47W000000000230W', u'CARMA': u'[1953]', u'OPSD': nan}"
41,Arrubal,Arrubal,Arrubal,,Arrubal,Natural Gas,CCGT,Spain,PP,800.0,,42.4194,-2.2511,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Spain Power Plants Over 10 MW.csv","{u'GEO': u'G561', u'WRI': u'[229]', u'ENTSOE': u'18WARRU1-1234-0J', u'CARMA': u'[2132]', u'OPSD': nan}"
42,Aschach,Aschach,Aschach,,Aschach,Hydro,Run-Of-River,Austria,PP,287.4,,48.3853,14.023,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Verbund Power Plant.csv","{u'GEO': u'G735', u'WRI': u'[235]', u'ENTSOE': u'14W-BAS-KW-----I', u'CARMA': u'[2246]', u'OPSD': nan}"
43,Bahia bizkaia,Bahiab,Bahia algeciras,,Ctcc bahia algeciras,Natural Gas,CCGT,Spain,PP,820.536,,36.1829,-5.3905,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Spain Power Plants Over 10 MW.csv","{u'GEO': u'G537', u'WRI': u'[1038]', u'ENTSOE': u'18WBAHIAB-123-0X', u'CARMA': u'[2874]', u'OPSD': nan}"
44,Barrios,Barrios,Los barrios,,Barrios,Hard Coal,Steam Turbine,Spain,PP,570.05,,36.1828,-5.42,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Spain Power Plants Over 10 MW.csv","{u'GEO': u'G198', u'WRI': u'[343]', u'ENTSOE': u'18WBRR1-12345-0H', u'CARMA': u'[25833]', u'OPSD': nan}"
45,Candela,Candela,Edison candela,,Candela,Natural Gas,CCGT,Italy,PP,401.0,,41.2015335,15.4760165,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Italy Power Plant.csv","{u'GEO': u'G408', u'WRI': u'[712]', u'ENTSOE': u'26WIMPI-S16CNDLL', u'CARMA': u'[6924]', u'OPSD': nan}"
46,Cassano d'adda,Cassano,Cassano d'adda,,Cassano d’adda,Natural Gas,CCGT,Italy,PP,1000.0,,45.51916665,9.51524535,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Italy Power Plant.csv","{u'GEO': u'G421', u'WRI': u'[770]', u'ENTSOE': u'26WIMPI-S03ACMNW', u'CARMA': u'[7324]', u'OPSD': nan}"
47,Castellon,Castello,Castellon,,"Ctcc castellon,",Natural Gas,CCGT,Spain,PP,1642.35,,39.95925,-0.00098,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Spain Power Plants Over 10 MW.csv","{u'GEO': u'G568', u'WRI': u'[776, 1040]', u'ENTSOE': u'18WCTN4-123456-C', u'CARMA': u'[7363, 7367, 7374]', u'OPSD': nan}"
48,Castelnou,Castelnou,Castelnou,,Ciclo combinado castelnou,Natural Gas,CCGT,Spain,PP,790.68,,41.2167,-0.2928,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Spain Power Plants Over 10 MW.csv","{u'GEO': u'G541', u'WRI': u'[910]', u'ENTSOE': u'18WCTNU-12345-0U', u'CARMA': u'[7378]', u'OPSD': nan}"
49,Chivasso,Chivasso,Edipower chivasso,,Chivasso,Natural Gas,CCGT,Italy,PP,1179.0,,45.1844665,7.8852785,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Italy Power Plant.csv","{u'GEO': u'G443', u'WRI': u'[890]', u'ENTSOE': u'26WIMPI-S01CHVSE', u'CARMA': u'[8489]', u'OPSD': nan}"
50,Cofrentes,Cofrentes,Cofrentes,,Cofrentes,Nuclear,,Spain,PP,1102.0,,39.2134,-1.0509,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, EU Nuclear Power.csv","{u'GEO': u'G1298', u'WRI': u'[941]', u'ENTSOE': u'18WCOF1-12345-0O', u'CARMA': u'[8985]', u'OPSD': nan}"
51,Coo trois ponts,Coo,Coo and,,Coo,Hydro,Pumped Storage,Belgium,PP,1164.0,,50.3849,5.8618,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Belgium Power Plant.csv","{u'GEO': u'G752', u'WRI': u'[977]', u'ENTSOE': u'22WCOOXII000070C', u'CARMA': u'[9282]', u'OPSD': nan}"
52,Cristobal colon,Colon,Cristobal colon,,Cristobal colon,Natural Gas,CCGT,Spain,PP,400.0,,37.2156,-6.943,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Spain Power Plants Over 10 MW.csv","{u'GEO': u'G536', u'WRI': u'[1022]', u'ENTSOE': u'18WCOL4-12345-02', u'CARMA': u'[9688]', u'OPSD': nan}"
53,Drogenbos,Drogenbos tgv,Drogenbos,,Drogenbos,Natural Gas,CCGT,Belgium,PP,604.0,,50.8023,4.299,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Belgium Power Plant.csv","{u'GEO': u'G300', u'WRI': u'[1178, 1180]', u'ENTSOE': u'22WDROGEN0000863', u'CARMA': u'[11324]', u'OPSD': nan}"
54,Dublin bay,Dublin bay prod,Dublin bay ringsend,,Dublin bay,Natural Gas,CCGT,Ireland,PP,415.0,,53.34,-6.2049,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Ireland and Northern Ireland.csv","{u'GEO': u'G382', u'WRI': u'[1186]', u'ENTSOE': u'47W000000000171M', u'CARMA': u'[11387]', u'OPSD': nan}"
55,Edolo,Edolo,Edolo,,Edolo,Hydro,Pumped Storage,Italy,PP,1280.0,,46.178199,10.329159,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Italy Power Plant.csv","{u'GEO': u'G982', u'WRI': u'[1231]', u'ENTSOE': u'26WIMPI-S03EDLO9', u'CARMA': u'[11821]', u'OPSD': nan}"
56,Einaudi chiotas,Entracque_chro,Entracque chiotas piastra,,Entracque_chro,Hydro,Pumped Storage,Italy,PP,1184.0,,44.241425,7.399331,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Italy Power Plant.csv","{u'GEO': u'G985', u'WRI': u'[1333]', u'ENTSOE': u'26WIMPI-S01ENTRP', u'CARMA': u'[8420]', u'OPSD': nan}"
57,Einaudi rovina,Entracque rovina,Entracque rovina piastra,,Entracque rovina,Hydro,Pumped Storage,Italy,PP,134.0,,44.241425,7.399331,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Italy Power Plant.csv","{u'GEO': u'G986', u'WRI': u'[1332]', u'ENTSOE': u'26WIMPI-R01ENTRX', u'CARMA': u'[38112]', u'OPSD': nan}"
58,Filippo mela,Filippo del mela,Edipower san filippo del mela,,Filippo mela,Oil,Steam Turbine,Italy,PP,1280.0,,38.176949,15.279743,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Italy Power Plant.csv","{u'GEO': u'G656', u'WRI': u'[1467]', u'ENTSOE': u'26WIMPI-S19SDMCS', u'CARMA': u'[39144]', u'OPSD': nan}"
59,Freudenau,Freudenau,Freudenau,,Vienna freudenau,Hydro,Run-Of-River,Austria,PP,186.8,,48.1766,16.4814,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Verbund Power Plant.csv","{u'GEO': u'G739', u'WRI': u'[4579]', u'ENTSOE': u'14W-BFR-KW-----A', u'CARMA': u'[14110]', u'OPSD': nan}"
60,Gerlos,Gerlos,Gerlos,,Gerlos,Hydro,Reservoir,Austria,PP,200.2,,47.23417,11.89972,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Verbund Power Plant.csv","{u'GEO': u'G731', u'WRI': u'[1646]', u'ENTSOE': u'14W-TZG-KW-----H', u'CARMA': u'[14969]', u'OPSD': nan}"
61,Ghislain,Saint ghislain steg,Saint ghislain,,Saint ghislain steg,Natural Gas,CCGT,Belgium,PP,360.0,,50.4719,3.8248,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Belgium Power Plant.csv","{u'GEO': u'G303', u'WRI': u'[3722]', u'ENTSOE': u'22WSAINT-000221B', u'CARMA': u'[38690]', u'OPSD': nan}"
62,Gissi,Gissi,Gissi,,Gissi,Natural Gas,CCGT,Italy,PP,840.0,,42.050086,14.56345,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Italy Power Plant.csv","{u'GEO': u'G402', u'WRI': u'[1661]', u'ENTSOE': u'26WIMPI-S13CDGNT', u'CARMA': u'[15170]', u'OPSD': nan}"
63,Great island,Great island prod,Great island,,Great island,Oil,Steam Turbine,Ireland,PP,313.0,,52.2793,-6.9935,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Ireland and Northern Ireland.csv","{u'GEO': u'G655', u'WRI': u'[1726]', u'ENTSOE': u'47W000000000160R', u'CARMA': u'[15801]', u'OPSD': nan}"
64,Greifenstein,Greifenstein,Greifenstein,,Greifenstein,Hydro,Run-Of-River,Austria,PP,311.1,,48.3553,16.2424,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Verbund Power Plant.csv","{u'GEO': u'G711', u'WRI': u'[1736]', u'ENTSOE': u'14W-BGS-KW-----Q', u'CARMA': u'[15887]', u'OPSD': nan}"
65,Guardo,Guardo,Velilla guarda,,Ct guardo,Hard Coal,Steam Turbine,Spain,PP,516.0,,42.8181,-4.8539,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Spain Power Plants Over 10 MW.csv","{u'GEO': u'G210', u'WRI': u'[1034]', u'ENTSOE': u'18WGUA2-12345-0J', u'CARMA': u'[16182]', u'OPSD': nan}"
66,Harspranget,Harsprånget,Harspranget,,Harspranget,Hydro,Run-Of-River,Sweden,PP,977.0,,66.8857,19.8186,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Sweden Power Plant.csv","{u'GEO': u'G1167', u'WRI': u'[1860]', u'ENTSOE': u'46WPU0000000029L', u'CARMA': u'[16998]', u'OPSD': nan}"
67,Hausling,Häusling,Haeusling,,Häusling,Hydro,Pumped Storage,Austria,PP,360.0,,47.14613,11.967519,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Verbund Power Plant.csv","{u'GEO': u'G729', u'WRI': u'[2033]', u'ENTSOE': u'14W-TZH-KW-----7', u'CARMA': u'[17147]', u'OPSD': nan}"
68,Hojum,Hojum,Hojum,,Hojum,Hydro,Run-Of-River,Sweden,PP,184.0,,58.2804,12.2787,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Sweden Power Plant.csv","{u'GEO': u'G1176', u'WRI': u'[1958]', u'ENTSOE': u'46WPU0000000054M', u'CARMA': u'[18082]', u'OPSD': nan}"
69,Huntstown,Huntstown production,Huntstown,,Huntstown,Natural Gas,CCGT,Ireland,PP,747.0,,53.4119,-6.3261,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Ireland and Northern Ireland.csv","{u'GEO': u'G384', u'WRI': u'[2025, 2026]', u'ENTSOE': u'47W000000000173I', u'CARMA': u'[18874]', u'OPSD': nan}"
70,Kaprun oberstufe,Kaprun oberstufe,Kaprun oberstufe limberg,,Kaprun oberstufe,Hydro,Pumped Storage,Austria,PP,113.0,,47.1968,12.71922,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show, Verbund Power Plant.csv","{u'GEO': u'G716', u'WRI': u'[2194]', u'ENTSOE': u'14W-TKO-KW-----S', u'CARMA': u'[21222]', u'OPSD': nan}"
