None,Name,Name,Name,Name,Fueltype,Fueltype,Fueltype,Fueltype,Classification,Classification,Classification,Classification,Country,Country,Country,Country,Capacity,Capacity,Capacity,Capacity,lat,lat,lat,lat,lon,lon,lon,lon,File,File,File,File
1098,Oberems,,,Oberems argessa,Hydro,,,Hydro,,,,,Switzerland,,,Switzerland,8.2,,,8.2,46.281545,,,,7.695311,,,,,,,Switzerland Power Plant.csv
1099,Son reus,,,Son reus,Oil,,,Oil,,,,,Spain,,,Spain,451.0,,,489.75,39.5693907934,,,,2.65023708344,,,,,,,Spain Power Plants Over 10 MW.csv
1100,Cedeira capelada,,,Capelada,Wind,,,Wind,,,,,Spain,,,Spain,31.35,,,31.35,43.660443,,,,-8.057186,,,,,,,Spain Power Plants Over 10 MW.csv
1101,Las salinas,,,Salinas,Oil,,,Oil,,,,,Spain,,,Spain,134.22,,,123.36,28.50038,,,,-13.862719,,,,,,,Spain Power Plants Over 10 MW.csv
1102,Rialb,,,C.h. rialb .,Hydro,,,Hydro,,,,,Spain,,,Spain,30.7,,,24.774,41.9752689311,,,,1.25607848167,,,,,,,Spain Power Plants Over 10 MW.csv
1103,Mahon,,,Mahon burmeister,Oil,,,Oil,,,,,Spain,,,Spain,108.0,,,195.2,39.896436,,,,4.259713,,,,,,,Spain Power Plants Over 10 MW.csv
1104,Granadilla,,,"Granadilla vapor,",Oil,,,Oil,,,,,Spain,,,Spain,713.0,,,467.14,28.118816,,,,-16.575989,,,,,,,Spain Power Plants Over 10 MW.csv
1105,Sassello roveredo,,,Sassello,Hydro,,,Hydro,,,,,Switzerland,,,Switzerland,20.0,,,20.8,46.235122,,,,9.126217,,,,,,,Switzerland Power Plant.csv
1106,Beznau hydro,,,Beznau,Hydro,,,Hydro,,,,,Switzerland,,,Switzerland,21.45,,,25.7,47.5709089378,,,,8.25845718384,,,,,,,Switzerland Power Plant.csv
1107,Russein,,,Russein,Hydro,,,Hydro,,,,,Switzerland,,,Switzerland,10.2,,,10.52,46.7034088063,,,,8.85090351105,,,,,,,Switzerland Power Plant.csv
1108,Butarque,,,Secado termico lodos e.r.a.r. butarque,Natural Gas,,,Natural Gas,,,,,Spain,,,Spain,21.0,,,18.0,40.3393480621,,,,-3.76848220825,,,,,,,Spain Power Plants Over 10 MW.csv
1109,Stampa,,,Stampa,Hydro,,,Hydro,,,,,Switzerland,,,Switzerland,5.0,,,5.0,46.015621,,,,8.945343,,,,,,,Switzerland Power Plant.csv
1110,Naturno,,,Centrale naturno,Hydro,,,Hydro,,,,,Italy,,,Italy,220.58,,,175.0,46.648717,,,46.6498856,11.005066,,,11.0041954,,,,Italy Power Plant.csv
1111,Altahullion,,,Altahullion extension,Wind,,,Wind,,,,,United Kingdom,,,United Kingdom,37.7,,,38.0,54.9333333,,,54.65688285,-6.9166667,,,-6.5634352097,,,,UK Power Plant.csv
1112,Lough,,,Lough,Wind,,,Wind,,,,,United Kingdom,,,United Kingdom,7.8,,,8.0,54.6166667,,,54.65688285,-7.5,,,-6.5634352097,,,,UK Power Plant.csv
1113,Schwarzheide,,,Gud schwarzheide,Natural Gas,,,Natural Gas,,,,,Germany,,,Germany,114.815,,,122.0,51.4833333,,,51.4862235,13.8666667,,,13.8307596,,,,Germany Power Plants (conventional).csv
1114,Moralets,,,Moralets,Hydro,,,Hydro,,,,,Spain,,,Spain,221.4,,,219.14,42.4654490846,,,,0.694198608398,,,,,,,Spain Power Plants Over 10 MW.csv
1115,Pietrafitta nuova,,,Pietrafitta,Natural Gas,,,Natural Gas,,,,,Italy,,,Italy,400.0,,,365.0,43.029539,,,42.969772,12.099352,,,12.0863466,,,,Italy Power Plant.csv
1116,Hausham,,,Hausham,Oil,,,Oil,,,,,Germany,,,Germany,40.0,,,92.8,47.7465957679,,,47.7502104,11.8406867981,,,11.8393827,,,,Germany Power Plants (conventional).csv
1117,Eriste,,,Eriste,Hydro,,,Hydro,,,,,Spain,,,Spain,80.0,,,87.6,42.5898677138,,,,0.492668151855,,,,,,,Spain Power Plants Over 10 MW.csv
1118,Ceuta,,,"Ceuta,",Oil,,,Oil,,,,,Spain,,,Spain,89.4,,,48.7,35.89,,,,-5.35,,,,,,,Spain Power Plants Over 10 MW.csv
1119,Toran,,,Toran,Hydro,,,Hydro,,,,,Spain,,,Spain,13.2,,,13.12,42.231195,,,,-7.830264,,,,,,,Spain Power Plants Over 10 MW.csv
1120,Pampaneira,,,Pampaneira,Hydro,,,Hydro,,,,,Spain,,,Spain,12.8,,,12.8,36.9401510172,,,,-3.36095809937,,,,,,,Spain Power Plants Over 10 MW.csv
1121,Las ondinas,,,Ondinas,Hydro,,,Hydro,,,,,Spain,,,Spain,80.8,,,82.46,42.820561,,,,-6.487473,,,,,,,Spain Power Plants Over 10 MW.csv
1122,Mucone,,,Mucone,Hydro,,,Hydro,,,,,Italy,,,Italy,101.44,,,101.44,39.492898,,,39.493005,16.383794,,,16.3849498,,,,Italy Power Plant.csv
1123,Oliana,,,Oliana,Hydro,,,Hydro,,,,,Spain,,,Spain,38.38,,,37.62,42.068952,,,,1.313526,,,,,,,Spain Power Plants Over 10 MW.csv
1124,Sondrio,,,Sondrio,Hydro,,,Hydro,,,,,Italy,,,Italy,144.1,,,144.0,46.168995,,,46.1709447,9.869149,,,9.8767107,,,,Italy Power Plant.csv
1125,Brandariz,,,C. h. salto central brandariz,Hydro,,,Hydro,,,,,Spain,,,Spain,17.5,,,17.5,42.8166667,,,,-8.2833333,,,,,,,Spain Power Plants Over 10 MW.csv
1126,Quemada,,,Quemada,Wind,,,Wind,,,,,Spain,,,Spain,26.25,,,44.25,38.914665,,,,-3.536884,,,,,,,Spain Power Plants Over 10 MW.csv
1127,Bmhkw recklinghausen,,,Bmhkw re recklinghausen,Waste,,,Waste,,,,,Germany,,,Germany,16.56,,,14.0,51.6166667,,,51.6143815,7.2,,,7.1978546,,,,Germany Power Plants (conventional).csv
1128,Cerro blanco,,,Blanco,Wind,,,Wind,,,,,Spain,,,Spain,42.0,,,42.0,42.527291,,,,-3.43827,,,,,,,Spain Power Plants Over 10 MW.csv
1129,Gronnsdal,,,Gronsdal,Hydro,,,Hydro,,,,,Norway,,,Norway,36.0,,,35.0,60.4333333,,,,5.85,,,,,,,Norway Power Plants (ENTSOE) .csv
1130,Hodnaberg,,,Hodnaberg,Hydro,,,Hydro,,,,,Norway,,,Norway,29.4,,,43.0,60.62296,,,,6.42286,,,,,,,Norway Power Plants (ENTSOE) .csv
1131,Evanger,,,Evanger,Hydro,,,Hydro,,,,,Norway,,,Norway,330.0,,,446.0,60.62296,,,,6.42286,,,,,,,Norway Power Plants (ENTSOE) .csv
1132,Froland,,,Froland,Hydro,,,Hydro,,,,,Norway,,,Norway,19.55,,,29.0,60.3833333,,,,5.8,,,,,,,Norway Power Plants (ENTSOE) .csv
1133,Kvittingen,,,Kvittingen,Hydro,,,Hydro,,,,,Norway,,,Norway,42.0,,,56.0,60.4666667,,,,5.8833333,,,,,,,Norway Power Plants (ENTSOE) .csv
1134,Dale,,,Dale tue,Hydro,,,Hydro,,,,,Norway,,,Norway,142.54,,,178.0,60.4833333,,,,5.7333333,,,,,,,Norway Power Plants (ENTSOE) .csv
1135,Ulvik,,,Ulvik,Hydro,,,Hydro,,,,,Norway,,,Norway,17.65,,,24.0,60.57117,,,,6.91701,,,,,,,Norway Power Plants (ENTSOE) .csv
1136,Steinsland,,,Steinsland,Hydro,,,Hydro,,,,,Norway,,,Norway,148.0,,,198.0,60.9166667,,,,5.9833333,,,,,,,Norway Power Plants (ENTSOE) .csv
1137,Vemundsbotn,,,Vemundsbotn,Hydro,,,Hydro,,,,,Norway,,,Norway,45.0,,,55.0,60.79887,,,,5.30418,,,,,,,Norway Power Plants (ENTSOE) .csv
1138,Asebotn,,,Asebotn,Hydro,,,Hydro,,,,,Norway,,,Norway,15.5,,,17.0,60.1,,,,6.6333333,,,,,,,Norway Power Plants (ENTSOE) .csv
1139,Fosse,,,Fosse,Hydro,,,Hydro,,,,,Norway,,,Norway,25.0,,,25.0,60.4833333,,,,5.7333333,,,,,,,Norway Power Plants (ENTSOE) .csv
1140,Kaldestad,,,Kaldestad,Hydro,,,Hydro,,,,,Norway,,,Norway,24.0,,,30.0,60.4833333,,,,5.7333333,,,,,,,Norway Power Plants (ENTSOE) .csv
1141,Hellandsfoss,,,Hellandsfoss,Hydro,,,Hydro,,,,,Norway,,,Norway,32.7,,,35.0,60.1,,,,6.6333333,,,,,,,Norway Power Plants (ENTSOE) .csv
1142,Herlandsfoss,,,Herlandsfoss,Hydro,,,Hydro,,,,,Norway,,,Norway,13.5,,,15.0,60.55,,,,5.5833333,,,,,,,Norway Power Plants (ENTSOE) .csv
1143,Matre,,,Matre,Hydro,,,Hydro,,,,,Norway,,,Norway,217.8,,,275.0,60.79887,,,,5.30418,,,,,,,Norway Power Plants (ENTSOE) .csv
1144,Nygard bkk,,,Nygard,Hydro,,,Hydro,,,,,Norway,,,Norway,60.0,,,93.0,60.1,,,,6.6333333,,,,,,,Norway Power Plants (ENTSOE) .csv
1145,Stordal,,,Stordal,Hydro,,,Hydro,,,,,Norway,,,Norway,25.74,,,37.0,60.25,,,,5.1333333,,,,,,,Norway Power Plants (ENTSOE) .csv
1146,Fossmark,,,Fossmark,Hydro,,,Hydro,,,,,Norway,,,Norway,9.0,,,11.0,60.4833333,,,,5.7333333,,,,,,,Norway Power Plants (ENTSOE) .csv
1147,Myster,,,Myster,Hydro,,,Hydro,,,,,Norway,,,Norway,107.0,,,125.0,60.4833333,,,,5.7333333,,,,,,,Norway Power Plants (ENTSOE) .csv
1148,Oksebotn,,,Oksebotn,Hydro,,,Hydro,,,,,Norway,,,Norway,11.4,,,16.0,60.62296,,,,6.42286,,,,,,,Norway Power Plants (ENTSOE) .csv
1149,Heggmoen,,,Heggmoen,Hydro,,,Hydro,,,,,Norway,,,Norway,10.25,,,12.0,67.28,,,,14.40501,,,,,,,Norway Power Plants (ENTSOE) .csv
1150,Boinersa,,,Boinersa,Oil,,,Oil,,,,,Spain,,,Spain,26.775,,,24.6,42.65,,,,-8.9,,,,,,,Spain Power Plants Over 10 MW.csv
1151,Viulfoss,,,Viulfoss,Hydro,,,Hydro,,,,,Norway,,,Norway,10.0,,,13.0,60.1166667,,,,10.2666667,,,,,,,Norway Power Plants (ENTSOE) .csv
1152,Gamlebrofoss,,,Gamlebrofoss,Hydro,,,Hydro,,,,,Norway,,,Norway,18.0,,,17.0,59.66858,,,,9.65017,,,,,,,Norway Power Plants (ENTSOE) .csv
1153,Pikerfoss,,,Pikerfoss,Hydro,,,Hydro,,,,,Norway,,,Norway,16.0,,,18.0,59.85,,,,9.45,,,,,,,Norway Power Plants (ENTSOE) .csv
1154,Hofsfoss,,,Hofsfoss,Hydro,,,Hydro,,,,,Norway,,,Norway,28.0,,,32.0,60.16804,,,,10.25647,,,,,,,Norway Power Plants (ENTSOE) .csv
1155,Stendal bvt,,,Stendal,Natural Gas,,,Natural Gas,,,,,Germany,,,Germany,23.814,,,22.0,52.6,,,52.6051341,11.85,,,11.8593217,,,,Germany Power Plants (conventional).csv
1156,Monzon,,,Sales monzon,Natural Gas,,,Natural Gas,,,,,Spain,,,Spain,9.88,,,14.365,41.9108367214,,,,0.194063186646,,,,,,,Spain Power Plants Over 10 MW.csv
1157,Alijar,,,Alijar,Wind,,,Wind,,,,,Spain,,,Spain,24.0,,,24.0,36.686454,,,,-6.136063,,,,,,,Spain Power Plants Over 10 MW.csv
1158,Erlangen,,,Erlangen coal,Coal,,,Coal,,,,,Germany,,,Germany,48.6,,,17.4,49.5897222,,,49.598121,11.0038889,,,11.003653,,,,Germany Power Plants (conventional).csv
1159,Herbrechtingen,,,Bio herbrechtingen,Waste,,,Waste,,,,,Germany,,,Germany,15.7,,,14.0,48.6217327471,,,48.6226932,10.1760005951,,,10.1761696,,,,Germany Power Plants (conventional).csv
1160,Hiltrop,,,Hiltrop,Natural Gas,,,Natural Gas,,,,,Germany,,,Germany,26.5,,,44.0,51.4833333,,,51.482321,7.2166667,,,7.2187465,,,,Germany Power Plants (conventional).csv
1161,Vicedo,,,Vicedo,Wind,,,Wind,,,,,Spain,,,Spain,24.6,,,24.6,42.8666667,,,,-8.75,,,,,,,Spain Power Plants Over 10 MW.csv
1162,Tea,,,Tea,Wind,,,Wind,,,,,Spain,,,Spain,48.1,,,48.1,42.2166667,,,,-8.3666667,,,,,,,Spain Power Plants Over 10 MW.csv
1163,Rioboo,,,Rioboo,Wind,,,Wind,,,,,Spain,,,Spain,20.8,,,20.8,42.6333333,,,,-7.95,,,,,,,Spain Power Plants Over 10 MW.csv
1164,Buio,,,Buio,Wind,,,Wind,,,,,Spain,,,Spain,40.3,,,40.3,43.267392,,,,-8.783311,,,,,,,Spain Power Plants Over 10 MW.csv
1165,Bmhkw lunen,,,Bmk lünen,Waste,,,Waste,,,,,Germany,,,Germany,20.0,,,20.0,51.6166667,,,51.6140848,7.5166667,,,7.5239978,,,,Germany Power Plants (conventional).csv
1166,Mhkw offenbach,,,Müllheizkraftwerk offenbach,Waste,,,Waste,,,,,Germany,,,Germany,11.8,,,10.4,50.1,,,50.088766,8.7666667,,,8.766286,,,,Germany Power Plants (conventional).csv
1167,Gurtnellen,,,Gurtnellen,Hydro,,,Hydro,,,,,Switzerland,,,Switzerland,6.0,,,6.6,46.740074,,,,8.624676,,,,,,,Switzerland Power Plant.csv
1168,Oberrickenbach,,,Oberrickenbach,Hydro,,,Hydro,,,,,Switzerland,,,Switzerland,8.5,,,8.7,46.88773,,,,8.417277,,,,,,,Switzerland Power Plant.csv
1169,Kaiserstuhl,,,Kaiserstuhl,Hydro,,,Hydro,,,,,Switzerland,,,Switzerland,10.0,,,10.3,46.813809,,,,8.17205,,,,,,,Switzerland Power Plant.csv
1170,Potsdam,,,Potsdam süd,Natural Gas,,,Natural Gas,,,,,Germany,,,Germany,42.0,,,81.8,52.3988578213,,,52.4009309,13.065662384,,,13.0591397,,,,Germany Power Plants (conventional).csv
1171,Miro,,,Miro,Oil,,,Oil,,,,,Germany,,,Germany,28.2,,,70.0,49.0047222,,,49.0140679,8.3858333,,,8.4044366,,,,Germany Power Plants (conventional).csv
1172,Fertimolina,,,Fertimolina,Natural Gas,,,Natural Gas,,,,,Spain,,,Spain,10.749,,,10.0,40.843575,,,,-1.887616,,,,,,,Spain Power Plants Over 10 MW.csv
1173,Smola island,,,Smola,Wind,,,Wind,,,,,Norway,,,Norway,150.4,,,160.0,63.4,,,,8.0,,,,,,,Norway Power Plants (ENTSOE) .csv
1174,Las conchas,,,Conchas,Hydro,,,Hydro,,,,,Spain,,,Spain,48.8,,,49.38,42.407456473,,,,-7.53164291382,,,,,,,Spain Power Plants Over 10 MW.csv
1175,Velle,,,Velle,Hydro,,,Hydro,,,,,Spain,,,Spain,80.0,,,86.48,42.3333333,,,,-7.85,,,,,,,Spain Power Plants Over 10 MW.csv
1176,Carrio,,,Cabrito,Wind,,,Wind,,,,,Spain,,,Spain,31.45,,,30.0,42.660853,,,,-8.112852,,,,,,,Spain Power Plants Over 10 MW.csv
1177,Muras,,,Muras,Wind,,,Wind,,,,,Spain,,,Spain,48.84,,,48.84,43.466846,,,,-7.723832,,,,,,,Spain Power Plants Over 10 MW.csv
1178,Navazo,,,Navazo,Wind,,,Wind,,,,,Spain,,,Spain,49.95,,,38.55,42.249178,,,,-4.198491,,,,,,,Spain Power Plants Over 10 MW.csv
1179,Treito,,,Monte treito,Wind,,,Wind,,,,,Spain,,,Spain,30.39,,,30.39,42.772994,,,,-8.8444,,,,,,,Spain Power Plants Over 10 MW.csv
1180,Forgosello,,,Forgoselo,Wind,,,Wind,,,,,Spain,,,Spain,24.42,,,24.42,43.426973,,,,-8.067068,,,,,,,Spain Power Plants Over 10 MW.csv
1181,Plana gamesa,,,Plana,Wind,,,Wind,,,,,Spain,,,Spain,44.35,,,61.5,41.580138,,,,-1.117193,,,,,,,Spain Power Plants Over 10 MW.csv
1182,Pena da cruz,,,Da cruz,Wind,,,Wind,,,,,Spain,,,Spain,25.5,,,22.95,42.25,,,,-7.3833333,,,,,,,Spain Power Plants Over 10 MW.csv
1183,Viveiro,,,"Viveiro kw,",Wind,,,Wind,,,,,Spain,,,Spain,36.55,,,36.55,43.6622836092,,,,-7.59344100952,,,,,,,Spain Power Plants Over 10 MW.csv
1184,Pedregal tremuzo,,,Pedregal tremuzo,Wind,,,Wind,,,,,Spain,,,Spain,27.2,,,44.6,42.776173,,,,-9.060316,,,,,,,Spain Power Plants Over 10 MW.csv
1185,Conjuro,,,Conjuro,Wind,,,Wind,,,,,Spain,,,Spain,34.0,,,30.6,36.750665,,,,-3.517902,,,,,,,Spain Power Plants Over 10 MW.csv
1186,Carrasquillo,,,Carrasquillo,Wind,,,Wind,,,,,Spain,,,Spain,49.3,,,49.3,42.1932980312,,,,-4.29393768311,,,,,,,Spain Power Plants Over 10 MW.csv
1187,Montejo,,,Montejo bricia,Wind,,,Wind,,,,,Spain,,,Spain,13.6,,,13.6,40.632459,,,,-5.622869,,,,,,,Spain Power Plants Over 10 MW.csv
1188,Montija,,,Montija,Wind,,,Wind,,,,,Spain,,,Spain,30.8,,,30.8,38.9503,,,,-0.652004,,,,,,,Spain Power Plants Over 10 MW.csv
1189,Malagon eufer,,,Malagon,Wind,,,Wind,,,,,Spain,,,Spain,86.0,,,86.0,39.194082,,,,-3.932529,,,,,,,Spain Power Plants Over 10 MW.csv
1190,Silvarredonda,,,Silvarredonda,Wind,,,Wind,,,,,Spain,,,Spain,16.9,,,16.9,43.200444,,,,-8.872763,,,,,,,Spain Power Plants Over 10 MW.csv
1191,Pilar,,,Pilar,Wind,,,Wind,,,,,Spain,,,Spain,15.0,,,15.0,41.580138,,,,-1.117193,,,,,,,Spain Power Plants Over 10 MW.csv
1192,Valdepero,,,Valdepero,Wind,,,Wind,,,,,Spain,,,Spain,30.0,,,30.0,42.075324,,,,-4.500501,,,,,,,Spain Power Plants Over 10 MW.csv
1193,Esteban navarra,,,Esteban,Wind,,,Wind,,,,,Spain,,,Spain,35.47,,,66.47,42.6574,,,,-1.702626,,,,,,,Spain Power Plants Over 10 MW.csv
1194,Redondo easa,,,Redonda,Wind,,,Wind,,,,,Spain,,,Spain,49.5,,,49.5,43.1098812736,,,,-9.03350830078,,,,,,,Spain Power Plants Over 10 MW.csv
1195,Salas,,,Salas,Hydro,,,Hydro,,,,,Spain,,,Spain,53.1,,,52.82,41.956095,,,,-7.973959,,,,,,,Spain Power Plants Over 10 MW.csv
1196,Juan es,,,Juan,Hydro,,,Hydro,,,,,Spain,,,Spain,33.44,,,38.81,40.3618495478,,,,-4.39830780029,,,,,,,Spain Power Plants Over 10 MW.csv
1197,Castrelo fenosa,,,Castrelo,Hydro,,,Hydro,,,,,Spain,,,Spain,112.0,,,135.59,42.2979765602,,,,-8.06696891785,,,,,,,Spain Power Plants Over 10 MW.csv
1198,Entrepenas,,,Entrepenas,Hydro,,,Hydro,,,,,Spain,,,Spain,36.86,,,40.8,40.517524,,,,-2.792505,,,,,,,Spain Power Plants Over 10 MW.csv
1199,Gatun cidacos,,,Gatun,Wind,,,Wind,,,,,Spain,,,Spain,66.0,,,66.0,42.216613,,,,-2.005246,,,,,,,Spain Power Plants Over 10 MW.csv
1200,Peares,,,Peares,Hydro,,,Hydro,,,,,Spain,,,Spain,159.0,,,199.17,42.4536237092,,,,-7.73336648941,,,,,,,Spain Power Plants Over 10 MW.csv
1201,Albarellos,,,Albarellos,Hydro,,,Hydro,,,,,Spain,,,Spain,59.2,,,67.6,42.433318,,,,-8.144306,,,,,,,Spain Power Plants Over 10 MW.csv
1202,Mandeo zarzo,,,Mandeo zarzo,Hydro,,,,,,,,Spain,,,Spain,26.8,,,25.6,43.234692,,,,-8.017052,,,,,,,Spain Power Plants Over 10 MW.csv
1203,Cierreux,,,Cierreux tj,Oil,,,Oil,,,,,Belgium,,,Belgium,18.59,,,18.6,50.244402,,,,5.930152,,,,,,,Belgium Power Plant.csv
1204,Zedelgem,,,Zedelgem tj,Oil,,,Oil,,,,,Belgium,,,Belgium,20.0,,,18.6,51.142355,,,,3.136801,,,,,,,Belgium Power Plant.csv
1205,Noordschote,,,Noordschote tj,Oil,,,Oil,,,,,Belgium,,,Belgium,20.0,,,18.6,50.954802,,,,2.810265,,,,,,,Belgium Power Plant.csv
1206,Zwijndrecht lanxess,,,Zwijndrecht lanxess,Natural Gas,,,Natural Gas,,,,,Belgium,,,Belgium,55.0,,,58.0,51.23821,,,,4.340823,,,,,,,Belgium Power Plant.csv
1207,Zelzate,,,Zelzate tj,Oil,,,Oil,,,,,Belgium,,,Belgium,20.0,,,18.6,51.189633,,,,3.80777,,,,,,,Belgium Power Plant.csv
1208,Deux acren,,,Deux acren tj,Oil,,,Oil,,,,,Belgium,,,Belgium,18.5,,,18.6,50.730261,,,,3.853149,,,,,,,Belgium Power Plant.csv
1209,Beerse,,,Beerse tj,Oil,,,Oil,,,,,Belgium,,,Belgium,40.0,,,33.2,51.319266,,,,4.853045,,,,,,,Belgium Power Plant.csv
1210,Schelle,,,Schelle wind,Wind,,,Wind,,,,,Belgium,,,Belgium,4.5,,,4.5,51.1261520468,,,,4.34114456177,,,,,,,Belgium Power Plant.csv
1211,Tunnsjo,,,Tunnsjo,Hydro,,,Hydro,,,,,Norway,,,Norway,25.7,,,32.0,64.6833333,,,,13.65,,,,,,,Norway Power Plants (ENTSOE) .csv
1212,Zeebrugge,,,Zeebrugge tj,Oil,,,Oil,,,,,Belgium,,,Belgium,20.0,,,18.6,51.329015,,,,3.181878,,,,,,,Belgium Power Plant.csv
1213,Doel,,,Doel,Nuclear,,,Nuclear,,,,,Belgium,,,Belgium,2921.0,,,3054.0,51.3247222222,,,,4.2586111111,,,,,,,EU Nuclear Power.csv
1214,Sorfjord,,,Sorfjord,Hydro,,,Hydro,,,,,Norway,,,Norway,71.0,,,88.0,68.7030556,,,,15.7013889,,,,,,,Norway Power Plants (ENTSOE) .csv
1215,Buda,,,Buda tj,Oil,,,Oil,,,,,Belgium,,,Belgium,20.0,,,18.6,50.9079040794,,,,4.41547393799,,,,,,,Belgium Power Plant.csv
1216,Colladetes,,,Les colladetes,Wind,,,Wind,,,,,Spain,,,Spain,35.64,,,36.63,40.8666667,,,,0.7166667,,,,,,,Spain Power Plants Over 10 MW.csv
1217,Sudstadt,,,Südstadt,Natural Gas,,,Natural Gas,,,,,Germany,,,Germany,33.0,,,35.0,50.9333333,,,50.938361,6.95,,,6.959974,,,,Germany Power Plants (conventional).csv
1218,Koln merheim,,,Merheim,Natural Gas,,,Natural Gas,,,,,Germany,,,Germany,5.2,,,15.8,50.9333333,,,50.938361,6.95,,,6.959974,,,,Germany Power Plants (conventional).csv
1219,Nerea,,,Nerea,Wind,,,Wind,,,,,Spain,,,Spain,41.25,,,39.75,42.024761,,,,-6.695556,,,,,,,Spain Power Plants Over 10 MW.csv
1220,Gidea,,,Gidea,Hydro,,,Hydro,,,,,Sweden,,,Sweden,18.45,,,17.0,63.55,,,,18.6166667,,,,,,,Sweden Power Plant.csv
1221,Bjorna,,,Bjorna,Hydro,,,Hydro,,,,,Sweden,,,Sweden,17.0,,,17.0,63.5666667,,,,18.55,,,,,,,Sweden Power Plant.csv
1222,Gidbole,,,Gidbole,Hydro,,,Hydro,,,,,Sweden,,,Sweden,13.5,,,12.0,63.4,,,,19.05,,,,,,,Sweden Power Plant.csv
1223,Gideabacka,,,Gideabacka,Hydro,,,Hydro,,,,,Sweden,,,Sweden,15.8,,,14.0,63.3333333,,,,19.1,,,,,,,Sweden Power Plant.csv
1224,Garona verde,,,Garona verda,Natural Gas,,,Natural Gas,,,,,Spain,,,Spain,17.0,,,14.95,42.810764,,,,0.710496,,,,,,,Spain Power Plants Over 10 MW.csv
1225,Truchas cinca,,,Truchas cinca,Natural Gas,,,Natural Gas,,,,,Spain,,,Spain,26.54,,,23.92,42.15191,,,,0.222472,,,,,,,Spain Power Plants Over 10 MW.csv
1226,Fuente piedra,,,Becosa fuente piedra,Waste,,,Waste,,,,,Spain,,,Spain,8.5,,,16.434,37.135264,,,,-4.73,,,,,,,Spain Power Plants Over 10 MW.csv
1227,Bieudron,,,Bieudron,Hydro,,,Hydro,,,,,Switzerland,,,Switzerland,1269.0,,,1285.0,46.229076,,,46.4522866,7.359417,,,7.5617641,,,,Switzerland Power Plant.csv
1228,Nendaz,,,Nendaz,Hydro,,,Hydro,,,,,Switzerland,,,Switzerland,408.0,,,392.0,46.1899323974,,,46.1807413,7.3120880127,,,7.4057866,,,,Switzerland Power Plant.csv
1229,Sama,,,Sama,Hydro,,,Hydro,,,,,Norway,,,Norway,7.9,,,8.0,63.7166667,,,,9.5666667,,,,,,,Norway Power Plants (ENTSOE) .csv
1230,Urke,,,Urke,Hydro,,,Hydro,,,,,Norway,,,Norway,9.95,,,6.0,62.2029,,,,6.12722,,,,,,,Norway Power Plants (ENTSOE) .csv
1231,Andasol guadix,,,Andasol,Solar,,,Solar,,,,,Spain,,,Spain,100.0,,,149.7,37.160117,,,,-3.072042,,,,,,,Spain Power Plants Over 10 MW.csv
1232,Rendalen,,,Rendalen,Hydro,,,Hydro,,,,,Norway,,,Norway,92.0,,,113.0,61.7333333,,,,11.3833333,,,,,,,Norway Power Plants (ENTSOE) .csv
1233,Cortijo guerra enhol,,,Noguera,Wind,,,Wind,,,,,Spain,,,Spain,28.0,,,28.9,36.5281914357,,,,-6.19010925293,,,,,,,Spain Power Plants Over 10 MW.csv
1234,Seixo,,,Monte seixo cando,Wind,,,Wind,,,,,Spain,,,Spain,34.98,,,34.98,42.4,,,,-8.4333333,,,,,,,Spain Power Plants Over 10 MW.csv
1235,Valdeconejos,,,Valdeconejos,Wind,,,Wind,,,,,Spain,,,Spain,32.3,,,32.3,40.79467,,,,-0.810116,,,,,,,Spain Power Plants Over 10 MW.csv
1236,Sardon,,,Sardon,Wind,,,Wind,,,,,Spain,,,Spain,25.5,,,25.5,36.7702423663,,,,-2.95429229736,,,,,,,Spain Power Plants Over 10 MW.csv
1237,Da loba,,,Serra da loba,Wind,,,Wind,,,,,Spain,,,Spain,36.0,,,46.0,43.3125636191,,,,-7.9146194458,,,,,,,Spain Power Plants Over 10 MW.csv
1238,Cando,,,Serra do cando,Wind,,,Wind,,,,,Spain,,,Spain,29.23,,,29.23,42.4,,,,-8.4333333,,,,,,,Spain Power Plants Over 10 MW.csv
1239,Cerradilla,,,Cerradilla,Wind,,,Wind,,,,,Spain,,,Spain,72.0,,,63.5,37.34485,,,,-2.509129,,,,,,,Spain Power Plants Over 10 MW.csv
1240,Muela norte,,,Mula,Wind,,,Wind,,,,,Spain,,,Spain,29.75,,,30.0,41.580138,,,,-1.117193,,,,,,,Spain Power Plants Over 10 MW.csv
1241,Celano sadam,,,Celano,Natural Gas,,,Natural Gas,,,,,Italy,,,Italy,180.0,,,180.0,42.045833,,,42.08553,13.5475,,,13.539798,,,,Italy Power Plant.csv
1242,Jerez mojo gallardo,,,Jerez,Wind,,,Wind,,,,,Spain,,,Spain,46.2,,,42.5,36.686454,,,,-6.136063,,,,,,,Spain Power Plants Over 10 MW.csv
1243,Cerro oliva,,,Oliva,Wind,,,Wind,,,,,Spain,,,Spain,56.86,,,76.86,39.797707,,,,-3.94434,,,,,,,Spain Power Plants Over 10 MW.csv
1244,Negredo,,,Negredo,Wind,,,Wind,,,,,Spain,,,Spain,18.0,,,18.0,41.326797,,,,-3.314356,,,,,,,Spain Power Plants Over 10 MW.csv
1245,Majogazas,,,Majogazas,Wind,,,Wind,,,,,Spain,,,Spain,28.5,,,49.5,38.672154,,,,-2.409913,,,,,,,Spain Power Plants Over 10 MW.csv
