id,Name,Country,Fueltype,location,File,Technology,Capacity,lat,lon
0,"""helmshäger berg""",Germany,Natural Gas,Greifswald,Germany Power Plants (conventional).csv,,14.7,54.095791,13.3815238
1,Aall ulefoss,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,8.0,,
2,Aalst syral,Belgium,Natural Gas,,Belgium Power Plant.csv,,43.0,,
3,Aalst syral st,Belgium,Natural Gas,,Belgium Power Plant.csv,,5.0,,
4,Aalter tj,Belgium,Oil,,Belgium Power Plant.csv,,18.6,,
5,Aarau stadt,Switzerland,Hydro,,Switzerland Power Plant.csv,,16.93,,
6,Aarberg,Switzerland,Hydro,,Switzerland Power Plant.csv,,15.2,,
7,Aarburg,Switzerland,Hydro,,Switzerland Power Plant.csv,,0.42,,
8,Aarewerk thun,Switzerland,Hydro,,Switzerland Power Plant.csv,,9.15,,
9,Abelvattnet,Sweden,Hydro,"Ume Älv River, close to the Norwegian border",Sweden Power Plant.csv,,5.0,,
10,Abengoa servicios urbanos,Spain,Waste,,Spain Power Plants Over 10 MW.csv,,30.0,,
11,Aberthaw,United Kingdom,Coal,Wales,UK Power Plant.csv,,1586.0,52.2928116,-3.7389299
12,Aberthaw,United Kingdom,Natural Gas,Wales,UK Power Plant.csv,,51.0,52.2928116,-3.7389299
13,Abfallentsorgungszentrum asdonkshof,Germany,Waste,Kamp-Lintfort,Germany Power Plants (conventional).csv,,20.8,51.5017981,6.547923
14,Abjora,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,103.0,,
15,Abono,Spain,Coal,,Spain Power Plants Over 10 MW.csv,,877.66,,
16,Aboyeu,Switzerland,Hydro,,Switzerland Power Plant.csv,,3.3,,
17,Abuela santa ana,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,49.5,,
18,Abwinden asten,Austria,Hydro,,Verbund Power Plant.csv,,168.0,,
19,Acampo arias,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,12.0,,
20,Acampo armijo,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,18.0,,
21,Acebo,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,17.82,,
22,"Aceca,",Spain,Natural Gas,,Spain Power Plants Over 10 MW.csv,,758.74,,
23,"Aceites marpoles, s.l.",Spain,Waste,,Spain Power Plants Over 10 MW.csv,,11.57,,
24,Aceites sur coosur s.a.,Spain,Waste,,Spain Power Plants Over 10 MW.csv,,13.7,,
25,Aceria,Spain,Waste,,Spain Power Plants Over 10 MW.csv,,19.44,,
26,Achanalt,United Kingdom,Hydro,Scotland,UK Power Plant.csv,,3.0,56.7861112,-4.1140517
27,Achany,United Kingdom,Wind,Scotland,UK Power Plant.csv,,38.0,56.7861112,-4.1140517
28,Ackersand,Switzerland,Hydro,"Gohlhusbrügg, Lützelflüh",Switzerland Power Plant.csv,,64.4,,
29,Ackersand,Switzerland,Hydro,Gurtnellen,Switzerland Power Plant.csv,,29.2,46.7376202,8.6281646
30,Adamselv,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,60.0,,
31,Ads anlage,Germany,Natural Gas,Industriepark Höchst,Germany Power Plants (conventional).csv,,96.5,50.0858144,8.54084748984
32,Ads juneda,Spain,Waste,,Spain Power Plants Over 10 MW.csv,,15.0,,
33,Afrikahaven,Netherlands,Wind,Amsterdam,Netherlands Power Plant.csv,,27.0,52.3745403,4.89797550562
34,Agdenes,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,2.0,,
35,Aghada,Ireland,Natural Gas,,Ireland and Northern Ireland.csv,,528.0,,
36,Aghada ccgt,Ireland,Natural Gas,,Ireland and Northern Ireland.csv,CCGT,435.0,,
37,Agreda,Spain,Waste,,Spain Power Plants Over 10 MW.csv,,16.334,,
38,Agreda,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,18.0,,
39,Agro sevilla,Spain,Natural Gas,,Spain Power Plants Over 10 MW.csv,,13.585,,
40,Agroenergetica baena,Spain,Waste,,Spain Power Plants Over 10 MW.csv,,20.0,,
41,Agropor,Spain,Waste,,Spain Power Plants Over 10 MW.csv,,14.14,,
42,Agrupacio ramaders noguera,Spain,Waste,,Spain Power Plants Over 10 MW.csv,,15.0,,
43,Aguallal ampl. re,Spain,,,Spain Power Plants Over 10 MW.csv,,24.95,,
44,Aguallal ampliada con re,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,11.88,,
45,Aguas,Spain,Oil,,Spain Power Plants Over 10 MW.csv,,13.6,,
46,Aguavientos,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,24.42,,
47,Aguayo,Spain,Hydro,,Spain Power Plants Over 10 MW.csv,,360.6,,
48,Aguijal,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,50.0,,
49,Aguila,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,19.5,,
50,Agujero,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,16.5,,
51,Agustin,Spain,Hydro,,Spain Power Plants Over 10 MW.csv,,62.88,,
52,Agustin almochuel,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,50.0,,
53,Aguzaderas,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,96.0,,
54,Ahkw neunkirchen,Germany,Waste,Neunkirchen,Germany Power Plants (conventional).csv,,11.6,49.3464752,7.18432094881
55,Ahrensfelde,Germany,Natural Gas,Ahrensfelde,Germany Power Plants (conventional).csv,,150.0,52.5770767,13.5719004
56,Aibar,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,33.84,,
57,Aigas,United Kingdom,Hydro,Scotland,UK Power Plant.csv,,20.0,56.7861112,-4.1140517
58,Aigle,France,Hydro,,France Power Plant.csv,,360.0,,
59,Aiguamoix,Spain,Hydro,,Spain Power Plants Over 10 MW.csv,,31.77,,
60,Airolo,Switzerland,Hydro,Montlingen,Switzerland Power Plant.csv,,60.0,47.334485,9.5892207
61,Aizkibel corregida potencia,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,12.52,,
62,Ajaure,Sweden,Hydro,Ume älv,Sweden Power Plant.csv,,86.0,,
63,Akkats,Sweden,Hydro,Lule älv,Sweden Power Plant.csv,,150.0,,
64,Akland,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,5.0,,
65,Akraelva,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,6.0,,
66,Al,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,4.0,,
67,Alabe cuadramon,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,18.75,,
68,Alabe foret,Spain,Natural Gas,,Spain Power Plants Over 10 MW.csv,,23.85,,
69,Alabe labrada,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,18.75,,
70,Alabe leste,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,14.25,,
71,Alabe lomba,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,22.5,,
72,Alabe mareiro,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,15.0,,
73,Alabe montemayor norte,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,21.0,,
74,Alabe montemayor sur,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,12.75,,
75,Alabe nordes,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,20.25,,
76,"Alabe refachon kw,",Spain,Wind,,Spain Power Plants Over 10 MW.csv,,21.0,,
77,Alabe soan,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,19.5,,
78,Alabe soan ampl. re,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,12.75,,
79,Alabe terral,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,27.0,,
80,Alabe ventoada ampliac.,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,22.5,,
81,Alaiz,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,26.4,,
82,Alamo,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,36.0,,
83,Albarellos,Spain,Hydro,,Spain Power Plants Over 10 MW.csv,,67.6,,
84,Albbruck,Switzerland,Hydro,Ried-Brig,Switzerland Power Plant.csv,,84.9,46.3150269,8.0166829
85,Albbruck wehrkraftwerk,Switzerland,Hydro,Elm,Switzerland Power Plant.csv,,28.4,46.9188827,9.1718971
86,Alborto,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,15.18,,
87,Albuidete,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,13.5,,
88,Alburejos,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,10.0,,
89,Alcarama,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,45.05,,
90,Alconera,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,38.82,,
91,Alcor air,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,15.0,,
92,Alcudia,Spain,Coal,,Spain Power Plants Over 10 MW.csv,,468.4,,
93,Alcudia,Spain,Oil,,Spain Power Plants Over 10 MW.csv,,65.4,,
94,Aldales,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,40.0,,
95,Aldeadavila,Spain,Hydro,,Spain Power Plants Over 10 MW.csv,,1226.43,,
96,Aldeavieja,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,14.52,,
97,Aldehuelas,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,47.2,,
98,Alentisque,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,46.5,,
99,Aletsch,Switzerland,Hydro,Zwingen,Switzerland Power Plant.csv,,35.3,47.437887,7.527901
100,Alfarp,Spain,Waste,,Spain Power Plants Over 10 MW.csv,,14.94,,
101,Alfonso,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,22.5,,
102,Algodor,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,44.2,,
103,Alhambra,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,34.0,,
104,Aliaga,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,29.75,,
105,Alier,Spain,Natural Gas,,Spain Power Plants Over 10 MW.csv,,23.4,,
106,Aligars,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,50.0,,
107,Alijar,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,24.0,,
108,Alitrasa,Spain,Waste,,Spain Power Plants Over 10 MW.csv,,155.54,,
109,Aljorra cartagena,Spain,Natural Gas,,Spain Power Plants Over 10 MW.csv,,15.159,,
110,Aljorra cartagena,Spain,Waste,,Spain Power Plants Over 10 MW.csv,,27.17,,
111,Allt na lairige,United Kingdom,Hydro,Scotland,UK Power Plant.csv,,7.0,56.7861112,-4.1140517
112,Alltwalis,United Kingdom,Wind,Wales,UK Power Plant.csv,,23.0,52.2928116,-3.7389299
113,Allueva,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,14.52,,
114,Almaraz,Spain,Nuclear,,EU Nuclear Power.csv,,2093.0,,
115,Almaren unificado,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,11.9,,
116,Almazan,Spain,Waste,,Spain Power Plants Over 10 MW.csv,,14.8,,
117,Almeces,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,42.9,,
118,Almenara,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,36.96,,
119,Almenara tormes,Spain,Waste,,Spain Power Plants Over 10 MW.csv,,12.0,,
120,Almenas,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,48.6,,
121,Almendarache,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,21.0,,
122,Almendareche,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,21.0,,
123,Almendros,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,63.88,,
124,Almeriques,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,25.72,,
125,Almodovar,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,28.5,,
126,Almorada,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,24.0,,
127,Along the wind,Netherlands,Wind,dronten,Netherlands Power Plant.csv,,12.6,52.53172775,5.75053478515
128,"Alp trida laret, samnaun",Switzerland,Hydro,,Switzerland Power Plant.csv,,0.46,,
129,Alta anoia,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,28.0,,
130,Alta krv,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,180.0,,
131,Alta tra,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,5.0,,
132,Altahullion,United Kingdom,Wind,Northern Ireland,UK Power Plant.csv,,26.0,54.6294982,-6.7654415
133,Altahullion extension,United Kingdom,Wind,Northern Ireland,UK Power Plant.csv,,12.0,54.6294982,-6.7654415
134,Altamira,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,109.72,,
135,Altbach deizisau coal,Germany,Coal,Altbach,Germany Power Plants (conventional).csv,,769.0,48.7244372,9.3807848
136,Altbach deizisau natural,Germany,Natural Gas,Altbach,Germany Power Plants (conventional).csv,,65.0,48.7244372,9.3807848
137,Altendorf buchs,Switzerland,Hydro,,Switzerland Power Plant.csv,,3.56,,
138,Altenmarkt,Austria,Hydro,,Verbund Power Plant.csv,,26.0,,
139,Altenstadt,Germany,Waste,Altenstadt,Germany Power Plants (conventional).csv,,9.8,47.8208332,10.8709956
140,Altenwörth,Austria,Hydro,,Verbund Power Plant.csv,,328.0,,
141,Altheim,Germany,Hydro,Essenbach,Germany Power Plants (conventional).csv,,17.8,48.6135066,12.2199352
142,Altomonte,Italy,Natural Gas,COSENZA,Italy Power Plant.csv,,808.0,39.3099931,16.2501929
143,Altos cartagena,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,21.12,,
144,Altos cirauqui,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,13.5,,
145,Altos jarrey,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,24.7,,
146,Altstafel,Switzerland,Hydro,,Switzerland Power Plant.csv,,9.67,,
147,Alvaro espuny,Spain,Other,,Spain Power Plants Over 10 MW.csv,,10.0,,
148,Alvaro espuny,Spain,Waste,,Spain Power Plants Over 10 MW.csv,,31.5,,
149,Alvkarleby,Sweden,Hydro,Dalälven,Sweden Power Plant.csv,,116.0,60.4468931,17.2657933
150,Alzwerke gmbh,Germany,Hydro,Burghausen,Germany Power Plants (conventional).csv,,45.0,48.1689863,12.8304816
151,Am löntsch,Switzerland,Hydro,En la Douve,Switzerland Power Plant.csv,,89.1,46.4343195,7.1617642
152,Amdal,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,23.0,,
153,Ameixeiras testeiros,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,49.5,,
154,Amela,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,40.0,,
155,Amercentrale,Netherlands,Coal,Geertruidenberg - Amerweg,Netherlands Power Plant.csv,,643.0,51.7058136,4.8428914
156,Amercoeur tgv,Belgium,Natural Gas,,Belgium Power Plant.csv,,451.0,,
157,Amfard,France,Natural Gas,,France Power Plant.csv,,260.0,,
158,Amk abfallentsorgungsgesellschaft des märkischen kreises mbh,Germany,Waste,Iserlohn,Germany Power Plants (conventional).csv,,12.6,51.3746778,7.6999713
159,Amlach,Germany,Hydro,Amlach,Germany Power Plants (conventional).csv,,60.0,,
160,Amli,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,28.0,,
161,Amorebieta,Spain,Natural Gas,,Spain Power Plants Over 10 MW.csv,,786.42,,
162,Ampliada co re,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,19.8,,
163,Amsteg,Switzerland,Hydro,Baden,Switzerland Power Plant.csv,,120.0,47.4736827,8.3086822
164,Amsteg dotierzentrale,Switzerland,Hydro,,Switzerland Power Plant.csv,,0.72,,
165,Amsteg regulierzentrale,Switzerland,Hydro,,Switzerland Power Plant.csv,,1.73,,
166,Amstelvogel,Netherlands,Wind,Parent-Amstel,Netherlands Power Plant.csv,,2.0,,
167,Amsterdam westpoort,Netherlands,Wind,Amsterdam,Netherlands Power Plant.csv,,15.0,52.3745403,4.89797550562
168,Amylum iberica,Spain,Natural Gas,,Spain Power Plants Over 10 MW.csv,,13.6,,
169,An suidhe,United Kingdom,Wind,Scotland,UK Power Plant.csv,,22.0,56.7861112,-4.1140517
170,Ana sira,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,183.0,,
171,Anapo c.le,Italy,Hydro,PRIOLO GARGALLO,Italy Power Plant.csv,,500.0,37.1544411,15.1877451
172,Ancha aguda,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,31.5,,
173,Andasol,Spain,Solar,,Spain Power Plants Over 10 MW.csv,,149.7,,
174,Andia,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,25.2,,
175,Andijkerwind,Netherlands,Wind,Medemblik,Netherlands Power Plant.csv,,2.55,52.768691,5.106195
176,Andres sanchez plaza,Spain,Waste,,Spain Power Plants Over 10 MW.csv,,14.14,,
177,Andutero,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,49.3,,
178,Angaback,Sweden,Hydro,"Markaryd Municipality, Kronoberg County",Sweden Power Plant.csv,,7.0,,
179,Angleur tg,Belgium,Natural Gas,,Belgium Power Plant.csv,,128.0,,
180,Angostillos,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,28.0,,
181,Angosturas,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,36.0,,
182,Anguita,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,29.7,,
183,Anllares,Spain,Coal,,Spain Power Plants Over 10 MW.csv,,346.84,,
184,Anna mariapolder,Netherlands,Wind,Reimerswaal,Netherlands Power Plant.csv,,14.4,51.44300185,4.10144103116
185,Annabrücke,Austria,Hydro,,Verbund Power Plant.csv,,90.0,,
186,Annavosdijk,Netherlands,Wind,Tholen,Netherlands Power Plant.csv,,15.0,51.5354462,4.2232813
187,Anoia,Spain,Natural Gas,,Spain Power Plants Over 10 MW.csv,,13.805,,
188,Anundjso,Sweden,Hydro,"Örnsköldsvik Municipality, Västernorrland County",Sweden Power Plant.csv,,5.0,,
189,Api energia igcc,Italy,Natural Gas,FALCONARA MARITTIMA,Italy Power Plant.csv,,280.0,43.6293969,13.3966763
190,Aprovechamiento hidroelectrico frieira caudal ecologico,Spain,Hydro,,Spain Power Plants Over 10 MW.csv,,17.54,,
191,Aprovechamiento hidroeolico hierro,Spain,Hydro,,Spain Power Plants Over 10 MW.csv,,11.39,,
192,Arabi,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,40.5,,
193,Aragoncillo,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,35.7,,
194,Arbaz comba energies,Switzerland,Hydro,,Switzerland Power Plant.csv,,0.59,,
195,Arbaz sionne energie,Switzerland,Hydro,,Switzerland Power Plant.csv,,0.58,,
196,Arbon,Spain,Hydro,,Spain Power Plants Over 10 MW.csv,,56.04,,
197,Arcas,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,20.0,,
198,"Arcillas atomizadas, s.a.",Spain,Natural Gas,,Spain Power Plants Over 10 MW.csv,,12.552,,
199,Arcos frontera,Spain,Natural Gas,,Spain Power Plants Over 10 MW.csv,,1585.39,,
200,Arcosol,Spain,Solar,,Spain Power Plants Over 10 MW.csv,,50.0,,
201,Ardales,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,31.2,,
202,Ardnacrusha,Ireland,Hydro,,Ireland and Northern Ireland.csv,,86.0,,
203,Ardon,Switzerland,Hydro,Bramois,Switzerland Power Plant.csv,,52.0,46.2321819,7.4038983
204,Ardrossan,United Kingdom,Wind,Scotland,UK Power Plant.csv,,24.0,56.7861112,-4.1140517
205,Ardrossan extension,United Kingdom,Wind,Scotland,UK Power Plant.csv,,6.0,56.7861112,-4.1140517
206,Arecleoch,United Kingdom,Wind,Scotland,UK Power Plant.csv,,120.0,56.7861112,-4.1140517
207,Aremusa,Spain,Waste,,Spain Power Plants Over 10 MW.csv,,141.4,,
208,Arganoso,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,22.0,,
209,Arico antes finca mogan,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,16.5,,
210,Ariz ariz,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,19.2,,
211,Arlifoss,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,27.0,,
212,Armada,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,20.7,,
213,Armillas,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,42.5,,
214,Arna,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,9.0,,
215,Arni,Switzerland,Hydro,,Switzerland Power Plant.csv,,2.55,,
216,Arniberg,Switzerland,Hydro,,Switzerland Power Plant.csv,,13.0,,
217,Arnish,United Kingdom,Oil,Scotland,UK Power Plant.csv,,10.0,56.7861112,-4.1140517
218,Arnish moor,United Kingdom,Wind,Scotland,UK Power Plant.csv,,4.0,56.7861112,-4.1140517
219,Arnstein,Austria,Hydro,,Verbund Power Plant.csv,,30.0,,
220,Arona,Spain,Oil,,Spain Power Plants Over 10 MW.csv,,43.2,,
221,Aroy,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,108.0,,
222,Arriello,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,24.42,,
223,Arrielo,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,49.5,,
224,Arrighi,France,Oil,,France Power Plant.csv,,254.0,,
225,Arrobuey,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,48.84,,
226,Arrow staartweg,Netherlands,Wind,Lelystad,Netherlands Power Plant.csv,,18.0,52.53668095,5.36107150044
227,Arroyal,Spain,,,Spain Power Plants Over 10 MW.csv,,49.4,,
228,Arroyal,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,46.5,,
229,Arrubal,Spain,Natural Gas,,Spain Power Plants Over 10 MW.csv,,784.7,,
230,Artabra ampliada potencia,Spain,Oil,,Spain Power Plants Over 10 MW.csv,,13.18,,
231,Artfield fell,United Kingdom,Wind,Scotland,UK Power Plant.csv,,20.0,56.7861112,-4.1140517
232,Artichuela,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,15.0,,
233,Arties,Spain,Hydro,,Spain Power Plants Over 10 MW.csv,,67.52,,
234,Arvik,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,5.0,,
235,Aschach,Austria,Hydro,,Verbund Power Plant.csv,,287.0,,
236,Asco,Spain,Nuclear,,EU Nuclear Power.csv,,2068.0,,
237,Asebotn,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,17.0,,
238,Asele,Sweden,Hydro,Ångermanälven,Sweden Power Plant.csv,,27.0,63.7044719,17.0175829
239,Aselva,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,4.0,,
240,Asen,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,10.0,,
241,Askam,United Kingdom,Wind,North West,UK Power Plant.csv,,5.0,52.2370231,-0.4686148
242,Askara,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,157.0,,
243,Askerudfoss,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,15.0,,
244,Asmulfoss,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,14.0,,
245,Asnes,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,3.0,,
246,Aspiravi wuustwezel,Belgium,Wind,,Belgium Power Plant.csv,,22.1,,
247,Assemini,Italy,Oil,ASSEMINI,Italy Power Plant.csv,,177.0,39.291538,9.001542
248,Aste,Spain,Solar,,Spain Power Plants Over 10 MW.csv,,99.8,,
249,Astexol,Spain,Solar,,Spain Power Plants Over 10 MW.csv,,49.9,,
250,Aston,France,Hydro,,France Power Plant.csv,,104.0,,
251,Atalaya,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,30.4,,
252,Atalaya solana autorizados,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,20.4,,
253,Atalaya unificado,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,49.5,,
254,Atalayas,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,23.76,,
255,Atazar,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,17.25,,
256,Atlantic copper. s.l.u.,Spain,Natural Gas,,Spain Power Plants Over 10 MW.csv,,11.52,,
257,Atochares,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,39.6,,
258,Au schönenberg,Switzerland,Hydro,,Switzerland Power Plant.csv,,2.3,,
259,Audorf,Germany,Oil,Osterrönfeld,Germany Power Plants (conventional).csv,,87.0,54.2869778,9.6957443
260,Aue,Switzerland,Hydro,,Switzerland Power Plant.csv,,5.2,,
261,Aue dotierzentrale,Switzerland,Hydro,,Switzerland Power Plant.csv,,0.5,,
262,Aufkirchen,Germany,Hydro,Oberding,Germany Power Plants (conventional).csv,,27.0,48.3224133,11.8464367
263,Augst,Switzerland,Hydro,Nenzlingen,Switzerland Power Plant.csv,,35.0,47.4477899,7.5624753
264,Augusta c.le,Italy,Oil,AUGUSTA,Italy Power Plant.csv,,210.0,37.2369363,15.2196575
265,Aukland,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,18.0,,
266,Aunfoss,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,36.0,,
267,Aura,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,352.0,,
268,Aurland,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,1398.0,,
269,Autilla,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,49.5,,
270,Ava gmbh,Germany,Waste,Augsburg,Germany Power Plants (conventional).csv,,10.0,48.3668041,10.8986971
271,Ava velsen,Germany,Waste,Saarbrücken-Velsen,Germany Power Plants (conventional).csv,,15.8,49.22028195,6.84600130108
272,Avella,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,5.0,,
273,Avignon,France,Hydro,,France Power Plant.csv,,126.0,,
274,Avila,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,11.88,,
275,Avise,Italy,Hydro,AVISE,Italy Power Plant.csv,,126.5,45.7085893,7.1397458
276,Awirs,Belgium,Waste,,Belgium Power Plant.csv,,95.0,,
277,Ayora,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,24.0,,
278,Azanza echauri,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,23.4,,
279,Azorrillas,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,32.0,,
280,Azotati,Italy,Natural Gas,VENEZIA,Italy Power Plant.csv,,240.0,45.4371908,12.3345899
281,Azucarera baneza,Spain,Natural Gas,,Spain Power Plants Over 10 MW.csv,,12.8,,
282,Azucarera duero,Spain,Natural Gas,,Spain Power Plants Over 10 MW.csv,,12.95,,
283,Azucarera guadalcacin,Spain,Natural Gas,,Spain Power Plants Over 10 MW.csv,,16.875,,
284,Azucarera jedula,Spain,Natural Gas,,Spain Power Plants Over 10 MW.csv,,14.625,,
285,Azuliber,Spain,Natural Gas,,Spain Power Plants Over 10 MW.csv,,17.763,,
286,Azutan,Spain,Hydro,,Spain Power Plants Over 10 MW.csv,,198.01,,
287,Bachtoli,Switzerland,Hydro,,Switzerland Power Plant.csv,,0.98,,
288,Bad salzungen,Germany,Natural Gas,Bad Salzungen,Germany Power Plants (conventional).csv,,9.7,50.812318,10.2320784
289,Badaia,Spain,Wind,,Spain Power Plants Over 10 MW.csv,,49.98,,
290,"Badhalte, brig glis",Switzerland,Hydro,,Switzerland Power Plant.csv,,1.44,,
291,Baglan bay ccgt,United Kingdom,Natural Gas,Wales,UK Power Plant.csv,CCGT,520.0,52.2928116,-3.7389299
292,Baglan bay ocgt,United Kingdom,Natural Gas,Wales,UK Power Plant.csv,OCGT,32.0,52.2928116,-3.7389299
293,Bagmoor,United Kingdom,Wind,East Midlands,UK Power Plant.csv,,16.0,52.79657515,-0.671822206834
294,Bagn,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,85.0,,
295,Bagna,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,7.0,,
