id,Name,Country,Fueltype,location,File,Technology,Capacity,lat,lon
2240,Kirchlengern,Germany,Natural Gas,Kirchlengern,Germany Power Plants (conventional).csv,,201.5,52.1983452,8.6440034
2241,Kirchmöser,Germany,Natural Gas,Brandenburg,Germany Power Plants (conventional).csv,,160.0,52.8455492,13.2461296
2242,Kirkby moor,United Kingdom,Wind,North West,UK Power Plant.csv,,5.0,52.2370231,-0.4686148
2243,Kirkenes,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,5.0,,
2244,Kirkheaton,United Kingdom,Wind,North East,UK Power Plant.csv,,2.0,50.5949824,-1.9518955
2245,Kirkwall,United Kingdom,Oil,Scotland,UK Power Plant.csv,,16.0,56.7861112,-4.1140517
2246,Kiste,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,7.0,,
2247,Kistefoss,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,7.0,,
2248,Kjela,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,72.0,,
2249,Kjelland,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,6.0,,
2250,Kjollefjord,Norway,Wind,,Norway Power Plants (ENTSOE) .csv,,50.0,,
2251,Kjopsvik,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,2.0,,
2252,Kjosnesfjorden,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,97.0,,
2253,Klammsee,Austria,Hydro,,Verbund Power Plant.csv,,1.0,,
2254,Klaus,Austria,Hydro,,Verbund Power Plant.csv,,20.0,,
2255,Kleintal isenthal,Switzerland,Hydro,,Switzerland Power Plant.csv,,1.18,,
2256,Kleiva,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,5.0,,
2257,Klemetsrud,Norway,Natural Gas,,Norway Power Plants (ENTSOE) .csv,,31.0,,
2258,Klim fjordholme,Denmark,Wind,Onshore - Klim,Denmark Power Plant.csv,,67.2,,
2259,Klingenberg,Germany,Coal,Berlin,Germany Power Plants (conventional).csv,,164.0,52.5170365,13.3888599
2260,Klingerforsen,Sweden,Hydro,"Hoting, Strömsund Municipality, Jämtland County",Sweden Power Plant.csv,,6.0,,
2261,Klingnau,Switzerland,Hydro,Iles de Vessy,Switzerland Power Plant.csv,,42.6,,
2262,Klokbekertocht,Netherlands,Wind,dronten,Netherlands Power Plant.csv,,9.9,52.53172775,5.75053478515
2263,Kloosterlanden,Netherlands,Wind,Deventer,Netherlands Power Plant.csv,,4.7,52.24927325,6.17613064784
2264,Klosterfoss,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,12.0,,
2265,Klosters,Switzerland,Hydro,,Switzerland Power Plant.csv,,16.5,,
2266,Klovtveit,Norway,Hydro,,Norway Power Plants (ENTSOE) .csv,,10.0,,
