id,CARMA,ENTSOE,GEO,OPSD,Fueltype,Technology,Country,Set,Capacity,YearCommissioned,lat,lon,File,projectID
1021,Kruonis,,Kruonis lithuania,,Hydro,Pumped Storage,Lithuania,PP,900.0,,54.799,24.2475,,"{u'GEO': u'G992', u'CARMA': u'[23167]'}"
1022,Kyndby,,Kyndby denmark,,Oil,Steam Turbine,Denmark,PP,699.0,,55.8134,11.8792,,"{u'GEO': u'G642', u'CARMA': u'[23526]'}"
1023,Lanau,,Lanau,,Hydro,Reservoir,France,PP,22.5,,44.891,3.003,,"{u'GEO': u'G877', u'CARMA': u'[24327]'}"
1024,Langage,,Langage,,Natural Gas,CCGT,United Kingdom,PP,885.0,,50.3882192221,-4.0117585659,,"{u'GEO': u'G636', u'CARMA': u'[24384]'}"
1025,Lardit,,Lardy,,Hydro,Reservoir,France,PP,45.0,,44.662,2.583,,"{u'GEO': u'G857', u'CARMA': u'[24501]'}"
1026,Largue,,Largue,,Hydro,Run-Of-River,France,PP,12.0,,43.854,5.859,,"{u'GEO': u'G833', u'CARMA': u'[24748]'}"
1027,Latschau,,Latschau,,Hydro,Run-Of-River,Austria,PP,9.0,,47.0739,9.8749,,"{u'GEO': u'G750', u'CARMA': u'[24610]'}"
1028,Laval cere,,Laval cere &,,Hydro,Reservoir,France,PP,132.0,,44.953,1.95,,"{u'GEO': u'G933', u'CARMA': u'[24666]'}"
1029,Lavamund,,Lavamuend,,Hydro,Run-Of-River,Austria,PP,28.0,,46.6433,14.9377,,"{u'GEO': u'G705', u'CARMA': u'[24669]'}"
1030,Ledvice,,Ledvice,,Hard Coal,Steam Turbine,Czech Republic,PP,330.0,,50.5766,13.7794,,"{u'GEO': u'G28', u'CARMA': u'[24822]'}"
1031,Lindoso,,Lindoso brazil,,Hydro,,Portugal,PP,44.1,,41.8593,-8.2712,,"{u'GEO': u'G1044', u'CARMA': u'[25321]'}"
1032,Linoperamata,,Linoperamata crete,,Oil,Gas Turbine,Greece,PP,390.15,,35.34,25.0523,,"{u'GEO': u'G653', u'CARMA': u'[25351]'}"
1033,Lipno,,Lipno republic,,Hydro,Reservoir,Czech Republic,PP,120.0,,48.6333,14.2375,,"{u'GEO': u'G810', u'CARMA': u'[25373]'}"
1034,Liter,,Liter ocgt hungary,,Natural Gas,OCGT,Hungary,PP,123.0,,47.1075,18.0143,,"{u'GEO': u'G377', u'CARMA': u'[25411]'}"
1035,Livorno ferraris,,E.on livorno ferraris,,Natural Gas,CCGT,Italy,PP,800.0,,45.23723,8.1932,,"{u'GEO': u'G448', u'CARMA': u'[25493]'}"
1036,Lixhe,,Lixhe,,Hydro,Run-Of-River,Belgium,PP,20.0,,50.7517,5.6863,,"{u'GEO': u'G755', u'CARMA': u'[25496]'}"
1037,Lugo nazza,,Lugo di nazza,,Hydro,Reservoir,France,PP,43.0,,42.091,9.316,,"{u'GEO': u'G900', u'CARMA': u'[26140]'}"
1038,Maasstroom,,Maasstroom,,Natural Gas,CCGT,Netherlands,PP,428.0,,51.8901,4.352,,"{u'GEO': u'G490', u'CARMA': u'[66012]'}"
1039,Mallemort,,Mallemort,,Hydro,Run-Of-River,France,PP,101.0,,43.715,5.205,,"{u'GEO': u'G867', u'CARMA': u'[26818]'}"
1040,Malta unterstufe,,Malta unterstufe moellbruecke,,Hydro,Run-Of-River,Austria,PP,41.0,,46.833219,13.360147,,"{u'GEO': u'G693', u'CARMA': u'[26840]'}"
1041,Manosque,,Manosque voix,,Hydro,Run-Of-River,France,PP,55.0,,43.877,5.863,,"{u'GEO': u'G834', u'CARMA': u'[27034]'}"
1042,Mantova,,Eni mantova,,Natural Gas,CCGT,Italy,PP,806.0,,45.1492,10.835,,"{u'GEO': u'G419', u'CARMA': u'[27067, 27066]'}"
1043,Marchwood,,Marchwood,,Natural Gas,CCGT,United Kingdom,PP,842.0,,50.8998,-1.4384,,"{u'GEO': u'G620', u'CARMA': u'[27173]'}"
1044,Marcillac,,Marcillac,,Hydro,Reservoir,France,PP,33.2,,45.215,2.038,,"{u'GEO': u'G884', u'CARMA': u'[27175]'}"
1045,Mariborski otok,,Mariborski otok poqwer,,Hydro,Reservoir,Slovenia,PP,60.0,,46.5692,15.6043,,"{u'GEO': u'G1143', u'CARMA': u'[27223]'}"
1046,Maritza,,Maritsa,,Hard Coal,Steam Turbine,Bulgaria,PP,120.0,,42.0524,25.62377,,"{u'GEO': u'G8', u'CARMA': u'[27276]'}"
1047,Martinlaakso,,Martinlaakso finland,,Natural Gas,Steam Turbine,Finland,CHP,197.0,,60.2833,24.8364,,"{u'GEO': u'G42', u'CARMA': u'[27393]'}"
1048,Matra,,Matra hungary,,Hard Coal,Steam Turbine,Hungary,PP,950.0,,47.79027,20.06358,,"{u'GEO': u'G101', u'CARMA': u'[27561]'}"
1049,Mavcice,,Mavcice,,Hydro,Reservoir,Slovenia,PP,38.236,,46.184,14.4083,,"{u'GEO': u'G1130', u'CARMA': u'[27640]'}"
1050,Medvode,,Medvode poqwer,,Hydro,Reservoir,Slovenia,PP,25.0,,46.1459,14.4142,,"{u'GEO': u'G1131', u'CARMA': u'[27853]'}"
1051,Miechowice,,Miechowice,,Hard Coal,Steam Turbine,Poland,CHP,125.0,,50.349,18.843,,"{u'GEO': u'G156', u'CARMA': u'[28378]'}"
1052,Mintia deva,,Mintia deva,,Hard Coal,Steam Turbine,Romania,PP,1285.0,,45.9134,22.8254,,"{u'GEO': u'G176', u'CARMA': u'[10662]'}"
1053,Modugno sorgenia,,Sorgenia modugno,,Natural Gas,CCGT,Italy,PP,770.0,,41.1025,16.756,,"{u'GEO': u'G393', u'CARMA': u'[28904]'}"
1054,Moerdijk azn,,Moerdijk,,Natural Gas,CCGT,Netherlands,PP,358.2,,51.6849,4.5805,,"{u'GEO': u'G476', u'CARMA': u'[28911]'}"
1055,Momina klissura,,Momina klisura,,Hydro,Run-Of-River,Bulgaria,PP,124.0,,42.2319,23.9494,,"{u'GEO': u'G785', u'CARMA': u'[29029]'}"
1056,Monfalcone,,Monfalcone,,Hard Coal,Steam Turbine,Italy,PP,976.0,,45.7979,13.5455,,"{u'GEO': u'G111', u'CARMA': u'[29065]'}"
1057,Montahut,,Montahut,,Hydro,Reservoir,France,PP,103.23,,43.571,2.94,,"{u'GEO': u'G950', u'CARMA': u'[29134]'}"
1058,Montalto castro,,Montalto di castro alessandro volta,,Natural Gas,CCGT,Italy,PP,3600.0,,42.3572,11.5373,,"{u'GEO': u'G451', u'CARMA': u'[29136]'}"
1059,Mussalo,,Mussalo finland,,Hard Coal,Steam Turbine,Finland,PP,318.0,,60.4352,26.9118,,"{u'GEO': u'G40', u'CARMA': u'[30011]'}"
1060,Myczkowce,,Myczkowce,,Hydro,Reservoir,Poland,PP,8.822,,49.4311,22.4084,,"{u'GEO': u'G1016', u'CARMA': u'[30051]'}"
1061,Nentilla,,Nentilla,,Hydro,Reservoir,France,PP,97.0,,42.772,2.213,,"{u'GEO': u'G847', u'CARMA': u'[30812]'}"
1062,Niedzica,,Niedzica,,Hydro,Pumped Storage,Poland,PP,92.8,,49.4192,20.3228,,"{u'GEO': u'G1013', u'CARMA': u'[31167]'}"
1063,Ocana corse,,Ocana,,Hydro,Reservoir,France,PP,42.5,,41.946,8.935,,"{u'GEO': u'G887', u'CARMA': u'[32131]'}"
1064,Olidan,,Olidan,,Hydro,Run-Of-River,Sweden,PP,94.8,,58.275,12.2727,,"{u'GEO': u'G1177', u'CARMA': u'[32456]'}"
1065,Opatovice,,Opatovice,,Hard Coal,Steam Turbine,Czech Republic,CHP,363.0,,50.1264,15.7922,,"{u'GEO': u'G21', u'CARMA': u'[32664]'}"
1066,Orfeus,,Orfeus bulgeria,,Hydro,Reservoir,Bulgaria,PP,165.0,,41.9404,24.4471,,"{u'GEO': u'G789', u'CARMA': u'[32739]'}"
1067,Orlovac,,Orlovac,,Hydro,Reservoir,Croatia,PP,237.0,,43.6737,16.784,,"{u'GEO': u'G806', u'CARMA': u'[32781]'}"
1068,Orlu,,Orlu,,Hydro,Reservoir,France,PP,88.8,,42.689,1.912,,"{u'GEO': u'G845', u'CARMA': u'[32783]'}"
1069,Ozalj,,Ozalj,,Hydro,Run-Of-River,Croatia,PP,5.5,,45.6143,15.4778,,"{u'GEO': u'G793', u'CARMA': u'[33243]'}"
1070,Ozbalt,,Ozbalt poqwer,,Hydro,Reservoir,Slovenia,PP,73.2,,46.5769,15.4052,,"{u'GEO': u'G1141', u'CARMA': u'[33249]'}"
1071,Palladio fusina,,Enel andrea palladio fusina,,Hard Coal,Steam Turbine,Italy,PP,1136.0,,45.4314,12.2468,,"{u'GEO': u'G116', u'CARMA': u'[14378]'}"
1072,Paroseni,,Paroseni chpp,,Hard Coal,Steam Turbine,Romania,PP,300.0,,45.3647,23.261,,"{u'GEO': u'G177', u'CARMA': u'[33744]'}"
1073,Paternion,,Paternion,,Hydro,Run-Of-River,Austria,PP,24.0,,46.72089,13.6453,,"{u'GEO': u'G697', u'CARMA': u'[33845]'}"
1074,Peshtera,,Peshtera,,Hydro,Reservoir,Bulgaria,PP,128.0,,42.0135,24.2579,,"{u'GEO': u'G787', u'CARMA': u'[34311]'}"
1075,Peterborough,,Peterborough,,Natural Gas,CCGT,United Kingdom,PP,389.0,,52.5769,-0.204,,"{u'GEO': u'G617', u'CARMA': u'[34330]'}"
1076,Piacenza,,Edipower piacenza,,Natural Gas,CCGT,Italy,PP,1200.0,,45.0543,9.70856,,"{u'GEO': u'G430', u'CARMA': u'[34499]'}"
1077,Pierre benite,,Pierre benite,,Hydro,Run-Of-River,France,PP,88.41,,45.702,4.842,,"{u'GEO': u'G942', u'CARMA': u'[34575, 34576]'}"
1078,Pietersaari,,Pietersaari jakobstad biomass finland,,Waste,Steam Turbine,Finland,CHP,265.0,,63.70194,22.70972,,"{u'GEO': u'G1311', u'CARMA': u'[34586]'}"
1079,Pilchowice,,Pilchowice,,Hydro,Reservoir,Poland,PP,9.1,,50.964,15.645,,"{u'GEO': u'G1005', u'CARMA': u'[34611]'}"
1080,Plave,,Plave poqwer,,Hydro,Reservoir,Slovenia,PP,42.1,,46.05092,13.5954,,"{u'GEO': u'G1134', u'CARMA': u'[34921]'}"
1081,Plomin,,Plomin,,Hard Coal,Steam Turbine,Croatia,PP,335.0,,45.137,14.164,,"{u'GEO': u'G14', u'CARMA': u'[34965]'}"
1082,Pocerady,,Pocerady,,Hard Coal,Steam Turbine,Czech Republic,PP,1000.0,,50.4268,13.6788,,"{u'GEO': u'G26', u'CARMA': u'[35021]'}"
1083,Ponti sul mincio,,Del mincio,,Natural Gas,CCGT,Italy,PP,506.75,,45.3993,10.7142,,"{u'GEO': u'G420', u'CARMA': u'[35258]'}"
1084,Porici,,Porici,,Hard Coal,Steam Turbine,Czech Republic,PP,165.0,,50.5727,15.9634,,"{u'GEO': u'G17', u'CARMA': u'[35330]'}"
1085,Pracana,,Pracana,,Hydro,Reservoir,Portugal,PP,41.0,,39.5649,-7.8123,,"{u'GEO': u'G1042', u'CARMA': u'[35642]'}"
1086,Puente nuevo,,Puente nuevo,,Hard Coal,Steam Turbine,Spain,PP,324.0,,38.1108,-4.9354,,"{u'GEO': u'G200', u'CARMA': u'[35937]'}"
1087,Quinson,,Quinson,,Hydro,Reservoir,France,PP,41.0,,43.699,6.051,,"{u'GEO': u'G836', u'CARMA': u'[36314]'}"
1088,Raiva,,Raiva,,Hydro,Run-Of-River,Portugal,PP,24.0,,40.3095,-8.2488,,"{u'GEO': u'G1032', u'CARMA': u'[36479]'}"
1089,Rance,,Rance tidal,,Hydro,Tidal,France,PP,240.0,,48.618,-2.022,,"{u'GEO': u'G914', u'CARMA': u'[36582]'}"
1090,Randers,,Randers denmark,,Hard Coal,Steam Turbine,Denmark,CHP,52.0,,56.4584,10.0475,,"{u'GEO': u'G34', u'CARMA': u'[36595]'}"
1091,Ravenna enichem,,Eni ravenna,,Natural Gas,CCGT,Italy,PP,1021.75,,44.4487,12.2382,,"{u'GEO': u'G434', u'CARMA': u'[36771]'}"
1092,Reisseck kreuzeck,,Kolbnitz reisseck kreuzeck,,Hydro,Reservoir,Austria,PP,138.1,,46.8727,13.3117,,"{u'GEO': u'G706', u'CARMA': u'[37009, 37011]'}"
1093,Remeti,,Dragan remeti,,Hydro,Reservoir,Romania,PP,146.0,,46.7889,22.7156,,"{u'GEO': u'G1066', u'CARMA': u'[37030]'}"
1094,Rhue,,Rhue,,Hydro,Reservoir,France,PP,12.0,,45.415,2.499,,"{u'GEO': u'G875', u'CARMA': u'[37207]'}"
1095,Ricobayo esla,,Ricobayo,,Hydro,Reservoir,Spain,PP,291.0,,41.5274,-5.9857,,"{u'GEO': u'G1156', u'CARMA': u'[37280]'}"
1096,Rifawerk,,Rifa,,Hydro,Run-Of-River,Austria,PP,7.0,,46.9743,10.0433,,"{u'GEO': u'G747', u'CARMA': u'[37312]'}"
1097,Rijeka tpp,,Rijeka,,Oil,Steam Turbine,Croatia,PP,320.0,,45.2862,14.5207,,"{u'GEO': u'G638', u'CARMA': u'[37333]'}"
1098,Romag termo,,Romag termo chpp,,Hard Coal,Steam Turbine,Romania,CHP,247.0,,44.6754,22.6883,,"{u'GEO': u'G178', u'CARMA': u'[37875]'}"
1099,Roosecote centrica,,Roosecote,,Natural Gas,CCGT,United Kingdom,PP,229.0,,54.105162551,-3.19024085999,,"{u'GEO': u'G618', u'CARMA': u'[37933]'}"
1100,Roque endesa,,San roque endesa,,Natural Gas,CCGT,Spain,PP,402.0,,36.1955,-5.4131,,"{u'GEO': u'G539', u'CARMA': u'[39357]'}"
1101,Rosegg jakob,,Rosegg st. jakob,,Hydro,Run-Of-River,Austria,PP,89.8,,46.5696,14.0268,,"{u'GEO': u'G700', u'CARMA': u'[37966]'}"
1102,Rosignano,,Rosignano,,Natural Gas,CCGT,Italy,PP,765.0,,43.38178,10.44818,,"{u'GEO': u'G413', u'CARMA': u'[37991]'}"
1103,Rosshag,,Rosshag,,Hydro,Pumped Storage,Austria,PP,232.0,,47.086589,11.773926,,"{u'GEO': u'G730', u'CARMA': u'[38019]'}"
1104,Roznow,,Roznow,,Hydro,Reservoir,Poland,PP,50.0,,49.7614,20.6631,,"{u'GEO': u'G1011', u'CARMA': u'[38170]'}"
1105,Ruien,,Ruien,,Hard Coal,Steam Turbine,Belgium,PP,905.0,,50.7836,3.4904,,"{u'GEO': u'G3', u'CARMA': u'[38226]'}"
1106,Sablons,,Sablons,,Hydro,Run-Of-River,France,PP,160.7,,45.307,4.797,,"{u'GEO': u'G922', u'CARMA': u'[38474]'}"
1107,Sainte tulle,,Sainte tulle i&ii,,Hydro,Run-Of-River,France,PP,97.0,,43.787,5.774,,"{u'GEO': u'G835', u'CARMA': u'[38738]'}"
1108,Sajoszoged,,Sajoszoged ocgt hungary,,Natural Gas,OCGT,Hungary,PP,123.0,,47.9393,20.97,,"{u'GEO': u'G364', u'CARMA': u'[38754]'}"
1109,Salamonde,,Salamonde,,Hydro,Reservoir,Portugal,PP,42.0,,41.6917,-8.0912,,"{u'GEO': u'G1023', u'CARMA': u'[38814]'}"
1110,Salignac,,Salignac,,Hydro,Run-Of-River,France,PP,88.0,,44.138,5.979,,"{u'GEO': u'G838', u'CARMA': u'[38853]'}"
1111,Salon,,Salon,,Hydro,Run-Of-River,France,PP,101.0,,43.633,5.114,,"{u'GEO': u'G870', u'CARMA': u'[38901]'}"
1112,Saltend,,Saltend,,Natural Gas,CCGT,United Kingdom,PP,1200.0,,53.7348018795,-0.24341583252,,"{u'GEO': u'G630', u'CARMA': u'[38914]'}"
1113,Salzburg mitte,,Salzburg mitte,,Natural Gas,CCGT,Austria,PP,85.06,,47.8092,13.038,,"{u'GEO': u'G271', u'CARMA': u'[38973]'}"
1114,Saucelle,,Saucelle,,Hydro,Reservoir,Spain,PP,525.0,,41.045,-6.8067,,"{u'GEO': u'G1154', u'CARMA': u'[39942]'}"
1115,Sault brenaz,,Sault brenaz,,Hydro,Run-Of-River,France,PP,46.2,,45.846,5.418,,"{u'GEO': u'G822', u'CARMA': u'[39957]'}"
1116,Saut mortier,,Saut mortier,,Hydro,Run-Of-River,France,PP,44.0,,46.372,5.642,,"{u'GEO': u'G928', u'CARMA': u'[39966]'}"
1117,Sautet,,Sautet le,,Hydro,Reservoir,France,PP,76.0,,44.817,5.908,,"{u'GEO': u'G917', u'CARMA': u'[24767]'}"
1118,Scandale,,Scandale,,Natural Gas,CCGT,Italy,PP,814.0,,39.1022,17.0325,,"{u'GEO': u'G404', u'CARMA': u'[40038]'}"
1119,Schwabek,,Schwabeck,,Hydro,Run-Of-River,Austria,PP,79.0,,46.658,14.8726,,"{u'GEO': u'G704', u'CARMA': u'[40207]'}"
1120,Seabank,,Seabank and,,Natural Gas,CCGT,United Kingdom,PP,1146.0,,51.5392,-2.67,,"{u'GEO': u'G616', u'CARMA': u'[40310]'}"
1121,Senj,,Senj system,,Hydro,,Croatia,PP,216.655,,44.9429,14.9276,,"{u'GEO': u'G796', u'CARMA': u'[40556]'}"
1122,Seraing,,Seraing,,Natural Gas,CCGT,Belgium,PP,646.79,,50.603,5.4917,,"{u'GEO': u'G306', u'CARMA': u'[40595, 40596]'}"
1123,Serres,,Thermie serres,,Natural Gas,Gas Engines,Greece,CHP,22.0,,41.0634,23.5184,,"{u'GEO': u'G362', u'CARMA': u'[40664, 40665]'}"
1124,Servola steel,,Servola,,Natural Gas,CCGT,Italy,PP,260.3,,45.6195,13.783,,"{u'GEO': u'G442', u'CARMA': u'[40675, 40674]'}"
1125,Sestrimo,,Sestrimo,,Hydro,Run-Of-River,Bulgaria,PP,240.0,,42.2084,23.9158,,"{u'GEO': u'G784', u'CARMA': u'[40686]'}"
1126,Setubal,,Setubal,,Oil,Steam Turbine,Portugal,PP,1000.0,,38.51,-8.845,,"{u'GEO': u'G662', u'CARMA': u'[40710]'}"
1127,Sisak,,Sisak,,Oil,Steam Turbine,Croatia,PP,455.0,,45.4538,16.4144,,"{u'GEO': u'G639', u'CARMA': u'[41795, 41796]'}"
1128,Skaerbaek,,Skaerbaek denmark,,Natural Gas,Steam Turbine,Denmark,CHP,414.0,,55.5118,9.6148,,"{u'GEO': u'G316', u'CARMA': u'[41847]'}"
1129,Sklope,,Sklope,,Hydro,Reservoir,Croatia,PP,22.5,,44.6895,15.2706,,"{u'GEO': u'G797', u'CARMA': u'[41925]'}"
1130,Slapy,,Slapy republic,,Hydro,Reservoir,Czech Republic,PP,144.0,,49.82354,14.434501,,"{u'GEO': u'G812', u'CARMA': u'[41981]'}"
1131,Sloy,,Loch sloy,,Hydro,Reservoir,United Kingdom,PP,130.45,,56.2512,-4.7117,,"{u'GEO': u'G1257', u'CARMA': u'[42024]'}"
1132,Solkan,,Solkan poqwer,,Hydro,Reservoir,Slovenia,PP,32.0,,45.9844,13.655,,"{u'GEO': u'G1137', u'CARMA': u'[42278]'}"
1133,Soulom,,Soulom,,Hydro,Reservoir,France,PP,57.0,,42.953,-0.069,,"{u'GEO': u'G937', u'CARMA': u'[42465]'}"
1134,South humber bank,,South humber bank,,Natural Gas,CCGT,United Kingdom,PP,1277.0,,53.6007821688,-0.144624710083,,"{u'GEO': u'G626', u'CARMA': u'[42523]'}"
1135,Sparanise,,Sparanise,,Natural Gas,CCGT,Italy,PP,800.0,,41.1783,14.1129,,"{u'GEO': u'G399', u'CARMA': u'[42642]'}"
1136,Spezia,,Enel spezia eugenio montale and,,Natural Gas,"CCGT, Thermal",Italy,PP,1356.0,,44.1116,9.8743,,"{u'GEO': u'G411', u'CARMA': u'[23897]'}"
1137,Stechovice,,Stechovice ps republic,,Hydro,Pumped Storage,Czech Republic,PP,67.5,,49.8455,14.42067,,"{u'GEO': u'G814', u'CARMA': u'[43137]'}"
1138,Stouden kladenets,,Studen kladenets,,Hydro,Reservoir,Bulgaria,PP,82.0,,41.6195,25.6415,,"{u'GEO': u'G780', u'CARMA': u'[43389]'}"
1139,Strekov,,Strekov republic,,Hydro,Run-Of-River,Czech Republic,PP,19.5,,50.6386,14.0478,,"{u'GEO': u'G817', u'CARMA': u'[43185]'}"
1140,Studstrup,,Studstrup denmark,,Hard Coal,Steam Turbine,Denmark,CHP,762.5,,56.2504,10.344,,"{u'GEO': u'G32', u'CARMA': u'[43481]'}"
1141,Sulcis,,Enel sulcis grazia deledda,,Hard Coal,Steam Turbine,Italy,PP,585.0,,39.1961,8.4002,,"{u'GEO': u'G109', u'CARMA': u'[43614]'}"
1142,Sutton bridge,,"Sutton bridge station,",,Natural Gas,CCGT,United Kingdom,PP,819.0,,52.7579,0.1923,,"{u'GEO': u'G622', u'CARMA': u'[43892]'}"
1143,Sveg,,Sveg,,Hydro,Reservoir,Sweden,PP,36.0,,62.02722,14.284,,"{u'GEO': u'G1162', u'CARMA': u'[43944]'}"
1144,Tainionkoski,,Tainionkoski finland,,Hydro,Reservoir,Finland,PP,62.0,,61.2104,28.7834,,"{u'GEO': u'G820', u'CARMA': u'[44220]'}"
1145,Talarn,,Talarn,,Hydro,Reservoir,Spain,PP,300.0,,42.17969,0.91314,,"{u'GEO': u'G1158', u'CARMA': u'[44346]'}"
1146,Tapada outeiro,,Tapada outerio,,Natural Gas,CCGT,Portugal,PP,1007.738,,41.0698,-8.4595,,"{u'GEO': u'G498', u'CARMA': u'[44580]'}"
1147,Tarragona,,Tarragona,,Natural Gas,CCGT,Spain,PP,424.0,,41.1096,1.1817,,"{u'GEO': u'G555', u'CARMA': u'[44663]'}"
1148,Tavazzano,,E.on tavazzano,,Natural Gas,CCGT,Italy,PP,1810.0,,45.3325,9.4364,,"{u'GEO': u'G414', u'CARMA': u'[44744]'}"
1149,Te tol,,Ljubljana te tol chpp,,Hard Coal,Steam Turbine,Slovenia,CHP,124.0,,46.058,14.5451,,"{u'GEO': u'G195', u'CARMA': u'[44806]'}"
1150,Teesside,,Teesside and heat,,Natural Gas,CCGT,United Kingdom,PP,1869.0,,54.5755194266,-1.12755775452,,"{u'GEO': u'G623', u'CARMA': u'[44839]'}"
1151,Termoli energia,,Sorgenia termoli,,Natural Gas,CCGT,Italy,PP,765.0,,41.9372,15.001,,"{u'GEO': u'G397', u'CARMA': u'[45063]'}"
1152,Teshel,,Teshel,,Hydro,Reservoir,Bulgaria,PP,60.0,,41.6428,24.153,,"{u'GEO': u'G791', u'CARMA': u'[45111]'}"
1153,Thessaloniki,,Thessaloniki,,Natural Gas,CCGT,Greece,PP,421.52,,40.6872,22.885,,"{u'GEO': u'G363', u'CARMA': u'[45241, 56824, 45240]'}"
1154,Tisova,,Tisova,,Hard Coal,Steam Turbine,Czech Republic,CHP,325.0,,50.1496,12.6108,,"{u'GEO': u'G16', u'CARMA': u'[45547]'}"
1155,Tolle,,Enel porto tolle,,Oil,Steam Turbine,Italy,PP,2640.0,,44.9569,12.4883,,"{u'GEO': u'G657', u'CARMA': u'[35481]'}"
1156,Torrevaldaliga,,Tirrenopower torrevaldaliga south,,Natural Gas,CCGT,Italy,PP,1947.0,,42.1241,11.7624,,"{u'GEO': u'G437', u'CARMA': u'[45964]'}"
1157,Torrevaldaliga,,Enel torrevaldaliga nord,,Hard Coal,Steam Turbine,Italy,PP,1980.0,,42.1269,11.7583,,"{u'GEO': u'G113', u'CARMA': u'[45963]'}"
1158,Torviscosa,,Edison torviscosa,,Natural Gas,CCGT,Italy,PP,790.0,,45.817,13.2891,,"{u'GEO': u'G446', u'CARMA': u'[45989]'}"
1159,Touvedo,,Touvedo,,Hydro,Reservoir,Portugal,PP,22.2,,41.8124,-8.354,,"{u'GEO': u'G1045', u'CARMA': u'[46045]'}"
1160,Trbovlje,,Trbovlje tes,,Hard Coal,Steam Turbine,Slovenia,PP,188.0,,46.1258,15.06114,,"{u'GEO': u'G197', u'CARMA': u'[46191]'}"
1161,Tresna,,Tresna,,Hydro,Reservoir,Poland,PP,23.0,,49.7473,19.2075,,"{u'GEO': u'G1021', u'CARMA': u'[46259]'}"
1162,Tuilieres,,Tuilieres,,Hydro,Run-Of-River,France,PP,32.0,,44.845,0.633,,"{u'GEO': u'G888', u'CARMA': u'[46530]'}"
1163,Tunes,,Tunes ocgt,,Oil,OCGT,Portugal,PP,199.2,,37.1642,-8.2647,,"{u'GEO': u'G500', u'CARMA': u'[46590]'}"
1164,Turbigo levante,,Edipower turbigo and,,Natural Gas,"CCGT, Thermal",Italy,PP,1770.0,,45.5201,8.7422,,"{u'GEO': u'G422', u'CARMA': u'[46633]'}"
1165,Urreiting,,Urreiting,,Hydro,Run-Of-River,Austria,PP,16.5,,47.37485,13.2101,,"{u'GEO': u'G724', u'CARMA': u'[47294]'}"
1166,Vado ligure,,Tirrenopower vado ligure,,Hard Coal,Steam Turbine,Italy,PP,1740.0,,44.2755,8.4305,,"{u'GEO': u'G115', u'CARMA': u'[47493]'}"
1167,Val beneyte,,Val beynette,,Hydro,Reservoir,France,PP,30.0,,45.416,2.372,,"{u'GEO': u'G883', u'CARMA': u'[47539]'}"
1168,Varazdin,,Varazdin,,Hydro,Run-Of-River,Croatia,PP,94.58,,46.3479,16.2684,,"{u'GEO': u'G809', u'CARMA': u'[47758]'}"
1169,Varna,,Varna,,Hard Coal,Steam Turbine,Bulgaria,PP,1260.0,,43.196,27.7644,,"{u'GEO': u'G13', u'CARMA': u'[47789]'}"
1170,Vaugris,,Vaugris,,Hydro,Run-Of-River,France,PP,72.0,,45.495,4.826,,"{u'GEO': u'G923', u'CARMA': u'[47841]'}"
1171,Veit,,St. veit,,Hydro,Run-Of-River,Austria,PP,16.5,,47.32135,13.1744,,"{u'GEO': u'G722', u'CARMA': u'[42921]'}"
1172,Verbrande brug brule cc,,Vilvoorde verbrande brug,,Natural Gas,CCGT,Belgium,PP,400.0,,50.9414,4.4246,,"{u'GEO': u'G301', u'CARMA': u'[63507]'}"
1173,Verzuolo gever,,Edison verzuolo gever,,Natural Gas,CCGT,Italy,PP,120.0,,44.5947,7.4858,,"{u'GEO': u'G405', u'CARMA': u'[48032]'}"
1174,Vilar tabuaco,,Vilar tabuaco,,Hydro,Reservoir,Portugal,PP,64.0,,40.9871,-7.5353,,"{u'GEO': u'G1050', u'CARMA': u'[48201]'}"
1175,Villach,,Villach,,Hydro,Run-Of-River,Austria,PP,25.322,,46.6329,13.8294,,"{u'GEO': u'G698', u'CARMA': u'[48251]'}"
1176,Villalcampo,,Villalcampo,,Hydro,Reservoir,Spain,PP,206.0,,41.4913,-6.0861,,"{u'GEO': u'G1157', u'CARMA': u'[48264]'}"
1177,Villarino,,Almendra villarino,,Hydro,Reservoir,Spain,PP,842.0,,41.27016,-6.3208,,"{u'GEO': u'G1153', u'CARMA': u'[48280]'}"
1178,Villeneuve lot,,Lot,,Hydro,Reservoir,France,PP,28.6,,44.663,2.664,,"{u'GEO': u'G858', u'CARMA': u'[48297]'}"
1179,Villerest,,Villerest,,Hydro,Reservoir,France,PP,58.7,,45.987,4.048,,"{u'GEO': u'G930', u'CARMA': u'[48298]'}"
1180,Vinodol,,Vinodol system,,Hydro,Reservoir,Croatia,PP,90.0,,45.2286,14.6736,,"{u'GEO': u'G800', u'CARMA': u'[48344]'}"
1181,Vinon,,Vinon,,Hydro,Reservoir,France,PP,32.5,,43.725,5.827,,"{u'GEO': u'G952', u'CARMA': u'[48345]'}"
1182,Vittjarv,,Vittjarv,,Hydro,Run-Of-River,Sweden,PP,36.0,,65.8453,21.5545,,"{u'GEO': u'G1165', u'CARMA': u'[48423]'}"
1183,Volklingen fenne,,Völklingen fens,,Hard Coal,Steam Turbine,Germany,CHP,480.262,,49.2489,6.8812,,"{u'GEO': u'G80', u'CARMA': u'[48515]'}"
1184,Vrane,,Vrane republic,,Hydro,Run-Of-River,Czech Republic,PP,13.88,,49.9381,14.3749,,"{u'GEO': u'G816', u'CARMA': u'[48571]'}"
