id,CARMA,ENTSOE,GEO,OPSD,Fueltype,Technology,Country,Set,Capacity,YearCommissioned,lat,lon,File,projectID
682,Castellon,Castello,Castellon,,Natural Gas,CCGT,Spain,PP,1642.35,,39.95925,-0.00098,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G568', u'ENTSOE': u'[18WCTN4-123456-C, 18WCTN3-12345-04]', u'CARMA': u'[7363, 7367, 7374]'}"
683,Castelnou,Castelnou,Castelnou,,Natural Gas,CCGT,Spain,PP,790.6,,41.2167,-0.2928,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G541', u'ENTSOE': u'[18WCTNU-12345-0U]', u'CARMA': u'[7378]'}"
684,Castelo bode,Castelo bode,Castelo do bode,,Hydro,Reservoir,Portugal,PP,159.0,,39.5429,-8.3188,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G1041', u'ENTSOE': u'[16WCBODE-------5]', u'CARMA': u'[7383]'}"
685,Chivasso,Chivasso,Edipower chivasso,,Natural Gas,CCGT,Italy,PP,1179.0,,45.1856,7.9016,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G443', u'ENTSOE': u'[26WIMPI-S01CHVSE]', u'CARMA': u'[8489]'}"
686,Chorzow elcho,Chorzów,Elcho chorzow,,Hard Coal,Steam Turbine,Poland,CHP,226.0,,50.308,18.969,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G155', u'ENTSOE': u'[19W0000000000369]', u'CARMA': u'[12231]'}"
687,Cofrentes,Cofrentes,Cofrentes,,Nuclear,,Spain,PP,1092.0,,39.2134,-1.0509,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G1298', u'ENTSOE': u'[18WCOF1-12345-0O]', u'CARMA': u'[8985]'}"
688,Coo trois ponts,Coo,Coo and,,Hydro,Pumped Storage,Belgium,PP,1164.0,,50.3849,5.8618,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G752', u'ENTSOE': u'[22WCOOXIX000067T, 22WCOOXII000070C]', u'CARMA': u'[9282]'}"
689,Craiova,Tpp craiova,Craiova,,Lignite,Steam Turbine,Romania,PP,300.0,,44.345,23.8156,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G173', u'ENTSOE': u'[30W-CET-CRAI---T]', u'CARMA': u'[9625]'}"
690,Crestuma lever,Crestuma,Crestuma lever,,Hydro,Run-Of-River,Portugal,PP,117.0,,41.0716,-8.486,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G1039', u'ENTSOE': u'[16WCRESTUM-----6]', u'CARMA': u'[9661]'}"
691,Cristobal colon,Colon,Cristobal colon,,Natural Gas,CCGT,Spain,PP,400.0,,37.2156,-6.943,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G536', u'ENTSOE': u'[18WCOL4-12345-02]', u'CARMA': u'[9688]'}"
692,Debrecen,Debreceni kombináltciklusú erőmű,E.on debrecen ocgt hungary,,Natural Gas,OCGT,Hungary,CHP,105.0,,47.5185,21.6329,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G373', u'ENTSOE': u'[15WDKCE------PPQ]', u'CARMA': u'[62181, 10399]'}"
693,Den haag,Den haag,Den hague repower,,Natural Gas,CCGT,Netherlands,PP,120.7,,52.076,4.2905,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G488', u'ENTSOE': u'[49W0000000000342]', u'CARMA': u'[10543]'}"
694,Donaustadt,Donaustadt,Donaustadt,,Natural Gas,CCGT,Austria,PP,557.0,,48.19917,16.4633,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G276', u'ENTSOE': u'[14W-PROD-DO----O]', u'CARMA': u'[11078]'}"
695,Drogenbos,Drogenbos tgv,Drogenbos,,Natural Gas,CCGT,Belgium,PP,604.0,,50.8023,4.299,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G300', u'ENTSOE': u'[22WDROGEN0000863]', u'CARMA': u'[11324]'}"
696,Dublin bay,Dublin bay prod,Dublin bay ringsend,,Natural Gas,CCGT,Ireland,PP,408.0,,53.34,-6.2049,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G382', u'ENTSOE': u'[47W000000000171M]', u'CARMA': u'[11387]'}"
697,Dunamenti,Dunamenti erőmű,Dunamenti hungary,,Natural Gas,Steam Turbine,Hungary,PP,1290.0,,47.3283,18.9169,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G375', u'ENTSOE': u'[15WDUME------PPI]', u'CARMA': u'[11455]'}"
698,Durnrohr,Kraftwerk dürnrohr,Duernrohr,,Hard Coal,Steam Turbine,Austria,CHP,757.0,,48.3264,15.9246,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G1', u'ENTSOE': u'[14W-KW-DU2-EVN-K]', u'CARMA': u'[11533]'}"
699,Edolo,Edolo,Edolo,,Hydro,Pumped Storage,Italy,PP,1280.0,,46.171,10.348,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G982', u'ENTSOE': u'[26WIMPI-S03EDLO9]', u'CARMA': u'[11821]'}"
700,Einaudi chiotas,Entracque_chro,Entracque chiotas piastra,,Hydro,Pumped Storage,Italy,PP,1184.0,,44.2256,7.38417,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G985', u'ENTSOE': u'[26WIMPI-S01ENTRP]', u'CARMA': u'[8420]'}"
701,Einaudi rovina,Entracque rovina,Entracque rovina piastra,,Hydro,Pumped Storage,Italy,PP,134.0,,44.2256,7.3817,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G986', u'ENTSOE': u'[26WIMPI-R01ENTRX]', u'CARMA': u'[38112]'}"
702,Ems lingen,Emsland,Emsland,,Nuclear,,Germany,PP,1400.0,,52.4716,7.3204,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G1286', u'ENTSOE': u'[11WD7KKE-1K--KW5]', u'CARMA': u'[12432]'}"
703,Filippo mela,Filippo del mela,Edipower san filippo del mela,,Oil,Steam Turbine,Italy,PP,1280.0,,38.2049,15.2818,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G656', u'ENTSOE': u'[26WIMPI-S19SDMCS]', u'CARMA': u'[39144]'}"
704,Formin,He formin,Formin poqwer,,Hydro,"Reservoir, Run-Of-River",Slovenia,PP,127.0,,46.4026,16.0339,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G1145', u'ENTSOE': u'[28W-G-000000091H]', u'CARMA': u'[13751]'}"
705,Forsmark,Forsmark block,Forsmark,,Nuclear,,Sweden,PP,3320.0,,60.40283,18.17435,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G1301', u'ENTSOE': u'[46WPU0000000015W, 46WPU0000000016U, 46WPU0000000017S]', u'CARMA': u'[13776]'}"
706,Fratel,Fratel,Fratel,,Hydro,Run-Of-River,Portugal,PP,132.0,,39.5428,-7.8029,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G1037', u'ENTSOE': u'[16W-FRATEL-----A]', u'CARMA': u'[14010]'}"
707,Freudenau,Freudenau,Freudenau,,Hydro,Run-Of-River,Austria,PP,186.8,,48.1766,16.4814,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G739', u'ENTSOE': u'[14W-BFR-KW-----A]', u'CARMA': u'[14110]'}"
708,Galati,Tpp galati,Galati,,Natural Gas,Steam Turbine,Romania,PP,535.0,,45.436,27.9814,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G670', u'ENTSOE': u'[30W-CET-GALA---G]', u'CARMA': u'[14466]'}"
709,Gdansk,Gdańsk,Wybrzeze gdansk gdynia,,Hard Coal,Steam Turbine,Poland,CHP,322.5,,54.3778,18.6405,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G145', u'ENTSOE': u'[19W000000000059Y]', u'CARMA': u'[14778]'}"
710,Gerlos,Gerlos,Gerlos,,Hydro,Reservoir,Austria,PP,200.2,,47.23417,11.89972,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G731', u'ENTSOE': u'[14W-TZG-KW-----H]', u'CARMA': u'[14969]'}"
711,Ghislain,Saint ghislain steg,Saint ghislain,,Natural Gas,CCGT,Belgium,PP,360.0,,50.4719,3.8248,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G303', u'ENTSOE': u'[22WSAINT-000221B]', u'CARMA': u'[38690]'}"
712,Gilceag,Hpp galceag,Galceag oasa,,Hydro,Reservoir,Romania,PP,150.0,,45.5879,23.6279,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G1064', u'ENTSOE': u'[30W-CHE-GALC---C]', u'CARMA': u'[15106]'}"
713,Gissi,Gissi,Gissi,,Natural Gas,CCGT,Italy,PP,840.0,,42.0502,14.5639,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G402', u'ENTSOE': u'[26WIMPI-S13CDGNT]', u'CARMA': u'[15170]'}"
714,Great island,Great island prod,Great island,,Oil,Steam Turbine,Ireland,PP,313.0,,52.2793,-6.9935,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show","{u'GEO': u'G655', u'ENTSOE': u'[47W000000000160R]', u'CARMA': u'[15801]'}"
