id,Name,Fueltype,Classification,Country,Capacity,lat,lon,File
65,Torrão,Hydro,Pumped storage,Portugal,140.0,41.097355,-8.261137,energy_storage_exchange
66,Estany gento sallente,Hydro,Pumped storage,Spain,468.0,42.5104171,1.0029834,energy_storage_exchange
67,Aguayo,Hydro,Pumped storage,Spain,360.0,43.092929,-4.015202,energy_storage_exchange
68,Aguayo,Hydro,Pumped storage,Spain,1014.0,43.1276249,-4.055505,energy_storage_exchange
69,Muela,Hydro,Pumped storage,Spain,2000.0,39.2408334,-0.9429902,energy_storage_exchange
70,Chaira,Hydro,Pumped storage,Bulgaria,788.0,42.1927654,24.3335662,energy_storage_exchange
71,Belmeken,Hydro,Pumped storage,Bulgaria,104.0,42.1666667,23.8,energy_storage_exchange
72,Riedl energy,Hydro,Pumped storage,Germany,300.0,48.5750459,13.6694984,energy_storage_exchange
73,Malta main,Hydro,Pumped storage,Austria,730.0,46.87241,13.32653,energy_storage_exchange
74,Kaprun upper,Hydro,Pumped storage,Austria,113.0,47.3648489,12.6417225,energy_storage_exchange
75,Häusling,Hydro,Pumped storage,Austria,360.0,47.14584,11.96699,energy_storage_exchange
76,Roßhag,Hydro,Pumped storage,Austria,231.0,47.0867914,11.7738871,energy_storage_exchange
77,Malta upper,Hydro,Pumped storage,Austria,120.0,47.0791667,13.3391667,energy_storage_exchange
78,Kruonis & extension,Hydro,Pumped storage,Lithuania,900.0,54.797866,24.248169,energy_storage_exchange
79,Nant drance,Hydro,Pumped storage,Switzerland,900.0,46.1025948,7.0770551,energy_storage_exchange
80,Ova spin,Hydro,Pumped storage,Switzerland,47.0,46.7004826,10.0949116,energy_storage_exchange
81,Lago bianco,Hydro,Pumped storage,Switzerland,1000.0,46.3265,10.0567,energy_storage_exchange
82,Ferrera,Hydro,Pumped storage,Switzerland,185.0,46.5301934,9.4535904,energy_storage_exchange
83,Mapragg,Hydro,Pumped storage,Switzerland,370.0,46.9429623,9.4798893,energy_storage_exchange
84,Linthal linth limmern expansion,Hydro,Pumped storage,Switzerland,1000.0,46.9218287,8.9996438,energy_storage_exchange
85,Tierfehd nestil,Hydro,Pumped storage,Switzerland,141.0,46.8784824,8.9820654,energy_storage_exchange
86,Etzelwerk,Hydro,Pumped storage,Switzerland,135.0,47.1369626,8.7800626,energy_storage_exchange
87,Robiei,Hydro,Pumped storage,Switzerland,160.0,46.3367938,8.6092811,energy_storage_exchange
88,Handeck,Hydro,Pumped storage,Switzerland,55.0,46.65532,8.28872,energy_storage_exchange
89,Grimsel,Hydro,Pumped storage,Switzerland,950.0,46.65532,8.28872,energy_storage_exchange
90,Gougra,Hydro,Pumped storage,Switzerland,164.0,46.291289,7.53548,energy_storage_exchange
91,Hongrin leman,Hydro,Pumped storage,Switzerland,240.0,46.4198999,6.9287696,energy_storage_exchange
92,Emosson,Hydro,Pumped storage,Switzerland,360.0,46.1025948,7.0770551,energy_storage_exchange
93,Veytaux fmhl+,Hydro,Pumped storage,Switzerland,240.0,46.4358779,6.9104254,energy_storage_exchange
94,Lünerseewerk,Hydro,Pumped storage,Austria,232.0,47.0531826,9.7529724,energy_storage_exchange
95,Rifawerk,Hydro,Pumped storage,Austria,7.0,46.9782553,10.0383768,energy_storage_exchange
96,Rellswerk,Hydro,Pumped storage,Austria,12.0,47.0531826,9.7529724,energy_storage_exchange
97,Campolattaro,Hydro,Pumped storage,Italy,572.0,41.2876603,14.7354961,energy_storage_exchange
98,Venda nova,Hydro,Pumped storage,Portugal,736.0,41.692695,-8.027817,energy_storage_exchange
99,Villarino almendra reversible,Hydro,Pumped storage,Spain,810.0,41.268575,-6.4676609,energy_storage_exchange
100,Aldeadávila,Hydro,Pumped storage,Spain,1139.0,40.9370288,-5.6662927,energy_storage_exchange
101,Avče,Hydro,Pumped storage,Slovenia,185.0,46.0855,13.668599,energy_storage_exchange
102,Lepenica,Hydro,Pumped storage,Croatia,1.14,45.3049852,14.7148369,energy_storage_exchange
103,Fužine,Hydro,Pumped storage,Croatia,4.6,45.3049852,14.7148369,energy_storage_exchange
104,Velebit pump,Hydro,Pumped storage,Croatia,276.0,44.2007328,15.6811168,energy_storage_exchange
105,Sfikia,Hydro,Pumped storage,Greece,315.0,40.3856573,22.2113777,energy_storage_exchange
106,Thisavros φράγμα θησαυρού,Hydro,Pumped storage,Greece,384.0,41.267032,24.5008777,energy_storage_exchange
107,Tajo encantada málaga,Hydro,Pumped storage,Spain,360.0,36.90817,-4.763344,energy_storage_exchange
108,Jukla plants,Hydro,Pumped storage,Norway,40.0,59.9361331,5.9955943,energy_storage_exchange
109,Stølsdal,Hydro,Pumped storage,Norway,17.0,59.223399,6.186539,energy_storage_exchange
110,Saurdal,Hydro,Pumped storage,Norway,640.0,59.49881,6.526562,energy_storage_exchange
111,Aurland,Hydro,Pumped storage,Norway,270.0,60.90357,7.201723,energy_storage_exchange
112,Dychów,Hydro,Pumped storage,Poland,90.0,51.9863325,15.0608199,energy_storage_exchange
113,Niedzica,Hydro,Pumped storage,Poland,82.8,49.4099645,20.3267659,energy_storage_exchange
114,Porabka zar,Hydro,Pumped storage,Poland,500.0,49.7704966,19.2116631,energy_storage_exchange
115,Alto rabagão,Hydro,Pumped storage,Portugal,68.0,41.737703,-7.853632,energy_storage_exchange
116,Aguieira,Hydro,Pumped storage,Portugal,336.0,40.340285,-8.196778,energy_storage_exchange
117,El hierro wind,Hydro,Pumped storage,Spain,11.3,27.795065,-17.923562,energy_storage_exchange
118,Go development demonstration,Hydro,Pumped storage,Denmark,0.006,54.92273,9.6794619,energy_storage_exchange
119,Kuhtai psh kühtai,Hydro,Pumped storage,Austria,289.0,47.2537414,11.601487,energy_storage_exchange
120,Orphey,Hydro,Pumped storage,Bulgaria,160.0,41.7429109,24.3915387,energy_storage_exchange
121,Anapo solarino,Hydro,Pumped storage,Italy,600.0,37.10085,15.119678,energy_storage_exchange
122,Bargi,Hydro,Pumped storage,Italy,330.0,44.1260632,11.0588536,energy_storage_exchange
123,Rovina entracque,Hydro,Pumped storage,Italy,134.0,44.2439659,7.3964073,energy_storage_exchange
124,San fiorano,Hydro,Pumped storage,Italy,568.0,46.0551036,10.3501475,energy_storage_exchange
125,Provvidenza,Hydro,Pumped storage,Italy,156.0,42.5575092,13.3690221,energy_storage_exchange
126,Conso,Hydro,Pumped storage,Spain,228.0,42.1429146,-7.286868,energy_storage_exchange
127,Gabriel galan,Hydro,Pumped storage,Spain,111.0,40.195346,-6.16329,energy_storage_exchange
128,Gobantes,Hydro,Pumped storage,Spain,3.6,36.95558,-4.798108,energy_storage_exchange
129,Guijo grandadilla,Hydro,Pumped storage,Spain,54.0,40.195346,-6.16329,energy_storage_exchange
130,Guillena,Hydro,Pumped storage,Spain,215.0,37.5429955,-6.0568552,energy_storage_exchange
131,Ibón ip,Hydro,Pumped storage,Spain,84.0,42.7201458,-0.4561336,energy_storage_exchange
132,Moralets llauset lleida huesca,Hydro,Pumped storage,Spain,219.1,42.580864,0.694514,energy_storage_exchange
133,Pintado,Hydro,Pumped storage,Spain,14.0,37.93753,-5.780025,energy_storage_exchange
134,Puente bibey,Hydro,Pumped storage,Spain,315.0,42.310337,-7.2346105,energy_storage_exchange
135,Tanes,Hydro,Pumped storage,Spain,133.0,43.2504393,-5.9832577,energy_storage_exchange
136,Torrejon,Hydro,Pumped storage,Spain,132.0,40.1989768,-3.8016321,energy_storage_exchange
137,Urdiceto,Hydro,Pumped storage,Spain,7.2,42.6334211,0.218018,energy_storage_exchange
138,Valdencanas,Hydro,Pumped storage,Spain,225.0,40.2268415,-2.3337187,energy_storage_exchange
139,Ponale riva del garda ledro,Hydro,Pumped storage,Italy,80.0,45.8885171,10.8426602,energy_storage_exchange
140,Campo moro,Hydro,Pumped storage,Italy,36.5,46.2695803,9.8720987,energy_storage_exchange
141,Capriati,Hydro,Pumped storage,Italy,115.0,41.5230896,14.1329142,energy_storage_exchange
142,Fadalto,Hydro,Pumped storage,Italy,210.0,46.0714347,12.3411223,energy_storage_exchange
143,Villa gargnano,Hydro,Pumped storage,Italy,137.2,45.6885992,10.6617327,energy_storage_exchange
144,Gaudalami,Hydro,Pumped storage,Italy,80.0,37.9937488,13.2882915,energy_storage_exchange
145,Pracomune,Hydro,Pumped storage,Italy,42.0,46.5478079,11.0070771,energy_storage_exchange
