None,Name,Name,Name,Name,Name,Fueltype,Fueltype,Fueltype,Fueltype,Fueltype,Technology,Technology,Technology,Technology,Technology,Set,Set,Set,Set,Set,Country,Country,Country,Country,Country,Capacity,Capacity,Capacity,Capacity,Capacity,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,lat,lat,lat,lat,lat,lon,lon,lon,lon,lon,File,File,File,File,File,projectID,projectID,projectID,projectID,projectID
None,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI
28,,,,Mk,Mk,,,,Natural Gas,Natural Gas,,,,,,,,,PP,PP,,,,Netherlands,Netherlands,,,,103.0,103.0,,,,,,,,,52.10157,52.100972,,,,5.07982,5.0784226,,,,Tennet_Q12015,Netherlands Power Plant.csv,,,,[OEU53],[2765]
29,Abono,Aboño,Abono,,Abono,Hard Coal,Coal,Hard Coal,,Coal,,,Steam Turbine,,,PP,,PP,,PP,Spain,Spain,Spain,,Spain,921.7,535.8,921.7,,877.66,,,,,,43.558782,,43.5528,,,-5.722872,,-5.7231,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Spain Power Plants Over 10 MW.csv,[139],18WABO2-12345-0N,G203,,[15]
30,Abwinden asten,Abwinden asten,Abwinden asten,,Abwinden asten,Hydro,Hydro,Hydro,,Hydro,,Run-of-river,Run-Of-River,,,PP,PP,PP,,PP,Austria,Austria,Austria,,Austria,173.1,168.0,168.0,,168.0,,,,,,,,48.24798,,,,,14.4305,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Verbund Power Plant.csv,[170],14W-BAA-KW-----D,G737,,[18]
31,Aghada,Aghada prod,Aghada,,Aghada,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,OCGT,,CCGT,PP,,PP,,PP,Ireland,Ireland,Ireland,,Ireland,960.0,678.0,963.0,,963.0,,,,,,51.8351,,51.8346862247,,,-8.23287,,-8.23619230423,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Ireland and Northern Ireland.csv,[395],47W000000000164J,G378,,"[35, 36]"
32,Almaraz,Almaraz,Almaraz,,Almaraz,Nuclear,Nuclear,Nuclear,,Nuclear,,,,,,PP,PP,PP,,PP,Spain,Spain,Spain,,Spain,1960.0,1011.3,2090.0,,2093.0,,,,,,39.8080555556,,39.80705,,,-5.6969444444,,-5.6986,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,EU Nuclear Power.csv,[1039],18WALZ1-12345-0E,G1297,,[114]
33,Altenworth,Altenwörth,Altenwoerth,,Altenwörth,Hydro,Hydro,Hydro,,Hydro,,Run-of-river,Run-Of-River,,,PP,PP,PP,,PP,Austria,Austria,Austria,,Austria,349.5,328.0,328.0,,328.0,,,,,,48.3833333,,48.3745,,,15.85,,15.8556,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Verbund Power Plant.csv,[1175],14W-BAW-KW-----F,G712,,[140]
34,Altomonte,Altomonte,Edison altomonte,,Altomonte,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,CCGT,,,PP,,PP,,PP,Italy,Italy,Italy,,Italy,775.8,808.0,757.0,,808.0,,,,,,39.6989983002,,39.7118,,39.3099931,16.129989624,,16.215,,16.2501929,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[1214],26WIMPI-S18EADS0,G403,,[142]
35,Alvkarleby,Älvkarleby,Alvkarleby,,Alvkarleby,Hydro,Hydro,Hydro,,Hydro,,,Reservoir,,,PP,PP,PP,,PP,Sweden,Sweden,Sweden,,Sweden,111.0,125.0,125.0,,116.0,,,,,,60.5333333,,60.56368,,60.4468931,17.4,,17.44205,,17.2657933,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Sweden Power Plant.csv,[1246],46WPU0000000053O,G1172,,[149]
36,Amercoeur,Amercoeur tgv,Amercoeur,,Amercoeur tgv,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,CCGT,,,PP,,PP,,PP,Belgium,Belgium,Belgium,,Belgium,553.8,451.0,420.0,,451.0,,,,,,50.4411079382,,50.4304,,,4.39169883728,,4.3955,,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Belgium Power Plant.csv,[1340],22WAMERCO000010Y,G302,,[156]
37,Anapo,Anapo c.le,Anapo,,Anapo c.le,Hydro,Hydro,Hydro,,Hydro,,,Pumped Storage,,,PP,PP,PP,,PP,Italy,Italy,Italy,,Italy,500.0,500.0,500.0,,500.0,,,,,,37.157247,,37.1183,,37.1544411,15.180194,,15.1394,,15.1877451,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,Italy Power Plant.csv,[1456],26WIMYI-S19ANPAB,G987,,[171]
