None,Name,Name,Name,Name,Name,Fueltype,Fueltype,Fueltype,Fueltype,Fueltype,Technology,Technology,Technology,Technology,Technology,Set,Set,Set,Set,Set,Country,Country,Country,Country,Country,Capacity,Capacity,Capacity,Capacity,Capacity,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,lat,lat,lat,lat,lat,lon,lon,lon,lon,lon,File,File,File,File,File,projectID,projectID,projectID,projectID,projectID
None,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI,CARMA,ENTSOE,GEO,OPSD,WRI
1177,Chooz,Chooz,Chooz,Chooz,,Nuclear,Nuclear,Nuclear,Nuclear,,,,,Steam Turbine,,PP,PP,PP,PP,,France,France,France,France,,3120.0,1500.0,3120.0,3000.0,,,,,,,50.09,,50.09,50.09136,,4.7894444444,,4.789444444,4.79242,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[8542],17W100P100P01962,G1268,"[OEU198, OEU197]",
1178,Civaux,Civaux,Civaux,Civaux,,Nuclear,Nuclear,Nuclear,Nuclear,,,,,Steam Turbine,,PP,PP,PP,PP,,France,France,France,France,,3122.0,1495.0,3122.0,2990.0,,,,,,,46.4566666667,,46.4563380303,46.45614,,0.6527777778,,0.654807956874,0.6524,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[8758],17W100P100P0198Z,G1283,"[OEU199, OEU200]",
1179,Coche,Coche,Coche,Coche,,Hydro,Hydro,Hydro,Hydro,,,,Pumped Storage,Pumped Storage,,PP,PP,PP,PP,,France,France,France,France,,310.0,320.0,300.0,320.0,,,,,,,45.4833333,,45.482,45.49667,,6.5333333,,6.535,6.51038,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[23659],17W100P100P02748,G948,[OEU124],
1180,Couesque,Couesque,Couesque,Couesque,,Hydro,Hydro,Hydro,Hydro,,,Run-of-river,Reservoir,Run-Of-River,,PP,PP,PP,PP,,France,France,France,France,,124.5,119.0,124.0,119.0,,,,,,,44.646063143,,44.696,44.69609,,2.5674533844,,2.585,2.58555,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[9538],17W100P100P0313O,G849,[OEU136],
1181,Curbans,Curbans,Curbans,Curbans,,Hydro,Hydro,Hydro,Hydro,,,,Reservoir,Reservoir,,PP,PP,PP,PP,,France,France,France,France,,138.9,139.0,165.0,139.0,,,,,,,44.428399,,44.4476,44.42078,,6.038579,,6.0616,6.02016,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[9857],17W100P100P02845,G839,[OEU161],
1182,Dk sollac,Dk,Dk dunkerque,Dk,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,,CCGT,,,CHP,,PP,PP,,France,France,France,France,,810.0,796.0,800.0,796.0,,,,,2005.0,,51.03,,51.04816,51.04628,,2.36,,2.32547,2.31835,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[10943],17W100P100P0350I,G325,[OEU113],
1183,Dolna odra,Dolna odra,Dolna odra,Dolna odra,,Hard Coal,Coal,Hard Coal,Hard Coal,,,,Steam Turbine,,,PP,,CHP,PP,,Poland,Poland,Poland,Poland,,1720.0,1362.0,1772.0,1362.0,,,,,,,53.205776,,53.207,53.20981,,14.466333,,14.465,14.46696,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,GPI,,[11034],19W000000000043C,G164,"[OEU260, OEU256, OEU257, OEU258, OEU259, OEU255]",
1184,Donzere,Donzere mondragon,Bollene,Donzere mondragon,,Hydro,Hydro,Hydro,Hydro,,,Run-of-river,Run-Of-River,Run-Of-River,,PP,PP,PP,PP,,France,France,France,France,,354.0,348.0,354.0,348.0,,,,,1952.0,,44.440893,,44.304,44.30368,,4.711792,,4.742,4.74217,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[11135],17W100P100P0324J,G890,[OEU137],
1185,Dormagen rwe,Gud dormagen,Dormagen,Dormagen,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,,CCGT,CCGT,,PP,,CHP,IPP,,Germany,,Germany,Germany,,580.0,586.8,560.0,586.3,,,,,2000.0,,51.08001594,,51.079,51.07908,,6.827090823,,6.8288,6.82871,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[11163],11WD7BRAU5G-KW-N,G339,[BNA0199],
1186,Dychow,Dychów,Dychow,Dychów,,Hydro,Hydro,Hydro,Hydro,,,,Pumped Storage,Pumped Storage,,PP,PP,PP,PP,,Poland,Poland,Poland,Poland,,79.5,85.0,90.0,85.0,,,,,,,51.9864659267,,51.9883,51.56076,,15.0608825684,,15.053333,15.45145,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,GPI,,[11576],19W000000000272Y,G1010,"[OEU261, OEU262, OEU263]",
1187,Emsland lingen,Emsland,Lingen emsland,Emsland,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,,CCGT,"CCGT, Steam Turbine",,"CHP, PP",,CHP,PP,,Germany,Germany,Germany,Germany,,1793.25,1820.0,886.0,3173.0,,,,,1973.0,,52.498673435,,52.4828,52.481878,,7.311361982,,7.3039,7.306658,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,"[12440, 12439]",11WD7EMSL-G-KW-T,G336,"[BNA0605, BNA0604, BNA0603, BNA0602, BNA0606, BNA0607]",
1188,Erzhausen,Psw erzhausen,Erzhausen,Erzhausen,,Hydro,Hydro,Hydro,Hydro,,,,Pumped Storage,Pumped Storage,,PP,PP,PP,PP,,Germany,,Germany,Germany,,246.0,228.0,220.0,220.0,,,,,1964.0,,51.8666667,,51.899,51.89912,,9.9666667,,9.9243,9.92452,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[12680],11WD2ERZH0002682,G957,[BNA0558],
1189,Esteve,Saint esteve,Saint esteve janson,Saint esteve,,Hydro,Hydro,Hydro,Hydro,,,,Run-Of-River,Reservoir,,PP,PP,PP,PP,,France,France,France,France,,141.1,141.0,156.0,141.0,,,,,,,44.1833333,,43.692,43.69049,,6.1666667,,5.385,5.38489,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[38682],17W100P100P0298V,G869,[OEU170],
1190,Etienne cantales,St etienne cantales,Saint etienne cantales,St etienne cantales,,Hydro,Hydro,Hydro,Hydro,,,,Reservoir,Reservoir,,PP,PP,PP,PP,,France,France,France,France,,106.5,106.5,105.0,106.5,,,,,,,44.946827,,44.945,44.94516,,2.224177,,2.219,2.21906,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[38683],17W100P100P02950,G873,[OEU176],
1191,Fessenheim,Fessenheim,Fessenheim,Fessenheim,,Nuclear,Nuclear,Nuclear,Nuclear,,,,,Steam Turbine,,PP,PP,PP,PP,,France,France,France,France,,1840.0,880.0,1840.0,1760.0,,,,,,,47.917441,,47.9031515765,47.90303,,7.536985,,7.56311976401,7.56308,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[13363],17W100P100P0207N,G1273,"[OEU209, OEU210]",
1192,Fessenheim hydro,Fessenheim,Fessenheim,Fessenheim,,Hydro,Hydro,Hydro,Hydro,,,Run-of-river,Run-Of-River,Run-Of-River,,PP,PP,PP,PP,,France,France,France,France,,172.0,175.0,166.0,175.0,,,,,,,47.917441,,47.915,47.91466,,7.536985,,7.571,7.57067,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[13364],17W100P100P0303R,G896,[OEU138],
1193,Flamanville,Flamanville,Flamanville,Flamanville,,Nuclear,Nuclear,Nuclear,Nuclear,,,,,Steam Turbine,,PP,PP,PP,PP,,France,France,France,France,,2764.0,1330.0,2764.0,2660.0,,,,,,,49.5363888889,,49.5365739,49.53671,,-1.8816666667,,-1.88234010604,-1.88229,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[13539],17W100P100P0209J,G1277,"[OEU212, OEU211]",
1194,Franken,Franken,Franken,Franken,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,,Steam Turbine,CCGT,,CHP,,PP,PP,,Germany,Germany,Germany,Germany,,493.0,823.0,843.0,823.0,,,,,1973.0,,49.447778,,49.4209,49.420836,,11.068333,,11.0081,11.007737,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[13964],11WD2GEBE000177K,G331,"[BNA0745, BNA0744]",
1195,Gelderland,Gelderland kv,Gelderland,Gelderland cg,,Hard Coal,Coal,Hard Coal,Hard Coal,,,,Steam Turbine,Steam Turbine,,PP,,PP,PP,,Netherlands,Netherlands,Netherlands,Netherlands,,635.0,592.0,590.0,592.0,,,,,,,51.85768,,51.8561,51.85607,,5.83304,,5.8294,5.83043,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,Tennet_Q12015,,[14847],49W000000000076N,G122,[OEU13],
1196,Genissiat seyssel,Genissiat,Genissiat,Genissiat,,Hydro,Hydro,Hydro,Hydro,,,Run-of-river,Reservoir,Run-Of-River,,PP,PP,PP,PP,,France,France,France,France,,396.0,420.0,420.0,420.0,,,,,1948.0,,45.9,,46.053,46.05271,,6.1166667,,5.813,5.81285,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[14903],17W100P100P0319C,G825,[OEU139],
1197,Gersteinwerk,Gersteinwerk,Gersteinwerk,Gersteinwerk,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,,CCGT,"OCGT, Steam Turbine, CCGT",,PP,,PP,PP,,Germany,Germany,Germany,Germany,,897.0,2004.5,1285.0,1397.0,,,,,1973.0,,51.67338156,,51.6732,51.672453,,7.707977812,,7.7141,7.709947,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[14984],11WD7GERS-X-KW-C,G345,"[BNA1041, BNA1042, BNA1043, BNA1046b, BNA1044, BNA1039, BNA1040, BNA1045]",
1198,Gerstheim,Gerstheim,Gerstheim,Gerstheim,,Hydro,Hydro,Hydro,Hydro,,,Run-of-river,Run-Of-River,Run-Of-River,,PP,PP,PP,PP,,France,France,France,France,,95.2,140.5,141.0,140.5,,,,,,,48.381424,,48.404,48.40385,,7.703083,,7.728,7.72775,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[14985],17W100P100P0310U,G861,[OEU140],
1199,Goesgen,Kernkraftwerk gösgen,Goesgen,Gösgen,,Nuclear,Nuclear,Nuclear,Nuclear,,,,,Steam Turbine,,CHP,PP,PP,PP,,Switzerland,Switzerland,Switzerland,Switzerland,,1020.0,1020.0,1020.0,1035.0,,,,,1979.0,,47.3661111111,,47.3656,47.36552,,7.9666666667,,7.9671,7.96779,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,Schweizerische Eidgenossenschaft,,[15364],12W-0000000056-1,G1305,[OEU1034],
1200,Golfech,Golfech,Golfech,Golfech,,Nuclear,Nuclear,Nuclear,Nuclear,,,,,Steam Turbine,,PP,PP,PP,PP,,France,France,France,France,,2726.0,1310.0,2726.0,2620.0,,,,,,,44.1066666667,,44.1060281618,44.10479,,0.8452777778,,0.844260231019,0.84606,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[15419],17W100P100P0211W,G1282,"[OEU214, OEU213]",
1201,Grand maison,Grand maison,Grand maison,Grand maison,,Hydro,Hydro,Hydro,Hydro,,,,Pumped Storage,Pumped Storage,,PP,PP,PP,PP,,France,France,France,France,,1804.24,1690.0,1800.0,1690.0,,,,,,,45.159234,,45.146,45.20597,,6.079836,,6.051,6.11719,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[15708],17W100P100P02756,G925,[OEU125],
1202,Guillerme,Saint guillerme,St. guillerme,Saint guillerme,,Hydro,Hydro,Hydro,Hydro,,,,Reservoir,Reservoir,,PP,PP,PP,PP,,France,France,France,France,,114.6,116.0,116.0,116.0,,,,,,,45.054847,,45.031,45.03048,,6.029845,,6.079,6.07914,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[38692],17W100P100P0299T,G918,[OEU171],
1203,Gundremmingen,Gundremmingen,Gundremmingen,Kernkraft gundremmingen,,Nuclear,Nuclear,Nuclear,,,,,,Steam Turbine,,PP,PP,PP,PP,,Germany,Germany,Germany,Germany,,2688.0,2572.0,2688.0,2572.0,,,,,1984.0,,48.5147222222,,48.51488,48.51556,,10.4022222222,,10.4012,10.3998924,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[16304],11WD7KRBG1K-KW-V,G1285,"[BNA0381, BNA0382]",
1204,Heilbronn,Hkw heilbronn,Heilbronn,Heilbronn,,Hard Coal,Coal,Hard Coal,Hard Coal,,,,Steam Turbine,Steam Turbine,,CHP,CHP,CHP,CHP,,Germany,,Germany,Germany,,1010.0,778.0,1066.0,1028.0,,,,,1965.0,,49.1765714,,49.176,49.177334,,9.208261299,,9.2073,9.206318,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[17333],11WD4HLBR1CS---A,G53,"[BNA0432, BNA0434, BNA0433]",
1205,Herdecke cuno,Herdecke,Herdecke,Cuno herdecke,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,,CCGT,CCGT,,CHP,,PP,CHP,,Germany,Germany,Germany,Germany,,421.0,424.0,417.0,417.0,,,,,2007.0,,51.4,,51.403,51.40313,,7.4333333,,7.4144,7.4155,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[17529],11WD7GARE5XHEKWQ,G341,[BNA0442],
1206,Herne,Herne,Herne,Herne,,Hard Coal,Coal,Hard Coal,Hard Coal,,,,Steam Turbine,Steam Turbine,,CHP,,CHP,"PP, CHP",,Germany,Germany,Germany,Germany,,950.0,740.0,950.0,862.0,,,,,1963.0,,51.55,,51.5502,51.550753,,7.2166667,,7.18727,7.187481,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[17557],11WD7HERN2S--KWU,G74,"[BNA0447, BNA0450, BNA0449]",
1207,Heyden,Heyden,Heyden,Heyden,,Hard Coal,Coal,Hard Coal,Hard Coal,,,,Steam Turbine,Steam Turbine,,PP,,PP,PP,,Germany,Germany,Germany,Germany,,911.0,875.0,875.0,875.0,,,,,1987.0,,52.38279238,,52.3819,52.38279238,,8.996004114,,8.998333,8.996004114,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[17614],11WD2HEKW000297X,G68,[BNA0793],
1208,Ibbenburen,Ibbenbüren,Ibbenburen,Ibbenbüren,,Hard Coal,Coal,Hard Coal,Hard Coal,,,,Steam Turbine,Steam Turbine,,PP,,PP,PP,,Germany,Germany,Germany,Germany,,808.0,792.0,838.0,794.0,,,,,1985.0,,52.28881179,,52.2865,52.28881179,,7.747906179,,7.7464,7.747906179,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[19019],11WD7IBBE2S--KW6,G82,[BNA0493],
1209,Ingolstadt,Ingolstadt,Ingolstadt,Ingolstadt,,Oil,Oil,Oil,Oil,,,,Steam Turbine,Steam Turbine,,PP,,PP,PP,,Germany,Germany,Germany,Germany,,800.0,772.0,840.0,772.0,,,,,1973.0,,48.76084294,,48.7614,48.761412,,11.50299502,,11.5032,11.503001,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[19389],11WD2INGO0001783,G647,"[BNA0378, BNA0379]",
1210,Irsching,Irsching,Irsching,Irsching,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,,CCGT,"Steam Turbine, CCGT",,PP,,PP,PP,,Germany,Germany,Germany,Germany,,1615.0,1811.0,850.0,960.0,,,,,1974.0,,48.766851675,,48.7677,48.76702,,11.59796405,,11.5854,11.580033,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,"[65986, 19580]",11WD2IRSC000179N,G328,"[BNA0993, BNA0995]",
1211,Janschwalde,Jänschwalde,Janschwalde,Jänschwalde,,Hard Coal,Lignite,Lignite,Lignite,,,,Steam Turbine,Steam Turbine,,CHP,,PP,PP,,Germany,,Germany,Germany,,3000.0,3000.0,3000.0,2790.0,,,,,1981.0,,51.8347222222,,51.8347,51.83444099,,14.4602777778,,14.4603,14.45903778,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[20075],11WD8JAEN1L----Z,G59,"[BNA0785, BNA0786, BNA0790, BNA0787, BNA0788, BNA0789]",
1212,Jaworzno,Jaworzno,Jaworzno,Jaworzno,,Hard Coal,Coal,Hard Coal,Hard Coal,,,,Steam Turbine,,,CHP,,CHP,PP,,Poland,Poland,Poland,Poland,,1545.0,1345.0,1345.0,1345.0,,,,,,,50.21,,50.207,50.21356,,19.2193055,,19.203,19.2287,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,GPI,,"[20139, 20140]",19W0000000000636,G149,"[OEU269, OEU267, OEU264, OEU265, OEU266, OEU268]",
1213,Kembs,Kembs,Kembs,Kembs,,Hydro,Hydro,Hydro,Hydro,,,Run-of-river,Run-Of-River,Run-Of-River,,PP,PP,PP,PP,,France,France,France,France,,154.15,153.7,156.0,153.7,,,,,,,47.689483,,47.655,47.65534,,7.503234,,7.52,7.51959,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[21753],17W100P100P0307J,G898,[OEU142],
1214,Klingenberg,Hkw klingenberg,Klingenberg,Klingenberg,,Hard Coal,Lignite,Lignite,Lignite,,,,Steam Turbine,Steam Turbine,,CHP,CHP,CHP,CHP,,Germany,,Germany,Germany,,180.0,164.0,188.0,164.0,,,,,1981.0,,52.49003031,,52.4889,52.48891639,,13.49598008,,13.4968,13.49696159,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[22458],11WD8KLIN5X----0,G57,[BNA0081],
1215,Knapsack chemiepark,Knapsack,Knapsack,Knapsack,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,,CCGT,CCGT,,PP,,PP,PP,,Germany,Germany,Germany,Germany,,800.0,784.0,800.0,1230.0,,,,,2006.0,,50.85911832,,50.8593,50.861708,,6.840717206,,6.841,6.842353,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[22511],11WD7KWKN----KW1,G342,"[BNA0548a, BNA0548b]",
1216,Koepchenwerk,Koepchenwerk,Koepchenwerk herdecke,Koepchenwerk,,Hydro,Hydro,Hydro,Hydro,,,,Pumped Storage,Pumped Storage,,PP,PP,PP,PP,,Germany,Germany,Germany,Germany,,150.0,153.0,154.0,153.0,,,,,1989.0,,51.5166667,,51.4102,51.41048,,7.45,,7.4526,7.45314,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[22597],11WD7KOEP2P--KWG,G960,[BNA0443],
1217,Kozienice,Kozienice,Kozienice,Kozienice,,Hard Coal,Coal,Hard Coal,Hard Coal,,,,Steam Turbine,,,PP,,PP,PP,,Poland,Poland,Poland,Poland,,2840.0,1799.0,2880.0,2925.0,,,,,,,51.664722,,51.666,51.66456,,21.466666,,21.464,21.463788,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,GPI,,[22994],19W000000000095U,G140,"[OEU274, OEU271, OEU272, OEU280, OEU279, OEU273, OEU275, OEU276, OEU277, OEU278]",
1218,Lagisza,Łagisza,Lagisza,Łagisza,,Hard Coal,Coal,Hard Coal,Hard Coal,,,,Steam Turbine,,,PP,,CHP,PP,,Poland,Poland,Poland,Poland,,1060.0,820.0,840.0,820.0,,,,,,,50.3260666427,,50.349,50.34965,,19.1256523132,,19.142,19.14101,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,GPI,,[24056],19W000000000111L,G146,"[OEU284, OEU283, OEU282, OEU281]",
1219,Laziska,Łaziska,Laziska polan,Łaziska,,Hard Coal,Coal,Hard Coal,Hard Coal,,,,Steam Turbine,,,PP,,CHP,PP,,Poland,Poland,Poland,Poland,,1155.0,905.0,1155.0,1155.0,,,,,,,50.133694,,50.133,50.13236,,18.846472,,18.846,18.84039,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,GPI,,[24720],19W0000000001195,G148,"[OEU285, OEU289, OEU290, OEU287, OEU286, OEU288]",
1220,Leibstadt,Kkl kernkw leibstadt ag,Leibstadt,Leibstadt,,Nuclear,Nuclear,Nuclear,Nuclear,,,,,Steam Turbine,,PP,PP,PP,PP,,Switzerland,Switzerland,Switzerland,Switzerland,,1220.0,1245.0,1220.0,1245.0,,,,,1984.0,,47.6030555556,,47.6011860714,47.60109,,8.1847222222,,8.18447113037,8.18259,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,Schweizerische Eidgenossenschaft,,[24868],12W-0000000052-D,G1303,[OEU1037],
1221,Lichterfelde,Hkw lichterfelde,Berlin lichterfelde plantgermany,Lichterfelde,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,,Steam Turbine,Steam Turbine,,CHP,CHP,CHP,CHP,,Germany,,Germany,Germany,,450.0,288.0,450.0,432.0,,,,,1972.0,,52.5243681651,,52.4247,52.42520804,,13.4105300903,,13.3102,13.30976486,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[25178],11WD8LICH5G----1,G335,"[BNA0076, BNA0075, BNA0080]",
1222,Lippendorf,Lippendorf,Lippendorf,Braunkohlekraftwerk lippendorf,,Hard Coal,Lignite,Lignite,Lignite,,,,Steam Turbine,Steam Turbine,,CHP,,PP,PP,,Germany,Germany,Germany,Germany,,1866.0,1782.0,1866.0,1750.0,,,,,1999.0,,51.18323022,,51.1822,51.182122,,12.37172834,,12.3733,12.373287,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[25377],11WD8LIPD1L----P,G92,"[BNA0116, BNA0115]",
1223,Ludwigshafen mitte,Gud ludwigshafen mitte,Ludwigshafen mitte,Mitte,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,,CCGT,"OCGT, CCGT",,PP,,CHP,"PP, IPP",,Germany,,Germany,Germany,,440.0,412.0,390.0,533.0,,,,,1992.0,,49.4811111,,49.4988,49.51384,,8.4352778,,8.4341,8.431533,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[26121],11WD7LUDW2GA800M,G347,"[BNA0614a, BNA0614b]",
1224,Lunen,Lünen,Lünen trianel,Lünen,,Hard Coal,Coal,Hard Coal,Hard Coal,,,,Steam Turbine,Steam Turbine,,PP,,PP,"PP, CHP",,Germany,,Germany,Germany,,500.0,750.0,750.0,1219.0,,,,,1962.0,,51.6166667,,51.61412,51.61349328,,7.5166667,,7.46155,7.47594264933,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[26211],11WD7KWHU----KW9,G88,"[BNA0618, BNA0619, BNA1508]",
1225,Mainz,Mainz wiesbaden,Mainz wiesbaden,Mainz,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,,CCGT,CCGT,,CHP,,CHP,PP,,Germany,Germany,Germany,Germany,,776.0,785.0,755.0,769.2,,,,,1977.0,,50.02687764,,50.0264,50.025813,,8.237530529,,8.2373,8.2404275,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[26667],11WD7BISC5GKW23O,G348,"[BNA0626, BNA0627]",
1226,Malgovert,Malgovert,Brevieres malgovert,Malgovert,,Hydro,Hydro,Hydro,Hydro,,,,Reservoir,Reservoir,,PP,PP,PP,PP,,France,France,France,France,,297.0,297.0,396.0,297.0,,,,,,,45.6745226195,,45.618,45.61787,,6.39060974121,,6.79,6.79074,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[26808],17W100P100P02853,G944,[OEU162],
1227,Marckolsheim,Marckolsheim,Marckolsheim,Marckolsheim,,Hydro,Hydro,Hydro,Hydro,,,Run-of-river,Run-Of-River,Run-Of-River,,PP,PP,PP,PP,,France,France,France,France,,156.0,156.2,156.0,156.2,,,,,,,48.1647114773,,48.154,48.15371,,7.54400253296,,7.589,7.5898,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[27178],17W100P100P0305N,G862,[OEU143],
1228,Mareges,Mareges,Mareges,Mareges,,Hydro,Hydro,Hydro,Hydro,,,Run-of-river,Reservoir,Run-Of-River,,PP,PP,PP,PP,,France,France,France,France,,146.0,150.0,301.8,150.0,,,,,1935.0,,45.4,,45.392,45.39171,,2.35,,2.364,2.36446,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[27194],17W100P100P0328B,G872,[OEU144],
1229,Markersbach,Psw markersbach,Markersbach,Markersbach,,Hydro,Hydro,Hydro,Hydro,,,,,Pumped Storage,,PP,PP,PP,PP,,Germany,Germany,Germany,Germany,,1050.0,870.0,1045.0,1045.2,,,,,1980.0,,50.5333333,,51.10454,50.51938,,12.8666667,,13.20174,12.87976,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[27280],11WD8MARK1H----7,G962,"[BNA0657, BNA0656, BNA0655, BNA0654, BNA0653, BNA0652]",
1230,Mehrum,Mehrum kwm,Mehrum,Kwm,,Hard Coal,Coal,Hard Coal,Hard Coal,,,,Steam Turbine,Steam Turbine,,PP,,PP,PP,,Germany,,Germany,Germany,,752.0,690.0,750.0,690.0,,,,,1979.0,,52.3150224,,52.315,52.3150224,,10.09141738,,10.093,10.09141738,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,[27905],11WD2MEHR2CSWH-O,G64,[BNA0464],
1231,Monteynard,Monteynard,Monteyard avigonnet,Monteynard,,Hydro,Hydro,Hydro,Hydro,,,,Reservoir,Reservoir,,PP,PP,PP,PP,,France,France,France,France,,364.0,366.0,360.0,366.0,,,,,,,45.198576,,44.961,44.96118,,4.530908,,5.689,5.68874,,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,[29247],17W100P100P02861,G920,[OEU163],
