Name,Country,lat,lon
Horns Rev C,Denmark,55.5333333,7.9833333
Silkeborgvaerket,Denmark,56.26392,9.501785
Horns Rev B,Denmark,55.5333333,7.9833333
Horns Rev A,Denmark,55.5333333,7.9833333
Anholt,Denmark,56.71199559999999,11.5547024
Roedsand 1,Denmark,54.56611110000001,11.8888889
Amagervaerket,Denmark,55.6837425,12.6244164
Asnaesvaerket,Denmark,55.6606658,11.0845619
Avedoerevaerket,Denmark,55.6036085,12.4810279
Kyndbyvaerket,Denmark,55.810289,11.879901
Roedsand 2,Denmark,54.5707806,11.5554626
Kiisa AREJ 2,Estonia,59.2442187,24.7038979
Kiisa AREJ 1,Estonia,59.2442187,24.7038979
Balti Elektrijaam,Estonia,59.35367720000001,28.1216085
IRU Elektrijaam,Estonia,59.4515944,24.924937
Eesti Elektrijaam,Estonia,59.2699331,27.8947177
Auvere kondensatsioonielektrijaam,Estonia,59.3186346,27.9158381
Martinlaakso,Finland,60.2784559,24.8513718
Metsälä,Finland,60.2211215,24.9392113
Haapavesi,Finland,64.13735729999999,25.3669422
Raahen Voima,Finland,64.66199,24.4485934
Haapaniemi,Finland,62.8798318,27.6737
Ossauskoski,Finland,66.1550244,25.1296935
Isohaara,Finland,65.79180079999999,24.5370885
Alholmens Kraft,Finland,63.69854499999999,22.7132714
Kymijärvi,Finland,60.9657477,25.8071736
Keljonlahti,Finland,62.19598999999999,25.7367533
Kaukaan Voima,Finland,61.06548429999999,28.2297654
Hanasaari,Finland,60.16509490000001,24.848099
Seinäjoki,Finland,62.787735,22.8504337
Tahkoluoto,Finland,61.6333168,21.4166604
Salmisaari,Finland,60.16206159999999,24.8999883
Kellosaari,Finland,62.3943552,29.5711012
Naistenlahti 1,Finland,61.844325,28.680656
Kristiina,Finland,61.92410999999999,25.748151
Naantali,Finland,60.46608759999999,22.0250873
Meri-Pori,Finland,61.55943680000001,21.6121559
Lielahti,Finland,61.51746129999999,23.6656972
Olkiluoto 1,Finland,61.2363745,21.4753105
Olkiluoto 2,Finland,61.2363745,21.4753105
Olkiluoto 3,Finland,61.2363745,21.4753105
Imatra,Finland,61.1695977,28.7645463
Loviisa 1,Finland,60.45787420000001,26.2278099
Loviisa 2,Finland,60.45787420000001,26.2278099
Vaskiluoto,Finland,63.089043,21.5776978
Toppila,Finland,65.0384198,25.4431156
Suomenoja,Finland,60.16068639999999,24.7074508
Äänekoski,Finland,62.60146589999999,25.7278807
Huutokoski kt,Finland,62.2123277,27.6892106
Pietarsaari,Finland,63.6744036,22.6966088
Forssa,Finland,60.81463189999999,23.6339467
Uimaharju,Finland,62.9140212,30.2515897
Kuusaanniemi,Finland,60.9176468,26.6472516
Vuosaari,Finland,60.20966869999999,25.1360282
Kaukopää,Finland,61.2393106,28.8640268
Olkiluoto kt,Finland,61.2363745,21.4753105
OSLOMEJ,Macedonia,41.5765727,20.9979789
BITOLA,Macedonia,41.0296773,21.3292164
TIKVES,Macedonia,41.4351304,22.0028083
VRUTOK,Macedonia,41.7665302,20.8381555
BRENNILIS 2,France,48.357285,-3.85065
BLAYAIS 3,France,45.126841,-0.662941
BLAYAIS 2,France,44.8048294,-0.7706249
DIRINON 1,France,48.39819360000001,-4.269775399999999
BLAYAIS 1,France,45.126841,-0.662941
BRENNILIS 3,France,48.357285,-3.85065
SAUSSAZ,France,45.196043,6.332948
STRASBOURG,France,48.5734053,7.752111299999999
KEMBS,France,47.688362,7.503799000000001
OTTMARSHEIM,France,47.78719,7.506512
ST ALBAN 2,France,48.557172,-2.532964
COUESQUE,France,44.6952896,2.5824575
VOGELGRUN,France,48.012656,7.573436
ST ALBAN 1,France,48.557172,-2.532964
RANDENS,France,45.543855,6.310284999999999
GERSTHEIM,France,48.38069000000001,7.695487
PENLY 2,France,49.980265,1.232629
PENLY 1,France,49.980265,1.232629
SAINT PIERRE COGNET,France,44.876728,5.803836
PASSY,France,45.923392,6.684919
