,ENTSOE,WEPP
497,688.0,10503.0
498,689.0,10514.0
499,691.0,10518.0
500,692.0,7216.0
501,693.0,10567.0
502,695.0,10640.0
503,696.0,10644.0
504,699.0,10654.0
505,701.0,10672.0
506,702.0,10687.0
507,703.0,10693.0
508,704.0,10705.0
509,706.0,10711.0
510,709.0,10718.0
511,710.0,10714.0
512,711.0,10801.0
513,716.0,10852.0
514,717.0,10881.0
515,719.0,10913.0
516,720.0,10931.0
517,721.0,11090.0
518,722.0,17655.0
519,723.0,11142.0
520,726.0,11159.0
521,727.0,11163.0
522,728.0,11167.0
523,731.0,11193.0
524,733.0,20181.0
525,734.0,11210.0
526,735.0,11213.0
527,736.0,11242.0
528,737.0,11243.0
529,738.0,11271.0
530,739.0,11274.0
531,740.0,11297.0
532,741.0,11305.0
533,742.0,11312.0
534,743.0,11338.0
535,744.0,11340.0
536,745.0,11350.0
537,746.0,11351.0
538,747.0,11419.0
539,748.0,11426.0
540,750.0,11453.0
541,751.0,11464.0
542,752.0,11473.0
543,753.0,11471.0
544,755.0,20451.0
545,756.0,11487.0
546,758.0,21087.0
547,759.0,11501.0
548,760.0,11505.0
549,763.0,11548.0
550,764.0,11588.0
551,765.0,11603.0
552,766.0,11617.0
553,767.0,10914.0
554,768.0,10849.0
555,769.0,13163.0
556,771.0,11684.0
557,772.0,11718.0
558,773.0,11727.0
559,774.0,11734.0
560,775.0,26394.0
561,776.0,11780.0
562,777.0,11676.0
563,778.0,12.0
564,780.0,29476.0
565,781.0,11893.0
566,782.0,11915.0
567,809.0,11925.0
568,784.0,11974.0
569,785.0,12019.0
570,786.0,12031.0
571,787.0,12034.0
572,788.0,11843.0
573,790.0,12122.0
574,791.0,12128.0
575,792.0,12129.0
576,793.0,11690.0
577,794.0,12184.0
578,795.0,1022.0
579,796.0,12192.0
580,797.0,12193.0
581,799.0,9536.0
582,800.0,32332.0
583,801.0,12258.0
584,802.0,12262.0
585,803.0,12289.0
586,804.0,10717.0
587,805.0,12329.0
588,812.0,12482.0
589,807.0,12424.0
590,808.0,12428.0
591,810.0,12466.0
592,813.0,12491.0
593,814.0,12500.0
594,1095.0,16285.0
