,WEPP,WRI
93,1349.0,169.0
94,1372.0,172.0
95,1393.0,174.0
96,1447.0,177.0
97,1449.0,178.0
98,1454.0,180.0
99,1460.0,182.0
100,1473.0,185.0
101,1478.0,186.0
102,1480.0,187.0
103,1486.0,87.0
104,6860.0,1052.0
105,1489.0,188.0
106,1498.0,4507.0
107,1529.0,192.0
108,1530.0,193.0
109,1542.0,1531.0
110,19130.0,2629.0
111,1561.0,197.0
112,1574.0,2329.0
113,1576.0,4151.0
114,1601.0,2739.0
115,1635.0,206.0
116,1645.0,207.0
117,1648.0,208.0
118,1656.0,209.0
119,1692.0,213.0
120,21614.0,3482.0
121,1737.0,229.0
122,1738.0,223.0
123,1740.0,224.0
124,1751.0,230.0
125,1769.0,232.0
126,1779.0,233.0
127,1785.0,234.0
128,1789.0,302.0
129,4961.0,748.0
130,1808.0,238.0
131,1865.0,246.0
132,1866.0,247.0
133,1875.0,248.0
134,1901.0,250.0
135,1910.0,1351.0
136,1916.0,256.0
137,1935.0,259.0
138,1964.0,261.0
139,1968.0,264.0
140,18183.0,2516.0
141,1983.0,268.0
142,1988.0,270.0
143,1996.0,271.0
144,2006.0,273.0
145,2013.0,2961.0
146,2025.0,360.0
147,2029.0,275.0
148,2054.0,307.0
149,30770.0,3483.0
150,2092.0,279.0
151,2096.0,280.0
152,2128.0,282.0
153,2135.0,286.0
154,2141.0,288.0
155,2158.0,295.0
156,2159.0,296.0
157,2160.0,297.0
158,2181.0,3148.0
159,2209.0,308.0
160,5111.0,765.0
161,2280.0,312.0
162,2281.0,313.0
163,2284.0,314.0
164,2292.0,1017.0
165,2293.0,315.0
166,2333.0,1466.0
167,2360.0,321.0
168,2363.0,269.0
169,2403.0,329.0
170,2404.0,383.0
171,2433.0,2987.0
172,2443.0,335.0
173,2446.0,755.0
174,2458.0,336.0
175,2465.0,337.0
176,2466.0,338.0
177,2468.0,341.0
178,2469.0,3127.0
179,2470.0,342.0
180,2471.0,343.0
181,2490.0,348.0
182,2502.0,349.0
183,2505.0,350.0
184,2518.0,352.0
185,2523.0,353.0
186,2535.0,2955.0
187,2547.0,354.0
188,2554.0,356.0
189,2555.0,357.0
190,2562.0,358.0
191,10455.0,1521.0
192,2591.0,274.0
193,2601.0,367.0
194,19027.0,2620.0
195,2652.0,369.0
196,2672.0,371.0
197,2680.0,372.0
198,2699.0,376.0
199,2716.0,377.0
200,2738.0,379.0
201,2756.0,380.0
202,2771.0,790.0
203,2783.0,384.0
204,2785.0,334.0
205,2813.0,388.0
206,2821.0,390.0
207,2828.0,1219.0
208,2834.0,391.0
209,2842.0,3202.0
210,2845.0,392.0
211,2848.0,393.0
212,2849.0,3139.0
213,20933.0,2964.0
214,2858.0,395.0
215,2881.0,4424.0
216,2892.0,397.0
217,2896.0,400.0
218,2904.0,401.0
219,2920.0,403.0
220,2923.0,3788.0
221,2924.0,405.0
222,2930.0,407.0
223,2933.0,408.0
224,2965.0,412.0
225,2976.0,413.0
226,3001.0,417.0
227,3023.0,418.0
228,3025.0,419.0
229,3036.0,421.0
230,3039.0,422.0
231,3045.0,423.0
232,3055.0,425.0
233,3075.0,427.0
234,3078.0,432.0
235,3079.0,435.0
236,3084.0,438.0
237,3086.0,429.0
238,3087.0,2590.0
239,3089.0,439.0
240,3096.0,441.0
241,21930.0,3037.0
242,3145.0,448.0
243,3149.0,449.0
244,3190.0,456.0
245,3213.0,462.0
246,3214.0,463.0
247,3263.0,466.0
248,3449.0,496.0
249,3306.0,474.0
250,3307.0,475.0
251,18985.0,2617.0
252,3329.0,476.0
253,3347.0,479.0
254,3355.0,481.0
255,3374.0,482.0
256,3378.0,485.0
257,3404.0,488.0
258,3448.0,495.0
259,3487.0,498.0
260,3497.0,4070.0
261,3498.0,499.0
262,3503.0,500.0
263,13991.0,1984.0
264,3506.0,501.0
265,3513.0,502.0
266,25264.0,3504.0
267,3539.0,504.0
268,3561.0,505.0
269,3598.0,510.0
270,3606.0,518.0
271,3609.0,517.0
272,3622.0,513.0
273,3636.0,514.0
274,3661.0,519.0
275,3663.0,521.0
276,3670.0,524.0
277,3671.0,525.0
278,3690.0,554.0
279,3692.0,530.0
280,3695.0,529.0
281,3699.0,531.0
282,3703.0,3769.0
283,3708.0,533.0
284,3710.0,534.0
285,3712.0,535.0
286,3713.0,536.0
287,3716.0,537.0
288,4150.0,605.0
289,3751.0,276.0
290,3752.0,538.0
291,3754.0,565.0
292,3771.0,540.0
293,3774.0,541.0
294,3791.0,543.0
295,3795.0,542.0
296,3809.0,547.0
297,3812.0,549.0
298,3845.0,555.0
299,3865.0,557.0
300,3891.0,3746.0
301,3897.0,560.0
302,3932.0,2214.0
303,3959.0,566.0
304,3977.0,568.0
305,3990.0,3160.0
306,4002.0,573.0
307,4011.0,575.0
308,4034.0,583.0
309,4038.0,584.0
310,4060.0,592.0
311,4062.0,595.0
312,4076.0,597.0
313,4078.0,599.0
314,4079.0,601.0
315,4080.0,602.0
316,4095.0,603.0
317,4135.0,604.0
318,24712.0,3428.0
319,4164.0,606.0
320,4171.0,611.0
321,4178.0,616.0
322,23166.0,3200.0
323,4247.0,618.0
324,4272.0,619.0
325,19641.0,2960.0
326,4295.0,624.0
327,4305.0,669.0
328,4312.0,625.0
329,4356.0,637.0
330,4358.0,630.0
331,4362.0,628.0
332,4364.0,627.0
333,4365.0,633.0
334,4366.0,634.0
335,4371.0,636.0
336,17709.0,2452.0
337,4383.0,640.0
338,4384.0,641.0
339,4385.0,639.0
340,4386.0,643.0
341,4395.0,654.0
342,4398.0,647.0
343,22911.0,3164.0
344,4412.0,655.0
345,4419.0,651.0
346,4436.0,652.0
347,4437.0,653.0
348,4451.0,656.0
349,4460.0,657.0
350,4466.0,658.0
351,4474.0,661.0
352,4475.0,662.0
353,4477.0,663.0
354,4502.0,679.0
355,4503.0,105.0
356,4507.0,2958.0
357,4521.0,681.0
358,4523.0,682.0
359,4530.0,683.0
360,4535.0,684.0
361,4536.0,685.0
362,4538.0,686.0
363,4542.0,4296.0
364,4545.0,688.0
365,4549.0,689.0
366,5154.0,4241.0
367,4567.0,906.0
368,4570.0,691.0
369,4898.0,730.0
370,4599.0,696.0
371,5052.0,762.0
372,4606.0,697.0
373,4611.0,699.0
374,4614.0,700.0
375,4615.0,2956.0
376,4620.0,701.0
377,4629.0,1964.0
378,4640.0,704.0
379,4641.0,705.0
380,29179.0,4079.0
381,30719.0,2953.0
382,4690.0,1102.0
383,4750.0,709.0
384,4781.0,711.0
385,4783.0,1137.0
386,5275.0,2949.0
387,4794.0,714.0
388,4795.0,715.0
389,4796.0,716.0
390,4800.0,1334.0
391,4802.0,717.0
392,4803.0,718.0
393,4811.0,2793.0
394,4957.0,3081.0
395,4828.0,722.0
396,4840.0,723.0
397,5217.0,2948.0
398,4851.0,725.0
399,4852.0,726.0
400,4875.0,727.0
401,4885.0,728.0
402,4889.0,729.0
403,4905.0,732.0
404,4914.0,3183.0
405,4915.0,1654.0
406,17524.0,833.0
407,4929.0,736.0
408,4930.0,737.0
409,4939.0,739.0
410,4945.0,742.0
411,4948.0,743.0
