,CARMA,OPSD
684,5868.0,1767.0
685,5871.0,1569.0
686,5874.0,1571.0
687,5875.0,1570.0
688,5886.0,1573.0
689,5891.0,1577.0
690,5898.0,1580.0
691,5913.0,1582.0
692,5914.0,1583.0
693,5915.0,4208.0
694,5929.0,1591.0
695,5930.0,1592.0
696,5944.0,1237.0
697,5945.0,1595.0
698,5954.0,1596.0
699,5961.0,1597.0
700,5965.0,1599.0
701,5982.0,1604.0
702,5992.0,1605.0
703,6001.0,1602.0
704,6017.0,1607.0
705,6029.0,3903.0
706,6032.0,1609.0
707,6038.0,585.0
708,6048.0,1610.0
709,6056.0,4409.0
710,6077.0,1697.0
711,6092.0,3701.0
712,6102.0,1618.0
713,6104.0,3726.0
714,6116.0,3820.0
715,6125.0,1623.0
716,6145.0,1627.0
717,6192.0,1633.0
718,6194.0,1635.0
719,6201.0,1636.0
720,6204.0,1637.0
721,6205.0,4079.0
722,6210.0,1639.0
723,6240.0,4020.0
724,6244.0,1641.0
725,6284.0,1644.0
726,6297.0,3856.0
727,6299.0,4843.0
728,6315.0,1991.0
729,6326.0,1647.0
730,6329.0,1648.0
731,6337.0,1653.0
732,6380.0,1657.0
733,6382.0,1659.0
734,6385.0,1662.0
735,6386.0,443.0
736,6397.0,1663.0
737,6398.0,1664.0
738,6405.0,1667.0
739,6408.0,2540.0
740,6439.0,1671.0
741,6441.0,1676.0
742,6442.0,1677.0
743,6444.0,1678.0
744,6470.0,1686.0
745,6478.0,1688.0
746,6484.0,1692.0
747,6489.0,1934.0
748,6509.0,1696.0
749,6514.0,1698.0
750,6527.0,622.0
751,6537.0,1699.0
752,6548.0,1707.0
753,6551.0,1708.0
754,6553.0,2755.0
755,6554.0,1710.0
756,6556.0,1711.0
757,6558.0,1713.0
758,6559.0,1715.0
759,6561.0,1716.0
760,6590.0,1727.0
761,6596.0,1729.0
762,6629.0,1733.0
763,6647.0,1736.0
764,6648.0,4006.0
765,6653.0,3686.0
766,6655.0,1737.0
767,6663.0,1738.0
768,6673.0,2182.0
769,6678.0,1756.0
770,6686.0,1757.0
771,6689.0,1758.0
772,6706.0,4209.0
773,6713.0,1762.0
774,7049.0,1824.0
775,6725.0,1765.0
776,6727.0,1766.0
777,6732.0,3741.0
778,6740.0,1768.0
779,6741.0,1770.0
780,6753.0,1773.0
781,6769.0,3904.0
782,6784.0,1781.0
783,6787.0,1780.0
784,6822.0,1786.0
785,6832.0,1788.0
786,6838.0,1789.0
787,6848.0,1790.0
788,6852.0,1791.0
789,6867.0,1794.0
790,6878.0,1796.0
791,6879.0,1797.0
792,6882.0,1798.0
793,6892.0,3639.0
794,6897.0,1800.0
795,6898.0,1801.0
796,6900.0,1802.0
797,6902.0,1803.0
798,6923.0,4060.0
799,6936.0,1808.0
800,6940.0,3036.0
801,6949.0,1926.0
802,6950.0,1925.0
803,6957.0,1810.0
804,6968.0,1812.0
805,6971.0,1813.0
806,6985.0,1816.0
807,6986.0,1817.0
808,6988.0,1818.0
809,6993.0,1820.0
810,7004.0,4694.0
811,7029.0,1823.0
812,7032.0,1924.0
813,7061.0,1928.0
814,7074.0,1825.0
815,7090.0,1829.0
816,7092.0,1830.0
817,7097.0,1831.0
818,7100.0,1834.0
819,7107.0,1836.0
820,7118.0,1838.0
821,15844.0,3838.0
822,7140.0,3990.0
823,7159.0,1850.0
824,7175.0,1852.0
825,7187.0,3452.0
826,7194.0,1855.0
827,7206.0,1857.0
828,7245.0,1866.0
829,7279.0,1870.0
830,7297.0,1871.0
831,7305.0,1872.0
832,7323.0,1873.0
833,13434.0,4913.0
834,7351.0,1880.0
835,7365.0,1882.0
836,7385.0,1884.0
837,7388.0,1887.0
838,7390.0,4069.0
839,7392.0,1889.0
840,7393.0,1892.0
841,7395.0,24.0
842,7401.0,2044.0
843,7404.0,1895.0
844,7405.0,1896.0
845,7427.0,1902.0
846,7431.0,1903.0
847,7432.0,3922.0
848,7437.0,1905.0
849,7439.0,1909.0
850,7440.0,1910.0
851,7447.0,1914.0
852,7455.0,1915.0
853,7457.0,1916.0
854,7471.0,1917.0
855,7472.0,1918.0
856,7491.0,2462.0
857,7512.0,1944.0
858,7513.0,1945.0
859,7514.0,1946.0
860,7542.0,1948.0
861,7543.0,1950.0
862,7550.0,1951.0
863,7554.0,1952.0
864,7600.0,1954.0
865,7638.0,1956.0
866,7652.0,2101.0
867,7670.0,1959.0
868,7683.0,1960.0
869,7685.0,1961.0
870,7695.0,1963.0
871,7715.0,1964.0
872,7738.0,1972.0
873,7739.0,1973.0
874,7768.0,1975.0
875,7786.0,1977.0
876,7803.0,1978.0
877,7806.0,1979.0
878,7835.0,1981.0
879,7866.0,1983.0
880,7918.0,1885.0
881,7921.0,2126.0
882,7928.0,1987.0
883,7938.0,1988.0
884,7939.0,1989.0
885,7997.0,0.0
886,8014.0,1994.0
887,8026.0,1995.0
888,8048.0,516.0
889,8052.0,1156.0
890,8065.0,2004.0
891,8071.0,2005.0
892,8073.0,2006.0
893,8082.0,2007.0
894,8085.0,2008.0
895,8123.0,2010.0
896,8125.0,2011.0
897,8133.0,2017.0
898,8135.0,2022.0
899,8136.0,2023.0
900,8145.0,2025.0
901,8149.0,2033.0
902,8170.0,2036.0
903,8174.0,2037.0
904,8182.0,2039.0
905,8183.0,2040.0
906,8192.0,2042.0
907,8195.0,2106.0
908,8196.0,3033.0
909,8213.0,2049.0
910,8255.0,2104.0
911,8320.0,2056.0
912,8340.0,2058.0
913,8348.0,2059.0
914,14261.0,3398.0
915,8416.0,2064.0
916,8417.0,2065.0
917,8456.0,2069.0
918,8465.0,2072.0
919,8498.0,2082.0
920,8514.0,2086.0
921,8521.0,2087.0
922,8534.0,2088.0
923,8558.0,2092.0
924,8571.0,2093.0
