,CARMA,WRI
605,20169.0,3534.0
606,20209.0,3543.0
607,20336.0,2882.0
608,20408.0,3581.0
609,20415.0,3586.0
610,20419.0,3589.0
611,20429.0,3598.0
612,20448.0,3601.0
613,20451.0,3607.0
614,20461.0,3622.0
615,20471.0,3629.0
616,20568.0,3645.0
617,20571.0,3649.0
618,20587.0,3653.0
619,20612.0,3660.0
620,20626.0,3666.0
621,20667.0,3671.0
622,20697.0,3673.0
623,20719.0,3701.0
