,OPSD,WEPP
420,715.0,4822.0
421,1527.0,30194.0
422,718.0,4509.0
423,719.0,4512.0
424,720.0,4514.0
425,721.0,4515.0
426,723.0,6003.0
427,725.0,4540.0
428,727.0,9498.0
429,2229.0,13670.0
430,832.0,5119.0
431,2821.0,18442.0
432,746.0,4665.0
433,735.0,4584.0
434,736.0,4587.0
435,740.0,4601.0
436,741.0,4617.0
437,742.0,4636.0
438,836.0,5161.0
439,747.0,4676.0
440,748.0,4678.0
441,759.0,4742.0
442,753.0,10571.0
443,754.0,29941.0
444,755.0,4724.0
445,756.0,4726.0
446,757.0,4737.0
447,758.0,4738.0
448,3838.0,24375.0
449,767.0,4761.0
450,768.0,24908.0
451,769.0,4768.0
452,770.0,4769.0
453,771.0,4776.0
454,772.0,4777.0
455,774.0,4785.0
456,775.0,4796.0
457,777.0,4752.0
458,778.0,4818.0
459,4338.0,4496.0
460,780.0,4830.0
461,781.0,4839.0
462,783.0,21985.0
463,784.0,4848.0
464,785.0,4849.0
465,786.0,4871.0
466,787.0,4886.0
467,789.0,4896.0
468,792.0,4903.0
469,793.0,18176.0
470,841.0,5187.0
471,795.0,4906.0
472,796.0,4907.0
473,797.0,4910.0
474,802.0,30718.0
475,3906.0,25274.0
476,807.0,4949.0
477,2262.0,17573.0
478,811.0,4964.0
479,813.0,4976.0
480,814.0,4994.0
481,815.0,5002.0
482,816.0,5004.0
483,822.0,5046.0
484,825.0,5076.0
485,827.0,5086.0
486,829.0,5104.0
487,830.0,31115.0
488,831.0,5114.0
489,833.0,5125.0
490,834.0,5128.0
491,835.0,5195.0
492,839.0,5153.0
493,843.0,30457.0
494,846.0,5210.0
495,847.0,5219.0
496,849.0,5227.0
497,851.0,5226.0
498,854.0,5249.0
499,855.0,5258.0
500,856.0,5259.0
501,857.0,5269.0
502,860.0,5283.0
503,861.0,24937.0
504,863.0,5289.0
505,864.0,8323.0
506,865.0,5291.0
507,866.0,5298.0
508,867.0,5301.0
509,868.0,28319.0
510,870.0,5327.0
511,872.0,5343.0
512,876.0,8321.0
513,882.0,5377.0
514,883.0,18124.0
515,885.0,16492.0
516,886.0,6314.0
517,887.0,5389.0
518,888.0,5394.0
519,889.0,5396.0
520,891.0,5405.0
521,893.0,5408.0
522,894.0,5409.0
523,895.0,5419.0
524,896.0,5422.0
525,2278.0,6874.0
526,898.0,5431.0
527,899.0,5425.0
528,901.0,26010.0
529,902.0,5495.0
530,903.0,5520.0
531,904.0,5532.0
532,907.0,5536.0
533,908.0,5538.0
534,909.0,5547.0
535,910.0,5556.0
536,911.0,5583.0
537,912.0,5585.0
538,914.0,5596.0
539,915.0,5597.0
540,916.0,5629.0
541,917.0,5650.0
542,918.0,5691.0
543,919.0,5741.0
544,920.0,5756.0
545,921.0,5767.0
546,923.0,5770.0
547,925.0,5774.0
548,926.0,17571.0
549,927.0,5779.0
550,928.0,5780.0
551,930.0,5795.0
552,931.0,5765.0
553,934.0,5813.0
554,935.0,5816.0
555,938.0,5845.0
556,940.0,30288.0
557,941.0,5613.0
558,942.0,5859.0
559,1840.0,30536.0
560,948.0,5868.0
561,949.0,5875.0
562,951.0,5882.0
563,952.0,5883.0
564,3962.0,25217.0
565,954.0,6318.0
566,956.0,5902.0
567,961.0,5930.0
568,962.0,5937.0
569,964.0,5959.0
570,965.0,28144.0
571,968.0,5986.0
572,971.0,6010.0
573,972.0,6019.0
574,976.0,6024.0
575,979.0,6043.0
576,980.0,6045.0
577,982.0,6064.0
578,983.0,6065.0
579,984.0,19602.0
580,986.0,30624.0
581,993.0,6066.0
582,990.0,20470.0
583,1027.0,6146.0
584,1012.0,5345.0
585,1013.0,6127.0
586,1015.0,6391.0
587,1053.0,6188.0
588,1018.0,6144.0
589,1619.0,9489.0
590,1092.0,6357.0
591,1023.0,24152.0
592,1033.0,6155.0
593,1034.0,6156.0
594,1035.0,6158.0
595,3972.0,25225.0
596,1039.0,21007.0
597,1040.0,1190.0
598,1041.0,16947.0
599,1685.0,10091.0
600,1046.0,6142.0
601,1049.0,6176.0
602,1050.0,6178.0
603,1052.0,6187.0
604,1054.0,6205.0
605,1055.0,6206.0
606,1057.0,6212.0
607,1058.0,6220.0
608,1060.0,6228.0
609,1061.0,6229.0
610,1066.0,6244.0
611,1067.0,6208.0
612,2487.0,19358.0
613,1077.0,6309.0
614,1078.0,6286.0
615,1079.0,6292.0
616,1080.0,6295.0
617,1081.0,6296.0
618,1082.0,6301.0
619,1083.0,6302.0
620,1483.0,8633.0
621,1085.0,6310.0
622,1086.0,6311.0
623,1087.0,6320.0
624,1090.0,21848.0
625,1091.0,6340.0
626,1097.0,6393.0
627,1099.0,6413.0
628,1101.0,496.0
629,2753.0,7394.0
630,1104.0,6452.0
631,1105.0,6453.0
632,1106.0,6456.0
633,1107.0,6465.0
634,1111.0,6503.0
635,1114.0,6404.0
636,1116.0,6572.0
637,1117.0,5171.0
638,1119.0,6593.0
639,1120.0,6592.0
640,1121.0,6749.0
641,1124.0,10626.0
642,1125.0,6643.0
643,1127.0,6644.0
644,1132.0,30256.0
645,1133.0,24866.0
646,1135.0,26944.0
647,1137.0,20525.0
648,1141.0,6674.0
649,3327.0,6678.0
650,1147.0,6685.0
651,1148.0,6689.0
652,1150.0,6690.0
653,1151.0,6694.0
654,1152.0,66.0
655,1153.0,6701.0
656,1156.0,12466.0
657,1157.0,6722.0
658,1158.0,6732.0
659,1160.0,6750.0
660,1161.0,6752.0
661,1162.0,6753.0
662,3578.0,18162.0
663,1166.0,29067.0
664,1168.0,23213.0
665,1169.0,6838.0
666,1170.0,6839.0
667,1171.0,6850.0
668,1172.0,6870.0
669,1174.0,6884.0
670,1177.0,6906.0
671,1180.0,11067.0
672,1181.0,6970.0
673,1182.0,6998.0
674,1185.0,7028.0
675,1187.0,22254.0
676,1192.0,17248.0
677,1193.0,7076.0
678,1195.0,29921.0
679,1196.0,29919.0
680,1197.0,20783.0
681,1198.0,25234.0
682,1202.0,30671.0
683,1208.0,7106.0
684,1209.0,7118.0
685,1210.0,7120.0
686,1211.0,7121.0
687,1213.0,7141.0
688,1214.0,25399.0
689,1215.0,28405.0
690,1216.0,2729.0
691,1217.0,7160.0
692,1222.0,7165.0
693,3756.0,23854.0
694,1226.0,7184.0
695,1227.0,7198.0
696,1228.0,4427.0
697,1229.0,7208.0
698,1230.0,7203.0
699,1231.0,7221.0
700,1232.0,7239.0
701,1233.0,7250.0
702,1234.0,7253.0
703,1236.0,7261.0
704,1237.0,9254.0
705,1238.0,7307.0
706,1239.0,7309.0
707,1240.0,16400.0
708,1242.0,7323.0
709,1244.0,7333.0
710,1245.0,7342.0
711,1247.0,7366.0
712,1248.0,7378.0
713,1250.0,7384.0
714,1251.0,7398.0
715,1253.0,7421.0
716,1254.0,7423.0
717,1255.0,7431.0
718,1257.0,7453.0
719,1258.0,7475.0
720,1260.0,7480.0
721,1261.0,7481.0
722,1262.0,7482.0
723,1263.0,7514.0
724,1264.0,7544.0
725,1265.0,7548.0
726,1266.0,27149.0
727,1267.0,7595.0
728,1268.0,7596.0
729,1269.0,7598.0
730,1270.0,7597.0
731,1271.0,20451.0
732,1272.0,7657.0
733,1273.0,7678.0
734,1274.0,7686.0
735,1275.0,24674.0
736,1276.0,7699.0
737,1277.0,11858.0
738,1280.0,7718.0
739,1281.0,7745.0
740,1282.0,7748.0
741,1283.0,7775.0
742,1285.0,11513.0
743,1289.0,32368.0
744,1292.0,16907.0
745,1294.0,7841.0
746,1296.0,7888.0
747,1298.0,7889.0
748,1301.0,7890.0
749,1304.0,5005.0
750,1314.0,30615.0
751,1318.0,7956.0
752,1319.0,7960.0
753,1320.0,7961.0
754,1321.0,7969.0
755,1322.0,7983.0
756,1324.0,11938.0
757,1325.0,11406.0
758,1327.0,8013.0
759,1329.0,3969.0
760,1333.0,8030.0
761,1334.0,8036.0
762,2947.0,19079.0
763,1337.0,8057.0
764,1338.0,8060.0
765,1340.0,8129.0
766,1342.0,8148.0
767,1343.0,8156.0
768,1349.0,20002.0
769,1353.0,8219.0
770,1351.0,8203.0
771,1358.0,8231.0
772,1359.0,8244.0
773,1364.0,8257.0
774,1366.0,13980.0
775,1367.0,21083.0
776,1368.0,8260.0
777,1375.0,8277.0
778,1376.0,8276.0
779,1378.0,8290.0
780,1379.0,8291.0
781,1381.0,8299.0
782,1382.0,14896.0
783,1383.0,8310.0
784,1389.0,8322.0
785,1390.0,8324.0
786,1391.0,8326.0
787,1392.0,8331.0
788,1393.0,8339.0
789,1394.0,8340.0
790,1395.0,8341.0
791,1397.0,8347.0
792,1400.0,17685.0
793,1405.0,8352.0
794,3056.0,11872.0
795,1416.0,8369.0
796,1417.0,8374.0
797,1418.0,19580.0
798,1420.0,8380.0
799,1424.0,8382.0
800,1423.0,8384.0
801,1426.0,8391.0
802,1430.0,8405.0
803,1432.0,8423.0
804,1434.0,8427.0
805,1439.0,8431.0
806,1554.0,29887.0
807,1456.0,8508.0
808,4008.0,25391.0
809,1449.0,8477.0
810,1450.0,1.0
811,1452.0,8493.0
812,1453.0,8500.0
813,1454.0,8501.0
814,1455.0,8507.0
815,1458.0,12490.0
816,1459.0,8520.0
817,1460.0,8529.0
818,1461.0,8531.0
819,1465.0,8541.0
820,1466.0,8544.0
821,1467.0,8552.0
822,1468.0,8559.0
823,1469.0,8561.0
824,1470.0,8564.0
825,1473.0,8567.0
826,1476.0,8583.0
827,1477.0,5006.0
828,1480.0,8629.0
829,1485.0,19412.0
830,1488.0,8651.0
831,1489.0,8658.0
832,1490.0,8661.0
833,1492.0,8670.0
834,1494.0,8699.0
835,1495.0,8708.0
836,1497.0,8713.0
837,1498.0,27139.0
838,1499.0,8716.0
839,1500.0,8723.0
840,1501.0,5156.0
841,1502.0,8741.0
842,1503.0,7979.0
843,1505.0,23934.0
844,1507.0,26247.0
845,1513.0,8790.0
846,1525.0,6675.0
847,1528.0,8362.0
848,1530.0,8832.0
849,1533.0,8857.0
850,1534.0,8870.0
851,1535.0,8923.0
852,1537.0,8951.0
853,1539.0,18175.0
854,1541.0,8976.0
855,1542.0,8989.0
856,1543.0,24850.0
857,1545.0,9027.0
858,1547.0,9031.0
859,1548.0,9041.0
