,CARMA,ENTSOE
231,3767.0,335.0
232,3774.0,336.0
233,3781.0,337.0
234,3787.0,339.0
235,3794.0,341.0
236,3802.0,342.0
237,3806.0,343.0
238,3850.0,352.0
239,3851.0,353.0
240,3858.0,443.0
241,3859.0,354.0
242,3874.0,448.0
243,3882.0,355.0
244,3883.0,356.0
245,3907.0,357.0
246,10562.0,1102.0
247,3952.0,358.0
248,3954.0,359.0
249,3963.0,360.0
250,3965.0,366.0
251,3967.0,367.0
252,3984.0,1195.0
253,4002.0,370.0
254,4003.0,1669.0
255,4021.0,377.0
256,4024.0,375.0
257,4027.0,376.0
258,4047.0,425.0
259,4063.0,380.0
260,4066.0,381.0
261,4099.0,383.0
262,4100.0,1828.0
263,4111.0,385.0
264,4112.0,386.0
265,4128.0,387.0
266,4144.0,1538.0
267,4150.0,1303.0
268,4171.0,388.0
269,4182.0,1247.0
270,4201.0,391.0
271,4217.0,392.0
272,4228.0,379.0
273,4241.0,1990.0
274,4250.0,394.0
275,4259.0,395.0
276,4271.0,396.0
277,4282.0,371.0
278,4295.0,400.0
279,4307.0,401.0
280,4318.0,406.0
281,4340.0,407.0
282,4343.0,408.0
283,4367.0,412.0
284,4396.0,413.0
285,4399.0,415.0
286,18990.0,2033.0
287,4407.0,1927.0
288,4408.0,891.0
289,4415.0,417.0
290,4419.0,1670.0
291,4427.0,418.0
292,4445.0,419.0
293,4482.0,421.0
294,4518.0,1272.0
295,6952.0,716.0
296,4621.0,426.0
297,4664.0,427.0
298,4683.0,430.0
299,4687.0,431.0
300,4690.0,433.0
301,4712.0,434.0
302,4723.0,435.0
303,4738.0,438.0
304,4756.0,439.0
305,4770.0,440.0
306,4785.0,441.0
307,4831.0,442.0
308,4839.0,444.0
309,4880.0,446.0
310,4885.0,447.0
311,4911.0,449.0
312,4924.0,451.0
313,4925.0,452.0
314,4944.0,453.0
315,4972.0,1022.0
316,4974.0,1273.0
317,4993.0,455.0
318,4999.0,456.0
319,5069.0,475.0
320,5072.0,476.0
321,5083.0,479.0
322,5089.0,502.0
323,5094.0,484.0
324,5098.0,488.0
325,5151.0,490.0
326,5152.0,491.0
327,5155.0,494.0
328,5175.0,497.0
329,5253.0,1963.0
330,5279.0,517.0
331,5280.0,518.0
332,5301.0,522.0
333,5310.0,523.0
334,5385.0,1023.0
335,5393.0,541.0
336,5397.0,542.0
337,5408.0,2077.0
338,5444.0,2116.0
339,5486.0,1568.0
340,5490.0,554.0
341,5499.0,558.0
342,5567.0,1696.0
343,5577.0,1831.0
344,5618.0,1642.0
345,5623.0,565.0
346,5668.0,570.0
347,5673.0,548.0
348,5676.0,573.0
349,5678.0,574.0
350,5719.0,577.0
351,5747.0,580.0
352,5749.0,1024.0
353,5752.0,581.0
354,5764.0,585.0
355,5770.0,588.0
356,5791.0,590.0
357,5813.0,1525.0
358,5828.0,591.0
359,5847.0,1447.0
360,5874.0,595.0
361,5875.0,596.0
362,5913.0,600.0
363,5932.0,601.0
364,5935.0,603.0
365,5946.0,1672.0
366,5961.0,605.0
367,5963.0,363.0
368,5971.0,606.0
369,5976.0,607.0
370,5982.0,608.0
371,5986.0,609.0
372,6029.0,1673.0
373,6035.0,612.0
374,6036.0,613.0
375,6047.0,615.0
376,6054.0,1674.0
377,6071.0,618.0
378,6082.0,620.0
379,6089.0,621.0
380,6129.0,623.0
381,6113.0,622.0
382,6125.0,799.0
383,6135.0,624.0
384,6144.0,626.0
385,6145.0,627.0
386,6146.0,628.0
387,6161.0,630.0
388,6171.0,633.0
389,6176.0,634.0
390,6177.0,2093.0
391,6182.0,637.0
392,6199.0,641.0
393,6207.0,643.0
394,6236.0,645.0
395,6299.0,647.0
396,19298.0,617.0
397,6353.0,651.0
398,6367.0,652.0
399,6376.0,653.0
400,6403.0,654.0
401,6404.0,655.0
402,6413.0,656.0
403,6414.0,657.0
404,6440.0,1373.0
405,6463.0,1992.0
406,6478.0,666.0
407,6482.0,668.0
408,6501.0,669.0
409,18341.0,1923.0
410,6541.0,1526.0
411,6543.0,671.0
412,6548.0,673.0
413,6553.0,1677.0
414,6591.0,676.0
415,6598.0,677.0
416,6610.0,678.0
417,6611.0,682.0
418,6629.0,1569.0
419,6651.0,683.0
420,6655.0,684.0
421,6678.0,685.0
422,6681.0,1079.0
423,6686.0,686.0
424,6727.0,688.0
425,6738.0,689.0
426,6740.0,690.0
427,6741.0,691.0
428,6765.0,1697.0
429,6767.0,692.0
430,6771.0,693.0
431,6797.0,849.0
432,6815.0,695.0
433,6838.0,701.0
434,6851.0,1527.0
435,6854.0,703.0
436,6861.0,704.0
437,6866.0,706.0
438,6867.0,709.0
439,6920.0,711.0
440,6923.0,1744.0
441,6949.0,768.0
442,6968.0,1570.0
443,6971.0,717.0
444,6992.0,719.0
445,6995.0,1360.0
446,7005.0,720.0
447,7080.0,1993.0
448,7105.0,721.0
449,7118.0,722.0
450,7147.0,723.0
451,7158.0,725.0
452,7159.0,726.0
453,7161.0,727.0
454,7164.0,728.0
455,7173.0,729.0
456,7178.0,730.0
457,7192.0,734.0
