,GEO,WEPP
600,733.0,22308.0
601,734.0,30256.0
602,735.0,22450.0
603,736.0,22453.0
604,737.0,22455.0
605,739.0,22479.0
606,740.0,22481.0
607,741.0,22506.0
608,742.0,22573.0
609,743.0,22578.0
610,744.0,22627.0
611,745.0,22685.0
612,747.0,22751.0
613,748.0,22767.0
614,749.0,22768.0
615,750.0,22775.0
616,751.0,22784.0
617,752.0,22787.0
618,753.0,22794.0
619,754.0,22811.0
620,755.0,22876.0
621,756.0,22895.0
622,757.0,22886.0
623,758.0,22929.0
624,759.0,22933.0
625,760.0,22947.0
626,761.0,23030.0
627,763.0,23135.0
628,764.0,23159.0
629,765.0,20532.0
630,768.0,23222.0
631,769.0,23323.0
632,770.0,23447.0
633,772.0,23512.0
634,773.0,23566.0
635,774.0,23875.0
636,775.0,23727.0
637,776.0,23769.0
638,777.0,23900.0
639,778.0,23914.0
640,780.0,23954.0
641,782.0,3547.0
642,783.0,23981.0
643,784.0,24009.0
644,785.0,24042.0
645,787.0,24045.0
646,789.0,24061.0
647,791.0,24093.0
648,792.0,24102.0
649,793.0,24147.0
650,794.0,24189.0
651,795.0,24202.0
652,796.0,24212.0
653,797.0,24219.0
654,798.0,24307.0
655,799.0,24306.0
656,800.0,24362.0
657,801.0,24396.0
658,803.0,24461.0
659,804.0,24490.0
660,805.0,24524.0
661,806.0,24536.0
662,807.0,24631.0
663,808.0,24658.0
664,810.0,24719.0
665,811.0,24783.0
666,812.0,24799.0
667,813.0,24805.0
668,814.0,24406.0
669,815.0,24865.0
670,816.0,24866.0
671,817.0,24937.0
672,818.0,428.0
673,819.0,5109.0
674,820.0,5496.0
675,821.0,6852.0
676,822.0,8663.0
677,823.0,8683.0
678,824.0,10462.0
679,825.0,10558.0
680,826.0,24958.0
681,827.0,24967.0
682,828.0,24972.0
683,829.0,24987.0
684,830.0,25017.0
685,831.0,25018.0
686,832.0,25048.0
687,833.0,25051.0
688,834.0,25058.0
689,835.0,25081.0
690,837.0,9256.0
691,838.0,24439.0
692,842.0,25222.0
693,843.0,25257.0
694,844.0,25268.0
695,845.0,25327.0
696,846.0,25339.0
697,847.0,19502.0
698,848.0,25353.0
699,849.0,25399.0
700,850.0,25506.0
701,851.0,25572.0
702,852.0,25647.0
703,853.0,25681.0
704,854.0,25683.0
705,855.0,25768.0
706,857.0,25861.0
707,858.0,25938.0
708,859.0,25955.0
709,860.0,25997.0
710,861.0,26010.0
711,862.0,26032.0
712,864.0,26047.0
713,865.0,26055.0
714,866.0,26070.0
715,867.0,26073.0
716,868.0,22011.0
717,869.0,26158.0
718,870.0,26259.0
719,871.0,26280.0
720,874.0,26347.0
721,875.0,26351.0
722,876.0,26384.0
723,877.0,26427.0
724,878.0,26471.0
725,879.0,26473.0
726,880.0,26547.0
727,881.0,26576.0
728,882.0,26773.0
729,883.0,26778.0
730,884.0,26837.0
731,885.0,1135.0
732,886.0,2729.0
733,887.0,19009.0
734,889.0,26913.0
735,890.0,26932.0
736,891.0,26945.0
737,892.0,26944.0
738,893.0,26962.0
739,894.0,2028.0
740,895.0,27006.0
741,896.0,16494.0
