,ENTSOE,OPSD
498,2081.0,4650.0
499,2084.0,4656.0
500,2085.0,4658.0
501,2092.0,4665.0
502,2098.0,4674.0
503,2099.0,4675.0
504,2102.0,4676.0
505,2103.0,4679.0
506,2111.0,4696.0
507,2115.0,3621.0
508,2117.0,4706.0
509,2126.0,4737.0
510,2131.0,4749.0
511,2141.0,4761.0
512,2142.0,4762.0
513,2143.0,4765.0
514,2149.0,4768.0
515,2153.0,4775.0
516,2155.0,4783.0
517,2156.0,4791.0
518,2157.0,4792.0
519,2159.0,4800.0
520,2160.0,4802.0
521,2161.0,4806.0
522,2163.0,4824.0
523,2166.0,4834.0
524,2168.0,4851.0
525,2182.0,4877.0
526,2193.0,4923.0
527,2197.0,331.0
528,2198.0,4928.0
529,2199.0,4929.0
530,2200.0,4930.0
531,2201.0,4934.0
532,2202.0,4935.0
