CARMA,Name,Name,Name,Name,Name,Name,Fueltype,Fueltype,Fueltype,Fueltype,Fueltype,Fueltype,Technology,Technology,Technology,Technology,Technology,Technology,Set,Set,Set,Set,Set,Set,Country,Country,Country,Country,Country,Country,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Efficiency,Efficiency,Efficiency,Efficiency,Efficiency,Efficiency,Duration,Duration,Duration,Duration,Duration,Duration,Volume_Mm3,Volume_Mm3,Volume_Mm3,Volume_Mm3,Volume_Mm3,Volume_Mm3,DamHeight_m,DamHeight_m,DamHeight_m,DamHeight_m,DamHeight_m,DamHeight_m,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,Retrofit,Retrofit,Retrofit,Retrofit,Retrofit,Retrofit,lat,lat,lat,lat,lat,lat,lon,lon,lon,lon,lon,lon,projectID,projectID,projectID,projectID,projectID,projectID
,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD,CARMA,ENTSOE,GEO,GPD,JRC,OPSD
id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,Paradela,Paradela,Paradela paradela paradela,,,,Hydro,Hydro,Hydro,,,,Reservoir,,Reservoir,,,,PP,,Store,,,,Portugal,Portugal,Portugal,,,,53.31210191082803,54.0,54.0,,,,,,,,,,0.0,0.0,4120.37037037037,,,,0.0,0.0,158.2,,,,0.0,0.0,110.0,,,,1956.0,1956.0,,,,,1956.0,,,,,,41.7686,41.7688,41.7686,,,,-7.9504,-7.95,-7.9504,,,,['GEO43546'],['WRI1022564'],['H800'],
2018,,,Trencin,,Trenčín trencin trencin,Trenčín,,,Hydro,,Hydro,Hydro,,,Run-Of-River,,Run-Of-River,Run-Of-River,,,PP,,Store,PP,,,Slovakia,,Slovakia,Slovakia,,,11.182353409654159,,16.1,16.1,,,,,,,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,1956.0,,,1956.0,,,1956.0,,,1956.0,,,48.9022,,48.90208,48.90208,,,18.056,,18.05579,18.05579,,,['GEO42653'],,['H1498'],"['OEU5570', 'OEU5569']"
2019,,,Wallnerau unterwasser,,Wallnerau unterwasser wallnerau unterwasser wallnerau unterwasser,Wallnerau unterwasserstufe,,,Hydro,,Hydro,Hydro,,,Run-Of-River,,Run-Of-River,Run-Of-River,,,PP,,Store,PP,,,Austria,,Austria,Austria,,,3.388591942319442,,3.3803682581089105,5.0,,,,,,,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,1989.0,,,1989.0,,,1989.0,,,1989.0,,,47.31554000000001,,47.31554000000001,47.315609,,,13.140946,,13.140946,13.140893,,,['GEO45561'],,['H2093'],['OEU5808']
2020,,,Werfen pfarrwerfen,,Werfen pfarrwerfen werfen pfarrwerfen werfen pfarrwerfen,Werfen pfarrwerfen,,,Hydro,,Hydro,Hydro,,,Run-Of-River,,Run-Of-River,Run-Of-River,,,PP,,Store,PP,,,Austria,,Austria,Austria,,,10.843494215422215,,32.0,32.0,,,,,,,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,2009.0,,,2009.0,,,2009.0,,,2009.0,,,47.4698,,47.472081,47.472081,,,13.1945,,13.193148,13.193148,,,['GEO45575'],,['H1102'],"['OEU5841', 'OEU5812']"
2021,Johann,,St. johann,,,St. johann,Hydro,,Hydro,,,Hydro,,,Run-Of-River,,,Run-Of-River,PP,,PP,,,PP,Austria,,Austria,,,Austria,14.357977814721044,,10.843494215422215,,,32.5,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,,,1991.0,,,1990.0,,,1991.0,,,1991.0,47.3352778,,47.33856,,,47.338685,13.2988889,,13.1974,,,13.197147,['CARMA42852'],,['GEO45571'],,,"['OEU5791', 'OEU5835']"
2022,Piancastagnaio,Piancastagnaio,,Piancastagnaio,,,Geothermal,Geothermal,,Geothermal,,,,,,,,,PP,PP,,,,,Italy,Italy,,Italy,,,68.0,60.0,,60.0,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,1990.0,,,,,,,,,42.8506734573443,42.8500321,,42.8493,,,11.6901397705078,11.6866772,,11.702733333333335,,,['CARMA34505'],"['26WIMPI-S09PNCNI', '26WIMPI-S09PNCT6', '26WIMPI-S09P5NC5']",,"['WRI1021669', 'WRI1021665', 'WRI1021667']",,
2023,Police,Zakłady chemiczne police sa,,Zakłady chemiczne police,,,Hard Coal,Hard Coal,,Hard Coal,,,,,,,,,PP,PP,,,,,Poland,Poland,,Poland,,,89.67602374726552,100.4,,100.0,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,53.5521390134073,53.570671,,53.5743,,,14.5718193054199,14.549895000000001,,14.5334,,,['CARMA35112'],['19W0000000002353'],,['WRI1019088'],,
2024,Pomorzany,Pomorzany,,Pomorzany,,,Hard Coal,Hard Coal,,Hard Coal,,,,,,,,,PP,PP,,,,,Poland,Poland,,Poland,,,105.91656348102228,134.2,,134.0,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,1961.0,,,,,,,,,53.39221,53.39894820000001,,53.3907,,,14.525685,14.533939199999999,,14.5253,,,['CARMA35156'],['19W000000000168T'],,['WRI1019076'],,
2025,Prata,Le prata,,Le prata,,,Geothermal,Geothermal,,Geothermal,,,,,,,,,PP,PP,,,,,Italy,Italy,,Italy,,,20.0,20.0,,20.0,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,1996.0,,,,,,,,,43.55,43.0691193,,43.1962,,,11.45,12.8194916,,10.8323,,,['CARMA24762'],['26WIMPI-S09LPRTA'],,['WRI1021663'],,
2026,Priolo gargallo,Priolo gargallo,,Priolo gargallo,,,Solar,Solar,,Solar,,,,,,,,,PP,PP,,,,,Italy,Italy,,Italy,,,0.812,13.0,,13.0,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,37.157247,37.15785839999999,,37.1675,,,15.180194,15.1837006,,15.1644,,,['CARMA59872'],['26WIMPI-00834908'],,['WRI1021869'],,
2027,Pulawy,Za puławy,,Puławy,,,Hard Coal,Hard Coal,,Hard Coal,,,,,,,,,PP,PP,,,,,Poland,Poland,,Poland,,,103.26864939399671,82.0,,112.0,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,51.4165522214408,51.4508204,,51.4574,,,21.9693946838379,21.9841354,,21.9744,,,['CARMA36028'],['19W000000000212F'],,['WRI1019081'],,
2028,Rancia,Rancia,,Rancia,,,Geothermal,Geothermal,,Geothermal,,,,,,,,,PP,PP,,,,,Italy,Italy,,Italy,,,40.0,36.0,,36.0,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,1986.0,,,,,,,,,43.260936,43.23085,,43.2121,,,11.043626,13.3558499,,11.04065,,,['CARMA36590'],"['26WIMPI-S09RNCAY', '26WIMPI-S09R2NC7']",,"['WRI1021724', 'WRI1021723']",,
2029,Republika,Chp republika pk,,Republika,,,Hard Coal,Lignite,,Hard Coal,,,,,,,,,PP,CHP,,,,,Bulgaria,Bulgaria,,Bulgaria,,,92.67699304589449,105.0,,105.0,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,1951.0,,,,,,,,,42.6,42.606775,,42.6064,,,23.0333333,23.078381,,23.0784,,,['CARMA37090'],['32W001100100005S'],,['WRI1008045'],,
2030,Ruse east,Toplo ruse,,Ruse,,,Hard Coal,Hard Coal,,Hard Coal,,,,,,,,,PP,PP,,,,,Bulgaria,Bulgaria,,Bulgaria,,,353.0552116034076,110.0,,180.0,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,43.86639,43.86987,,43.8662,,,26.009167,26.015520000000002,,26.0093,,,['CARMA38273'],['32W001100100089X'],,['WRI1008046'],,
2031,Rzeszow,Ec rzeszów,,Rzeszów,,,Natural Gas,Natural Gas,,Natural Gas,,,,,,,,,PP,PP,,,,,Poland,Poland,,Poland,,,91.79643861475674,101.0,,129.0,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,50.061441,50.041186700000004,,50.0646,,,22.027189,21.999119600000004,,22.0294,,,['CARMA38379'],['19W000000000169R'],,['WRI1019087'],,
2032,Sasso pisano,Sasso,,Nuova sasso,,,Geothermal,Geothermal,,Geothermal,,,,,,,,,PP,PP,,,,,Italy,Italy,,Italy,,,20.0,20.0,,37.0,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,1996.0,,,,,,,,,43.55,42.4690901,,43.175799999999995,,,11.45,13.5654488,,10.8552,,,['CARMA39904'],['26WIMPI-S09S2SST'],,"['WRI1021762', 'WRI1021664']",,
2033,Selva,Selva,,Selva,,,Geothermal,Geothermal,,Geothermal,,,,,,,,,PP,PP,,,,,Italy,Italy,,Italy,,,20.0,19.0,,19.0,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,1999.0,,,,,,,,,43.55,46.5565395,,43.1805,,,11.45,11.783958300000002,,10.8834,,,['CARMA40486'],['26WIMPI-S09S1LVB'],,['WRI1021702'],,
